Config: 
--------------------------------------------
leader L2 of team T0 discovered at 39768.000000 that M39 is in danger (after 16175ms proces-to-process, 13681ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 34079.000000 that M0 is in danger (after 13441ms proces-to-process, 13007ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 39074.000000 that M3 is in danger (after 20311ms proces-to-process, 18721ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L2 of team T0 discovered at 51059.000000 that M2 is in danger (after 23629ms proces-to-process, 21180ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 45039.000000 that M9 is in danger (after 14681ms proces-to-process, 14493ms node-to-node, 2hops, 4versions (13 first, 17 discovered)
leader L2 of team T0 discovered at 27314.000000 that M8 is in danger (after 9934ms proces-to-process, 9900ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 48514.000000 that M42 is in danger (after 18663ms proces-to-process, 17090ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 never discovered that M43 is in danger from 21135.
leader L2 of team T0 discovered at 48514.000000 that M40 is in danger (after 25249ms proces-to-process, 22514ms node-to-node, 3hops, 7versions (12 first, 19 discovered)
leader L2 of team T0 discovered at 47550.000000 that M41 is in danger (after 20323ms proces-to-process, 18990ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 46541.000000 that M28 is in danger (after 21726ms proces-to-process, 19485ms node-to-node, 10hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 39768.000000 that M29 is in danger (after 15696ms proces-to-process, 14703ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 55550.000000 that M24 is in danger (after 25339ms proces-to-process, 21636ms node-to-node, 9hops, 6versions (15 first, 21 discovered)
leader L2 of team T0 discovered at 36741.000000 that M25 is in danger (after 8655ms proces-to-process, 6624ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 47550.000000 that M26 is in danger (after 17231ms proces-to-process, 14569ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 31981.000000 that M27 is in danger (after 9155ms proces-to-process, 6656ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 46541.000000 that M20 is in danger (after 18303ms proces-to-process, 16235ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 39768.000000 that M21 is in danger (after 22121ms proces-to-process, 20886ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 33122.000000 that M22 is in danger (after 13132ms proces-to-process, 11876ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 47550.000000 that M23 is in danger (after 20823ms proces-to-process, 19606ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 51059.000000 that M44 is in danger (after 26644ms proces-to-process, 24966ms node-to-node, 9hops, 6versions (11 first, 17 discovered)
leader L2 of team T0 discovered at 36741.000000 that M45 is in danger (after 14353ms proces-to-process, 13659ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 44064.000000 that M11 is in danger (after 20651ms proces-to-process, 18795ms node-to-node, 3hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 34984.000000 that M10 is in danger (after 15266ms proces-to-process, 14114ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 29867.000000 that M13 is in danger (after 12226ms proces-to-process, 11339ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L2 of team T0 discovered at 46541.000000 that M12 is in danger (after 20204ms proces-to-process, 19803ms node-to-node, 6hops, 5versions (12 first, 17 discovered)
leader L2 of team T0 discovered at 29322.000000 that M15 is in danger (after 10252ms proces-to-process, 8676ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 31981.000000 that M14 is in danger (after 11522ms proces-to-process, 11366ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L2 of team T0 never discovered that M17 is in danger from 28412.
leader L2 of team T0 discovered at 38635.000000 that M16 is in danger (after 17203ms proces-to-process, 12597ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 46054.000000 that M19 is in danger (after 16893ms proces-to-process, 15355ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 37555.000000 that M18 is in danger (after 21303ms proces-to-process, 20546ms node-to-node, 8hops, 3versions (7 first, 10 discovered)
leader L3 of team T0 discovered at 29036.000000 that M39 is in danger (after 5443ms proces-to-process, 3398ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 30058.000000 that M38 is in danger (after 4302ms proces-to-process, 3940ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M37 is in danger (after 12543ms proces-to-process, 10764ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 28042.000000 that M36 is in danger (after 12397ms proces-to-process, 9808ms node-to-node, 3hops, 3versions (7 first, 10 discovered)
leader L3 of team T0 discovered at 35475.000000 that M35 is in danger (after 7600ms proces-to-process, 3784ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 36941.000000 that M34 is in danger (after 6617ms proces-to-process, 4997ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 43199.000000 that M33 is in danger (after 15543ms proces-to-process, 13752ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 35475.000000 that M32 is in danger (after 14369ms proces-to-process, 12998ms node-to-node, 4hops, 4versions (10 first, 14 discovered)
leader L3 of team T0 discovered at 20920.000000 that M31 is in danger (after 3259ms proces-to-process, 1295ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 discovered at 32286.000000 that M30 is in danger (after 3906ms proces-to-process, 2952ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 32793.000000 that M5 is in danger (after 13236ms proces-to-process, 12993ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 30900.000000 that M4 is in danger (after 8768ms proces-to-process, 5627ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 39375.000000 that M7 is in danger (after 9552ms proces-to-process, 7654ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 41470.000000 that M6 is in danger (after 18999ms proces-to-process, 17596ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 34281.000000 that M1 is in danger (after 9437ms proces-to-process, 8020ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 30900.000000 that M0 is in danger (after 10262ms proces-to-process, 9499ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 31541.000000 that M3 is in danger (after 12778ms proces-to-process, 11283ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 50823.000000 that M2 is in danger (after 23393ms proces-to-process, 21258ms node-to-node, 6hops, 6versions (13 first, 19 discovered)
leader L3 of team T0 discovered at 38820.000000 that M9 is in danger (after 8462ms proces-to-process, 7688ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 22731.000000 that M8 is in danger (after 5351ms proces-to-process, 4873ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 43898.000000 that M42 is in danger (after 14047ms proces-to-process, 12501ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 never discovered that M43 is in danger from 21135.
leader L3 of team T0 discovered at 39375.000000 that M40 is in danger (after 16110ms proces-to-process, 13405ms node-to-node, 2hops, 4versions (12 first, 16 discovered)
leader L3 of team T0 discovered at 48735.000000 that M41 is in danger (after 21508ms proces-to-process, 20169ms node-to-node, 4hops, 6versions (12 first, 18 discovered)
leader L3 of team T0 discovered at 41470.000000 that M28 is in danger (after 16655ms proces-to-process, 14123ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 39509.000000 that M29 is in danger (after 15437ms proces-to-process, 14866ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 47034.000000 that M24 is in danger (after 16823ms proces-to-process, 13194ms node-to-node, 5hops, 4versions (15 first, 19 discovered)
leader L3 of team T0 discovered at 36941.000000 that M25 is in danger (after 8855ms proces-to-process, 6066ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 45152.000000 that M26 is in danger (after 14833ms proces-to-process, 12636ms node-to-node, 4hops, 3versions (14 first, 17 discovered)
leader L3 of team T0 discovered at 32286.000000 that M27 is in danger (after 9460ms proces-to-process, 7620ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 52652.000000 that M20 is in danger (after 24414ms proces-to-process, 22561ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L3 of team T0 discovered at 35988.000000 that M21 is in danger (after 18341ms proces-to-process, 16954ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 32286.000000 that M22 is in danger (after 12296ms proces-to-process, 10377ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 39375.000000 that M23 is in danger (after 12648ms proces-to-process, 11981ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 47432.000000 that M44 is in danger (after 23017ms proces-to-process, 21485ms node-to-node, 7hops, 6versions (11 first, 17 discovered)
leader L3 of team T0 discovered at 29664.000000 that M45 is in danger (after 7276ms proces-to-process, 6497ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 34281.000000 that M11 is in danger (after 10868ms proces-to-process, 9313ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 34281.000000 that M10 is in danger (after 14563ms proces-to-process, 12964ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M13 is in danger (after 17834ms proces-to-process, 16619ms node-to-node, 7hops, 2versions (8 first, 10 discovered)
leader L3 of team T0 discovered at 36941.000000 that M12 is in danger (after 10604ms proces-to-process, 9790ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 42982.000000 that M15 is in danger (after 23912ms proces-to-process, 21795ms node-to-node, 5hops, 6versions (9 first, 15 discovered)
leader L3 of team T0 discovered at 25912.000000 that M14 is in danger (after 5453ms proces-to-process, 5038ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 never discovered that M17 is in danger from 28412.
leader L3 of team T0 discovered at 39375.000000 that M16 is in danger (after 17943ms proces-to-process, 14288ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L3 of team T0 discovered at 51990.000000 that M19 is in danger (after 22829ms proces-to-process, 21427ms node-to-node, 4hops, 7versions (14 first, 21 discovered)
leader L3 of team T0 discovered at 29664.000000 that M18 is in danger (after 13412ms proces-to-process, 12622ms node-to-node, 6hops, 3versions (7 first, 10 discovered)
leader L0 of team T0 discovered at 38468.000000 that M39 is in danger (after 14875ms proces-to-process, 12689ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 35278.000000 that M38 is in danger (after 9522ms proces-to-process, 8971ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 39672.000000 that M37 is in danger (after 16740ms proces-to-process, 15164ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 26382.000000 that M36 is in danger (after 10737ms proces-to-process, 8432ms node-to-node, 4hops, 3versions (7 first, 10 discovered)
leader L0 of team T0 discovered at 46420.000000 that M35 is in danger (after 18545ms proces-to-process, 15136ms node-to-node, 3hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 discovered at 36352.000000 that M34 is in danger (after 6028ms proces-to-process, 4761ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 40221.000000 that M33 is in danger (after 12565ms proces-to-process, 10728ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 27456.000000 that M32 is in danger (after 6350ms proces-to-process, 5322ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 27456.000000 that M31 is in danger (after 9795ms proces-to-process, 8323ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 39672.000000 that M30 is in danger (after 11292ms proces-to-process, 10591ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 38018.000000 that M5 is in danger (after 18461ms proces-to-process, 17793ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L0 of team T0 discovered at 42176.000000 that M4 is in danger (after 20044ms proces-to-process, 17208ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L0 of team T0 discovered at 39672.000000 that M7 is in danger (after 9849ms proces-to-process, 8259ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 37231.000000 that M6 is in danger (after 14760ms proces-to-process, 13256ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 43613.000000 that M1 is in danger (after 18769ms proces-to-process, 17711ms node-to-node, 7hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 31697.000000 that M0 is in danger (after 11059ms proces-to-process, 10464ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L0 of team T0 discovered at 31697.000000 that M3 is in danger (after 12934ms proces-to-process, 11109ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 37231.000000 that M2 is in danger (after 9801ms proces-to-process, 7766ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 40916.000000 that M9 is in danger (after 10558ms proces-to-process, 10132ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 27082.000000 that M8 is in danger (after 9702ms proces-to-process, 9671ms node-to-node, 2hops, 3versions (8 first, 11 discovered)
leader L0 of team T0 discovered at 48391.000000 that M42 is in danger (after 18540ms proces-to-process, 17222ms node-to-node, 9hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 discovered at 44631.000000 that M43 is in danger (after 23496ms proces-to-process, 20338ms node-to-node, 4hops, 6versions (11 first, 17 discovered)
leader L0 of team T0 discovered at 38468.000000 that M40 is in danger (after 15203ms proces-to-process, 12554ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 36352.000000 that M41 is in danger (after 9125ms proces-to-process, 7718ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 39672.000000 that M28 is in danger (after 14857ms proces-to-process, 12583ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 34418.000000 that M29 is in danger (after 10346ms proces-to-process, 9743ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 39672.000000 that M24 is in danger (after 9461ms proces-to-process, 6376ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L0 of team T0 discovered at 37231.000000 that M25 is in danger (after 9145ms proces-to-process, 7092ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 45587.000000 that M26 is in danger (after 15268ms proces-to-process, 12712ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 39672.000000 that M27 is in danger (after 16846ms proces-to-process, 14613ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 38468.000000 that M20 is in danger (after 10230ms proces-to-process, 8057ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 29195.000000 that M21 is in danger (after 11548ms proces-to-process, 10542ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 33639.000000 that M22 is in danger (after 13649ms proces-to-process, 12308ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 48997.000000 that M23 is in danger (after 22270ms proces-to-process, 21320ms node-to-node, 8hops, 5versions (12 first, 17 discovered)
leader L0 of team T0 discovered at 37231.000000 that M44 is in danger (after 12816ms proces-to-process, 11216ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 29195.000000 that M45 is in danger (after 6807ms proces-to-process, 5667ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 40221.000000 that M11 is in danger (after 16808ms proces-to-process, 14999ms node-to-node, 7hops, 2versions (12 first, 14 discovered)
leader L0 of team T0 never discovered that M10 is in danger from 19718.
leader L0 of team T0 discovered at 26382.000000 that M13 is in danger (after 8741ms proces-to-process, 7991ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 41878.000000 that M12 is in danger (after 15541ms proces-to-process, 15013ms node-to-node, 3hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 24240.000000 that M15 is in danger (after 5170ms proces-to-process, 3824ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 27082.000000 that M14 is in danger (after 6623ms proces-to-process, 6449ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 39672.000000 that M17 is in danger (after 11260ms proces-to-process, 9075ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 30441.000000 that M16 is in danger (after 9009ms proces-to-process, 5344ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 49512.000000 that M19 is in danger (after 20351ms proces-to-process, 18894ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 29195.000000 that M18 is in danger (after 12943ms proces-to-process, 11893ms node-to-node, 6hops, 3versions (7 first, 10 discovered)
leader L1 of team T0 discovered at 30195.000000 that M39 is in danger (after 6602ms proces-to-process, 4606ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 29899.000000 that M38 is in danger (after 4143ms proces-to-process, 3825ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 30195.000000 that M37 is in danger (after 7263ms proces-to-process, 5730ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 19350.000000 that M36 is in danger (after 3705ms proces-to-process, 1412ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 39778.000000 that M35 is in danger (after 11903ms proces-to-process, 8325ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 31772.000000 that M34 is in danger (after 1448ms proces-to-process, 203ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 31772.000000 that M33 is in danger (after 4116ms proces-to-process, 1863ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 23759.000000 that M32 is in danger (after 2653ms proces-to-process, 1667ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L1 of team T0 discovered at 23759.000000 that M31 is in danger (after 6098ms proces-to-process, 4781ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 discovered at 35194.000000 that M30 is in danger (after 6814ms proces-to-process, 6225ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 27889.000000 that M5 is in danger (after 8332ms proces-to-process, 8156ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 27002.000000 that M4 is in danger (after 4870ms proces-to-process, 2100ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 35194.000000 that M7 is in danger (after 5371ms proces-to-process, 3840ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M6 is in danger (after 10749ms proces-to-process, 9053ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 30195.000000 that M1 is in danger (after 5351ms proces-to-process, 4526ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 23759.000000 that M0 is in danger (after 3121ms proces-to-process, 2447ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 28370.000000 that M3 is in danger (after 9607ms proces-to-process, 7864ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M2 is in danger (after 5790ms proces-to-process, 3590ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 31772.000000 that M9 is in danger (after 1414ms proces-to-process, 607ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 18704.000000 that M8 is in danger (after 1324ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 40205.000000 that M42 is in danger (after 10354ms proces-to-process, 9368ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L1 of team T0 discovered at 33220.000000 that M43 is in danger (after 12085ms proces-to-process, 9162ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 25853.000000 that M40 is in danger (after 2588ms proces-to-process, 203ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 31772.000000 that M41 is in danger (after 4545ms proces-to-process, 3057ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 30195.000000 that M28 is in danger (after 5380ms proces-to-process, 2897ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 29745.000000 that M29 is in danger (after 5673ms proces-to-process, 4884ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 35194.000000 that M24 is in danger (after 4983ms proces-to-process, 1991ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L1 of team T0 discovered at 31772.000000 that M25 is in danger (after 3686ms proces-to-process, 1412ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 36560.000000 that M26 is in danger (after 6241ms proces-to-process, 4146ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 26315.000000 that M27 is in danger (after 3489ms proces-to-process, 1411ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 44137.000000 that M20 is in danger (after 15899ms proces-to-process, 13787ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 27002.000000 that M21 is in danger (after 9355ms proces-to-process, 7935ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 29037.000000 that M22 is in danger (after 9047ms proces-to-process, 7791ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 32080.000000 that M23 is in danger (after 5353ms proces-to-process, 4604ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 27889.000000 that M44 is in danger (after 3474ms proces-to-process, 1890ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 24329.000000 that M45 is in danger (after 1941ms proces-to-process, 1411ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 28370.000000 that M11 is in danger (after 4957ms proces-to-process, 3127ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30722.000000 that M10 is in danger (after 11004ms proces-to-process, 9398ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 22622.000000 that M13 is in danger (after 4981ms proces-to-process, 4441ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 27889.000000 that M12 is in danger (after 1552ms proces-to-process, 605ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 21637.000000 that M15 is in danger (after 2567ms proces-to-process, 1011ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 22622.000000 that M14 is in danger (after 2163ms proces-to-process, 1410ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M17 is in danger (after 4808ms proces-to-process, 2895ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 30722.000000 that M16 is in danger (after 9290ms proces-to-process, 5344ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 35194.000000 that M19 is in danger (after 6033ms proces-to-process, 4435ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 18704.000000 that M18 is in danger (after 2452ms proces-to-process, 1831ms node-to-node, 6hops, 0versions (7 first, 7 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=12025.106145, min=686, max=26644, median=11292
Node-2-node response time: avg=10408.955307, min=7, max=25016, median=9808
Hops: avg=4.815642, min=1, max=10, median=5
Process-2-process response time / 1 hop: avg=2763.430168, min=408, max=9290, median=2356
