Config: 
--------------------------------------------
leader L2 of team T0 discovered at 33914.000000 that M39 is in danger (after 10321ms proces-to-process, 8327ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M8 is in danger (after 11251ms proces-to-process, 10820ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 36113.000000 that M42 is in danger (after 6262ms proces-to-process, 4802ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 29322.000000 that M43 is in danger (after 8187ms proces-to-process, 5291ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 44064.000000 that M40 is in danger (after 20799ms proces-to-process, 17893ms node-to-node, 11hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 45039.000000 that M41 is in danger (after 17812ms proces-to-process, 16582ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 37020.000000 that M28 is in danger (after 12205ms proces-to-process, 9952ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 31124.000000 that M29 is in danger (after 7052ms proces-to-process, 5944ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 39074.000000 that M24 is in danger (after 8863ms proces-to-process, 5520ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 40665.000000 that M25 is in danger (after 12579ms proces-to-process, 10476ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M26 is in danger (after 8316ms proces-to-process, 5923ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M27 is in danger (after 9155ms proces-to-process, 6907ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 36113.000000 that M20 is in danger (after 7875ms proces-to-process, 5556ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 25851.000000 that M21 is in danger (after 8204ms proces-to-process, 7238ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 33914.000000 that M22 is in danger (after 13924ms proces-to-process, 12538ms node-to-node, 8hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 36113.000000 that M23 is in danger (after 9386ms proces-to-process, 8620ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 57038.000000 that M44 is in danger (after 32623ms proces-to-process, 30862ms node-to-node, 8hops, 8versions (11 first, 19 discovered)
leader L2 of team T0 discovered at 39768.000000 that M45 is in danger (after 17380ms proces-to-process, 16816ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 36741.000000 that M11 is in danger (after 13328ms proces-to-process, 11485ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29867.000000 that M10 is in danger (after 10149ms proces-to-process, 8541ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 22369.000000 that M13 is in danger (after 4728ms proces-to-process, 4103ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 37020.000000 that M12 is in danger (after 10683ms proces-to-process, 10101ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31981.000000 that M15 is in danger (after 12911ms proces-to-process, 11116ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 28631.000000 that M14 is in danger (after 8172ms proces-to-process, 7179ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 36741.000000 that M17 is in danger (after 8329ms proces-to-process, 6496ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M16 is in danger (after 10549ms proces-to-process, 6402ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 46054.000000 that M19 is in danger (after 16893ms proces-to-process, 15595ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 24551.000000 that M18 is in danger (after 8299ms proces-to-process, 6873ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 25912.000000 that M39 is in danger (after 2319ms proces-to-process, 168ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 28724.000000 that M38 is in danger (after 2968ms proces-to-process, 2579ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 38166.000000 that M37 is in danger (after 15234ms proces-to-process, 13797ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 54948.000000 that M36 is in danger (after 39303ms proces-to-process, 37121ms node-to-node, 8hops, 12versions (7 first, 19 discovered)
leader L3 of team T0 never discovered that M35 is in danger from 27875.
leader L3 of team T0 discovered at 32793.000000 that M34 is in danger (after 2469ms proces-to-process, 1586ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 32286.000000 that M33 is in danger (after 4630ms proces-to-process, 2779ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 32286.000000 that M32 is in danger (after 11180ms proces-to-process, 10260ms node-to-node, 5hops, 3versions (10 first, 13 discovered)
leader L3 of team T0 discovered at 31541.000000 that M31 is in danger (after 13796ms proces-to-process, 11173ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 34281.000000 that M30 is in danger (after 5901ms proces-to-process, 5153ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 34281.000000 that M5 is in danger (after 14724ms proces-to-process, 14505ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 36941.000000 that M4 is in danger (after 14809ms proces-to-process, 11920ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 49073.000000 that M7 is in danger (after 19250ms proces-to-process, 17780ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 43898.000000 that M6 is in danger (after 21427ms proces-to-process, 19361ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 39375.000000 that M1 is in danger (after 14531ms proces-to-process, 13449ms node-to-node, 10hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 40408.000000 that M0 is in danger (after 19770ms proces-to-process, 19179ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 51604.000000 that M3 is in danger (after 32841ms proces-to-process, 31260ms node-to-node, 5hops, 5versions (9 first, 14 discovered)
leader L3 of team T0 discovered at 50823.000000 that M2 is in danger (after 23393ms proces-to-process, 21107ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 43898.000000 that M9 is in danger (after 13540ms proces-to-process, 12748ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 37342.000000 that M8 is in danger (after 19962ms proces-to-process, 19755ms node-to-node, 5hops, 3versions (8 first, 11 discovered)
leader L3 of team T0 discovered at 40408.000000 that M42 is in danger (after 10557ms proces-to-process, 8835ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 33545.000000 that M43 is in danger (after 12410ms proces-to-process, 9463ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 47034.000000 that M40 is in danger (after 23769ms proces-to-process, 21142ms node-to-node, 10hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 never discovered that M41 is in danger from 27227.
leader L3 of team T0 discovered at 30058.000000 that M28 is in danger (after 5243ms proces-to-process, 2845ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 35475.000000 that M29 is in danger (after 11403ms proces-to-process, 10735ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 42982.000000 that M24 is in danger (after 12771ms proces-to-process, 9786ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L3 of team T0 discovered at 39375.000000 that M25 is in danger (after 11289ms proces-to-process, 9101ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 46072.000000 that M26 is in danger (after 15753ms proces-to-process, 13161ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 42029.000000 that M27 is in danger (after 19203ms proces-to-process, 17184ms node-to-node, 4hops, 6versions (11 first, 17 discovered)
leader L3 of team T0 discovered at 40408.000000 that M20 is in danger (after 12170ms proces-to-process, 10120ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 32286.000000 that M21 is in danger (after 14639ms proces-to-process, 13459ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 34281.000000 that M22 is in danger (after 14291ms proces-to-process, 12636ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 42029.000000 that M23 is in danger (after 15302ms proces-to-process, 14778ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 never discovered that M44 is in danger from 24415.
leader L3 of team T0 discovered at 43898.000000 that M45 is in danger (after 21510ms proces-to-process, 20887ms node-to-node, 12hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 36941.000000 that M11 is in danger (after 13528ms proces-to-process, 11357ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 32286.000000 that M10 is in danger (after 12568ms proces-to-process, 11193ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 30900.000000 that M13 is in danger (after 13259ms proces-to-process, 12410ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 discovered at 38166.000000 that M12 is in danger (after 11829ms proces-to-process, 11435ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 44527.000000 that M15 is in danger (after 25457ms proces-to-process, 23815ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 30058.000000 that M14 is in danger (after 9599ms proces-to-process, 9487ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 38820.000000 that M17 is in danger (after 10408ms proces-to-process, 8494ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 37342.000000 that M16 is in danger (after 15910ms proces-to-process, 12046ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 56163.000000 that M19 is in danger (after 27002ms proces-to-process, 25516ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 29664.000000 that M18 is in danger (after 13412ms proces-to-process, 12645ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L0 of team T0 discovered at 38468.000000 that M39 is in danger (after 14875ms proces-to-process, 12632ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 41442.000000 that M38 is in danger (after 15686ms proces-to-process, 15261ms node-to-node, 10hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 40916.000000 that M37 is in danger (after 17984ms proces-to-process, 16242ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 39174.000000 that M36 is in danger (after 23529ms proces-to-process, 21244ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L0 of team T0 never discovered that M35 is in danger from 27875.
leader L0 of team T0 discovered at 43081.000000 that M34 is in danger (after 12757ms proces-to-process, 11257ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 50716.000000 that M33 is in danger (after 23060ms proces-to-process, 20725ms node-to-node, 7hops, 5versions (13 first, 18 discovered)
leader L0 of team T0 discovered at 35278.000000 that M32 is in danger (after 14172ms proces-to-process, 13023ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L0 of team T0 discovered at 29195.000000 that M31 is in danger (after 11450ms proces-to-process, 8287ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 44032.000000 that M30 is in danger (after 15652ms proces-to-process, 15009ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 29195.000000 that M5 is in danger (after 9638ms proces-to-process, 8775ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 36352.000000 that M4 is in danger (after 14220ms proces-to-process, 11377ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 47485.000000 that M7 is in danger (after 17662ms proces-to-process, 15829ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 49512.000000 that M6 is in danger (after 27041ms proces-to-process, 25243ms node-to-node, 3hops, 6versions (11 first, 17 discovered)
leader L0 of team T0 discovered at 54988.000000 that M1 is in danger (after 30144ms proces-to-process, 29268ms node-to-node, 8hops, 9versions (12 first, 21 discovered)
leader L0 of team T0 discovered at 35278.000000 that M0 is in danger (after 14640ms proces-to-process, 13967ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 50001.000000 that M3 is in danger (after 31238ms proces-to-process, 29425ms node-to-node, 9hops, 5versions (9 first, 14 discovered)
leader L0 of team T0 never discovered that M2 is in danger from 27430.
leader L0 of team T0 discovered at 36797.000000 that M9 is in danger (after 6439ms proces-to-process, 6160ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 39174.000000 that M8 is in danger (after 21794ms proces-to-process, 21270ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 44631.000000 that M42 is in danger (after 14780ms proces-to-process, 13770ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 32222.000000 that M43 is in danger (after 11087ms proces-to-process, 8256ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 45935.000000 that M40 is in danger (after 22670ms proces-to-process, 20236ms node-to-node, 10hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 never discovered that M41 is in danger from 27227.
leader L0 of team T0 discovered at 45587.000000 that M28 is in danger (after 20772ms proces-to-process, 17831ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 36352.000000 that M29 is in danger (after 12280ms proces-to-process, 11512ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 43081.000000 that M24 is in danger (after 12870ms proces-to-process, 9112ms node-to-node, 7hops, 0versions (15 first, 15 discovered)
leader L0 of team T0 discovered at 50001.000000 that M25 is in danger (after 21915ms proces-to-process, 19624ms node-to-node, 7hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 discovered at 46420.000000 that M26 is in danger (after 16101ms proces-to-process, 13783ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 36352.000000 that M27 is in danger (after 13526ms proces-to-process, 11531ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 38468.000000 that M20 is in danger (after 10230ms proces-to-process, 8229ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 26382.000000 that M21 is in danger (after 8735ms proces-to-process, 7411ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 38018.000000 that M22 is in danger (after 18028ms proces-to-process, 16001ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 41442.000000 that M23 is in danger (after 14715ms proces-to-process, 13776ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 58040.000000 that M44 is in danger (after 33625ms proces-to-process, 31791ms node-to-node, 7hops, 8versions (11 first, 19 discovered)
leader L0 of team T0 discovered at 50001.000000 that M45 is in danger (after 27613ms proces-to-process, 26909ms node-to-node, 10hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 47485.000000 that M11 is in danger (after 24072ms proces-to-process, 22454ms node-to-node, 6hops, 5versions (12 first, 17 discovered)
leader L0 of team T0 discovered at 26382.000000 that M10 is in danger (after 6664ms proces-to-process, 5309ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 29195.000000 that M13 is in danger (after 11554ms proces-to-process, 11055ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 43613.000000 that M12 is in danger (after 17276ms proces-to-process, 16652ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 44032.000000 that M15 is in danger (after 24962ms proces-to-process, 23356ms node-to-node, 3hops, 5versions (9 first, 14 discovered)
leader L0 of team T0 discovered at 24240.000000 that M14 is in danger (after 3781ms proces-to-process, 3379ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 39672.000000 that M17 is in danger (after 11260ms proces-to-process, 9505ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M16 is in danger (after 12986ms proces-to-process, 9367ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 39672.000000 that M19 is in danger (after 10511ms proces-to-process, 9304ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 22026.000000 that M18 is in danger (after 5774ms proces-to-process, 5021ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 31772.000000 that M39 is in danger (after 8179ms proces-to-process, 5735ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 31772.000000 that M38 is in danger (after 6016ms proces-to-process, 5108ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 41151.000000 that M37 is in danger (after 18219ms proces-to-process, 16710ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 39049.000000 that M36 is in danger (after 23404ms proces-to-process, 20827ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L1 of team T0 never discovered that M35 is in danger from 27875.
leader L1 of team T0 discovered at 45297.000000 that M34 is in danger (after 14973ms proces-to-process, 13939ms node-to-node, 5hops, 4versions (14 first, 18 discovered)
leader L1 of team T0 discovered at 37019.000000 that M33 is in danger (after 9363ms proces-to-process, 7272ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 30195.000000 that M32 is in danger (after 9089ms proces-to-process, 7903ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L1 of team T0 discovered at 24969.000000 that M31 is in danger (after 7224ms proces-to-process, 4122ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 39049.000000 that M30 is in danger (after 10669ms proces-to-process, 9867ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 29899.000000 that M5 is in danger (after 10342ms proces-to-process, 10143ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 30722.000000 that M4 is in danger (after 8590ms proces-to-process, 5876ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 44137.000000 that M7 is in danger (after 14314ms proces-to-process, 12812ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L1 of team T0 discovered at 38186.000000 that M6 is in danger (after 15715ms proces-to-process, 14117ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 35960.000000 that M1 is in danger (after 11116ms proces-to-process, 10264ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 37851.000000 that M0 is in danger (after 17213ms proces-to-process, 16458ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L1 of team T0 discovered at 29745.000000 that M3 is in danger (after 10982ms proces-to-process, 9002ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 44137.000000 that M2 is in danger (after 16707ms proces-to-process, 14456ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 41151.000000 that M9 is in danger (after 10793ms proces-to-process, 10372ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 22622.000000 that M8 is in danger (after 5242ms proces-to-process, 5172ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 37019.000000 that M42 is in danger (after 7168ms proces-to-process, 6086ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 30722.000000 that M43 is in danger (after 9587ms proces-to-process, 6323ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 48843.000000 that M40 is in danger (after 25578ms proces-to-process, 22903ms node-to-node, 13hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 44416.000000 that M41 is in danger (after 17189ms proces-to-process, 16042ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 32080.000000 that M28 is in danger (after 7265ms proces-to-process, 4825ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 35194.000000 that M29 is in danger (after 11122ms proces-to-process, 10528ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 40205.000000 that M24 is in danger (after 9994ms proces-to-process, 6718ms node-to-node, 4hops, 2versions (15 first, 17 discovered)
leader L1 of team T0 discovered at 40766.000000 that M25 is in danger (after 12680ms proces-to-process, 10460ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 39778.000000 that M26 is in danger (after 9459ms proces-to-process, 6983ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 35194.000000 that M27 is in danger (after 12368ms proces-to-process, 10273ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 35513.000000 that M20 is in danger (after 7275ms proces-to-process, 5450ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 29745.000000 that M21 is in danger (after 12098ms proces-to-process, 10596ms node-to-node, 4hops, 2versions (8 first, 10 discovered)
leader L1 of team T0 discovered at 28370.000000 that M22 is in danger (after 8380ms proces-to-process, 6813ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M23 is in danger (after 6493ms proces-to-process, 5112ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 53293.000000 that M44 is in danger (after 28878ms proces-to-process, 27308ms node-to-node, 5hops, 8versions (11 first, 19 discovered)
leader L1 of team T0 discovered at 44137.000000 that M45 is in danger (after 21749ms proces-to-process, 21424ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 34740.000000 that M11 is in danger (after 11327ms proces-to-process, 9823ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 24969.000000 that M10 is in danger (after 5251ms proces-to-process, 3905ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 21883.000000 that M13 is in danger (after 4242ms proces-to-process, 3612ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 31772.000000 that M12 is in danger (after 5435ms proces-to-process, 4726ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30722.000000 that M15 is in danger (after 11652ms proces-to-process, 10218ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 26315.000000 that M14 is in danger (after 5856ms proces-to-process, 5575ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 35960.000000 that M17 is in danger (after 7548ms proces-to-process, 5531ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 31772.000000 that M16 is in danger (after 10340ms proces-to-process, 6208ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 52762.000000 that M19 is in danger (after 23601ms proces-to-process, 21847ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 21637.000000 that M18 is in danger (after 5385ms proces-to-process, 4858ms node-to-node, 3hops, 0versions (7 first, 7 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=13762.045455, min=2319, max=39303, median=12496
Node-2-node response time: avg=12151.375000, min=168, max=37121, median=10777
Hops: avg=4.977273, min=1, max=13, median=5
Process-2-process response time / 1 hop: avg=3134.448864, min=989, max=10982, median=2766
Node-2-node response time / 1 hop: avg=2722.375000, min=84, max=9304, median=2366
Version difference: avg=1.210227, min=0, max=12, median=1
Ratio of leader discoveries: 176 of 184 (95.652174%)
Ratio of discoveries regardless the number of leaders: 45 of 46 (97.826087%)
