Config: 
--------------------------------------------
leader L2 of team T0 discovered at 30001.000000 that M39 is in danger (after 6408ms proces-to-process, 4368ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 41878.000000 that M37 is in danger (after 18946ms proces-to-process, 17152ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 29195.000000 that M36 is in danger (after 13550ms proces-to-process, 10687ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L0 of team T0 discovered at 47485.000000 that M35 is in danger (after 19610ms proces-to-process, 15625ms node-to-node, 13hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 53849.000000 that M34 is in danger (after 23525ms proces-to-process, 22681ms node-to-node, 4hops, 7versions (14 first, 21 discovered)
leader L0 of team T0 never discovered that M33 is in danger from 27656.
leader L0 of team T0 discovered at 35593.000000 that M32 is in danger (after 14487ms proces-to-process, 13471ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 39672.000000 that M31 is in danger (after 22011ms proces-to-process, 20621ms node-to-node, 8hops, 3versions (8 first, 11 discovered)
leader L0 of team T0 discovered at 47485.000000 that M30 is in danger (after 19105ms proces-to-process, 17860ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L0 of team T0 discovered at 22097.000000 that M5 is in danger (after 2540ms proces-to-process, 2342ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 40916.000000 that M4 is in danger (after 18784ms proces-to-process, 15543ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 43613.000000 that M7 is in danger (after 13790ms proces-to-process, 11949ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 32222.000000 that M6 is in danger (after 9751ms proces-to-process, 7987ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 40916.000000 that M1 is in danger (after 16072ms proces-to-process, 14689ms node-to-node, 9hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 32222.000000 that M0 is in danger (after 11584ms proces-to-process, 11172ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 50716.000000 that M3 is in danger (after 31953ms proces-to-process, 29979ms node-to-node, 7hops, 7versions (9 first, 16 discovered)
leader L0 of team T0 discovered at 41442.000000 that M2 is in danger (after 14012ms proces-to-process, 11737ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 46420.000000 that M9 is in danger (after 16062ms proces-to-process, 15543ms node-to-node, 3hops, 4versions (13 first, 17 discovered)
leader L0 of team T0 discovered at 30730.000000 that M8 is in danger (after 13350ms proces-to-process, 13091ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 51602.000000 that M42 is in danger (after 21751ms proces-to-process, 20408ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 38468.000000 that M43 is in danger (after 17333ms proces-to-process, 14264ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 37231.000000 that M40 is in danger (after 13966ms proces-to-process, 11450ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 40221.000000 that M41 is in danger (after 12994ms proces-to-process, 11853ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 36352.000000 that M28 is in danger (after 11537ms proces-to-process, 9078ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 45587.000000 that M29 is in danger (after 21515ms proces-to-process, 20252ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 41878.000000 that M24 is in danger (after 11667ms proces-to-process, 8386ms node-to-node, 4hops, 2versions (15 first, 17 discovered)
leader L0 of team T0 discovered at 53849.000000 that M25 is in danger (after 25763ms proces-to-process, 23582ms node-to-node, 10hops, 6versions (14 first, 20 discovered)
leader L0 of team T0 discovered at 46789.000000 that M26 is in danger (after 16470ms proces-to-process, 14430ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 38468.000000 that M27 is in danger (after 15642ms proces-to-process, 13754ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 never discovered that M20 is in danger from 28238.
leader L0 of team T0 discovered at 51008.000000 that M21 is in danger (after 33361ms proces-to-process, 32321ms node-to-node, 4hops, 11versions (8 first, 19 discovered)
leader L0 of team T0 discovered at 41442.000000 that M22 is in danger (after 21452ms proces-to-process, 20004ms node-to-node, 4hops, 5versions (9 first, 14 discovered)
leader L0 of team T0 discovered at 47803.000000 that M23 is in danger (after 21076ms proces-to-process, 20535ms node-to-node, 4hops, 7versions (12 first, 19 discovered)
leader L0 of team T0 discovered at 34418.000000 that M44 is in danger (after 10003ms proces-to-process, 8313ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 40916.000000 that M45 is in danger (after 18528ms proces-to-process, 17720ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 36352.000000 that M11 is in danger (after 12939ms proces-to-process, 11122ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 24857.000000 that M10 is in danger (after 5139ms proces-to-process, 3858ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 24857.000000 that M13 is in danger (after 7216ms proces-to-process, 6598ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 57161.000000 that M12 is in danger (after 30824ms proces-to-process, 30298ms node-to-node, 3hops, 8versions (12 first, 20 discovered)
leader L0 of team T0 discovered at 25671.000000 that M15 is in danger (after 6601ms proces-to-process, 4962ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 27687.000000 that M14 is in danger (after 7228ms proces-to-process, 7087ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L0 of team T0 discovered at 48997.000000 that M17 is in danger (after 20585ms proces-to-process, 18270ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L0 of team T0 discovered at 44631.000000 that M16 is in danger (after 23199ms proces-to-process, 19582ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 44631.000000 that M19 is in danger (after 15470ms proces-to-process, 14050ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 30441.000000 that M18 is in danger (after 14189ms proces-to-process, 13065ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 33220.000000 that M39 is in danger (after 9627ms proces-to-process, 6731ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 43193.000000 that M38 is in danger (after 17437ms proces-to-process, 16766ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
leader L1 of team T0 discovered at 51915.000000 that M37 is in danger (after 28983ms proces-to-process, 26971ms node-to-node, 9hops, 8versions (11 first, 19 discovered)
leader L1 of team T0 discovered at 30722.000000 that M36 is in danger (after 15077ms proces-to-process, 12465ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 46940.000000 that M35 is in danger (after 19065ms proces-to-process, 15650ms node-to-node, 8hops, 3versions (14 first, 17 discovered)
leader L1 of team T0 discovered at 57540.000000 that M34 is in danger (after 27216ms proces-to-process, 25940ms node-to-node, 9hops, 9versions (14 first, 23 discovered)
leader L1 of team T0 discovered at 47321.000000 that M33 is in danger (after 19665ms proces-to-process, 17689ms node-to-node, 13hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 31772.000000 that M32 is in danger (after 10666ms proces-to-process, 9048ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L1 of team T0 discovered at 43193.000000 that M31 is in danger (after 25532ms proces-to-process, 23820ms node-to-node, 6hops, 5versions (8 first, 13 discovered)
leader L1 of team T0 discovered at 36560.000000 that M30 is in danger (after 8180ms proces-to-process, 7032ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 27002.000000 that M5 is in danger (after 7445ms proces-to-process, 7088ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 36560.000000 that M4 is in danger (after 14428ms proces-to-process, 11578ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 43193.000000 that M7 is in danger (after 13370ms proces-to-process, 11816ms node-to-node, 4hops, 4versions (14 first, 18 discovered)
leader L1 of team T0 discovered at 29745.000000 that M6 is in danger (after 7274ms proces-to-process, 5813ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 49769.000000 that M1 is in danger (after 24925ms proces-to-process, 23655ms node-to-node, 5hops, 6versions (12 first, 18 discovered)
leader L1 of team T0 discovered at 27002.000000 that M0 is in danger (after 6364ms proces-to-process, 5579ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 never discovered that M3 is in danger from 18763.
leader L1 of team T0 discovered at 43193.000000 that M2 is in danger (after 15763ms proces-to-process, 13525ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 33220.000000 that M9 is in danger (after 2862ms proces-to-process, 1996ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 33741.000000 that M8 is in danger (after 16361ms proces-to-process, 16023ms node-to-node, 6hops, 5versions (8 first, 13 discovered)
leader L1 of team T0 discovered at 58851.000000 that M42 is in danger (after 29000ms proces-to-process, 27943ms node-to-node, 5hops, 9versions (14 first, 23 discovered)
leader L1 of team T0 discovered at 42286.000000 that M43 is in danger (after 21151ms proces-to-process, 17821ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
leader L1 of team T0 discovered at 29745.000000 that M40 is in danger (after 6480ms proces-to-process, 4000ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 45297.000000 that M41 is in danger (after 18070ms proces-to-process, 16173ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L1 of team T0 discovered at 32080.000000 that M28 is in danger (after 7265ms proces-to-process, 4972ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 35194.000000 that M29 is in danger (after 11122ms proces-to-process, 10473ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 47321.000000 that M24 is in danger (after 17110ms proces-to-process, 14091ms node-to-node, 4hops, 5versions (15 first, 20 discovered)
leader L1 of team T0 discovered at 39778.000000 that M25 is in danger (after 11692ms proces-to-process, 9166ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 46745.000000 that M26 is in danger (after 16426ms proces-to-process, 14341ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 48101.000000 that M27 is in danger (after 25275ms proces-to-process, 22914ms node-to-node, 4hops, 9versions (11 first, 20 discovered)
leader L1 of team T0 discovered at 42286.000000 that M20 is in danger (after 14048ms proces-to-process, 11971ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 35194.000000 that M21 is in danger (after 17547ms proces-to-process, 16503ms node-to-node, 5hops, 5versions (8 first, 13 discovered)
leader L1 of team T0 discovered at 44137.000000 that M22 is in danger (after 24147ms proces-to-process, 22531ms node-to-node, 4hops, 10versions (9 first, 19 discovered)
leader L1 of team T0 discovered at 49769.000000 that M23 is in danger (after 23042ms proces-to-process, 22026ms node-to-node, 4hops, 8versions (12 first, 20 discovered)
leader L1 of team T0 discovered at 30195.000000 that M44 is in danger (after 5780ms proces-to-process, 4294ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 40205.000000 that M45 is in danger (after 17817ms proces-to-process, 17154ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L1 of team T0 discovered at 29745.000000 that M11 is in danger (after 6332ms proces-to-process, 4619ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 32080.000000 that M10 is in danger (after 12362ms proces-to-process, 10997ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 27889.000000 that M13 is in danger (after 10248ms proces-to-process, 9348ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 discovered at 44137.000000 that M12 is in danger (after 17800ms proces-to-process, 17310ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L1 of team T0 discovered at 43193.000000 that M15 is in danger (after 24123ms proces-to-process, 22443ms node-to-node, 5hops, 8versions (9 first, 17 discovered)
leader L1 of team T0 discovered at 27177.000000 that M14 is in danger (after 6718ms proces-to-process, 6543ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 49769.000000 that M17 is in danger (after 21357ms proces-to-process, 19634ms node-to-node, 6hops, 7versions (13 first, 20 discovered)
leader L1 of team T0 discovered at 35960.000000 that M16 is in danger (after 14528ms proces-to-process, 10569ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 45297.000000 that M19 is in danger (after 16136ms proces-to-process, 14413ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 23970.000000 that M18 is in danger (after 7718ms proces-to-process, 7019ms node-to-node, 5hops, 1versions (7 first, 8 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=15007.569832, min=2540, max=33361, median=14470
Node-2-node response time: avg=13378.575419, min=868, max=32321, median=13091
Hops: avg=5.178771, min=1, max=14, median=5
Process-2-process response time / 1 hop: avg=3350.027933, min=1077, max=12596, median=2884
