Config: 
--------------------------------------------
leader L2 of team T0 discovered at 29867.000000 that M39 is in danger (after 6274ms proces-to-process, 3833ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 25851.000000 that M6 is in danger (after 3380ms proces-to-process, 1790ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 26743.000000 that M1 is in danger (after 1899ms proces-to-process, 606ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25094.000000 that M0 is in danger (after 4456ms proces-to-process, 4058ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 21055.000000 that M3 is in danger (after 2292ms proces-to-process, 608ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 33056.000000 that M2 is in danger (after 5626ms proces-to-process, 3593ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 31981.000000 that M9 is in danger (after 1623ms proces-to-process, 871ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 21055.000000 that M8 is in danger (after 3675ms proces-to-process, 3346ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 31981.000000 that M42 is in danger (after 2130ms proces-to-process, 1007ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 26743.000000 that M43 is in danger (after 5608ms proces-to-process, 2565ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 29066.000000 that M40 is in danger (after 5801ms proces-to-process, 3190ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 29322.000000 that M41 is in danger (after 2095ms proces-to-process, 923ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 36113.000000 that M28 is in danger (after 11298ms proces-to-process, 8864ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25851.000000 that M29 is in danger (after 1779ms proces-to-process, 822ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 35538.000000 that M24 is in danger (after 5327ms proces-to-process, 2318ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 36741.000000 that M25 is in danger (after 8655ms proces-to-process, 6074ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 38635.000000 that M26 is in danger (after 8316ms proces-to-process, 5469ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 25851.000000 that M27 is in danger (after 3025ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31124.000000 that M20 is in danger (after 2886ms proces-to-process, 203ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 23545.000000 that M21 is in danger (after 5898ms proces-to-process, 4976ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 25094.000000 that M22 is in danger (after 5104ms proces-to-process, 3324ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 28631.000000 that M23 is in danger (after 1904ms proces-to-process, 1006ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29322.000000 that M44 is in danger (after 4907ms proces-to-process, 3222ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 25851.000000 that M45 is in danger (after 3463ms proces-to-process, 2863ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 25851.000000 that M11 is in danger (after 2438ms proces-to-process, 467ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 23340.000000 that M10 is in danger (after 3622ms proces-to-process, 2216ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 21789.000000 that M13 is in danger (after 4148ms proces-to-process, 2940ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 27314.000000 that M12 is in danger (after 977ms proces-to-process, 203ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25094.000000 that M15 is in danger (after 6024ms proces-to-process, 4238ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 22779.000000 that M14 is in danger (after 2320ms proces-to-process, 2014ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 39768.000000 that M17 is in danger (after 11356ms proces-to-process, 9151ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 29867.000000 that M16 is in danger (after 8435ms proces-to-process, 4751ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 35538.000000 that M19 is in danger (after 6377ms proces-to-process, 4996ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 24551.000000 that M18 is in danger (after 8299ms proces-to-process, 7154ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L3 of team T0 discovered at 31541.000000 that M39 is in danger (after 7948ms proces-to-process, 5846ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 30058.000000 that M38 is in danger (after 4302ms proces-to-process, 3627ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 29664.000000 that M37 is in danger (after 6732ms proces-to-process, 4723ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 20920.000000 that M36 is in danger (after 5275ms proces-to-process, 3010ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L3 of team T0 discovered at 40408.000000 that M35 is in danger (after 12533ms proces-to-process, 8526ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 42982.000000 that M34 is in danger (after 12658ms proces-to-process, 11344ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 30900.000000 that M33 is in danger (after 3244ms proces-to-process, 1132ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 24334.000000 that M32 is in danger (after 3228ms proces-to-process, 2153ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L3 of team T0 discovered at 29664.000000 that M31 is in danger (after 11919ms proces-to-process, 8818ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 37342.000000 that M30 is in danger (after 8962ms proces-to-process, 8098ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 24334.000000 that M5 is in danger (after 4777ms proces-to-process, 4210ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 31541.000000 that M4 is in danger (after 9409ms proces-to-process, 6541ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L3 of team T0 discovered at 36941.000000 that M7 is in danger (after 7118ms proces-to-process, 4965ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 26445.000000 that M6 is in danger (after 3974ms proces-to-process, 2468ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 28042.000000 that M1 is in danger (after 3198ms proces-to-process, 2349ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 25912.000000 that M0 is in danger (after 5274ms proces-to-process, 4731ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 21884.000000 that M3 is in danger (after 3121ms proces-to-process, 1429ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 40408.000000 that M2 is in danger (after 12978ms proces-to-process, 11109ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 34671.000000 that M9 is in danger (after 4313ms proces-to-process, 4072ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 21884.000000 that M8 is in danger (after 4504ms proces-to-process, 3766ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 36941.000000 that M42 is in danger (after 7090ms proces-to-process, 6173ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L3 of team T0 discovered at 26445.000000 that M43 is in danger (after 5310ms proces-to-process, 2415ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 39375.000000 that M40 is in danger (after 16110ms proces-to-process, 13259ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L3 of team T0 discovered at 30900.000000 that M41 is in danger (after 3673ms proces-to-process, 2292ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 36941.000000 that M28 is in danger (after 12126ms proces-to-process, 9821ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 25326.000000 that M29 is in danger (after 1254ms proces-to-process, 223ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 37342.000000 that M24 is in danger (after 7131ms proces-to-process, 4098ms node-to-node, 6hops, 1versions (15 first, 16 discovered)
leader L3 of team T0 discovered at 36941.000000 that M25 is in danger (after 8855ms proces-to-process, 6868ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 38166.000000 that M26 is in danger (after 7847ms proces-to-process, 5593ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 25326.000000 that M27 is in danger (after 2500ms proces-to-process, 554ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35988.000000 that M20 is in danger (after 7750ms proces-to-process, 5890ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 24644.000000 that M21 is in danger (after 6997ms proces-to-process, 5791ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 29664.000000 that M22 is in danger (after 9674ms proces-to-process, 8124ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 28724.000000 that M23 is in danger (after 1997ms proces-to-process, 1330ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 30900.000000 that M44 is in danger (after 6485ms proces-to-process, 4827ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 25912.000000 that M45 is in danger (after 3524ms proces-to-process, 3113ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 25326.000000 that M11 is in danger (after 1913ms proces-to-process, 467ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 24334.000000 that M10 is in danger (after 4616ms proces-to-process, 3353ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 21884.000000 that M13 is in danger (after 4243ms proces-to-process, 3590ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 28724.000000 that M12 is in danger (after 2387ms proces-to-process, 1704ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 24644.000000 that M15 is in danger (after 5574ms proces-to-process, 4207ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 22731.000000 that M14 is in danger (after 2272ms proces-to-process, 2014ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 40408.000000 that M17 is in danger (after 11996ms proces-to-process, 9691ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 30900.000000 that M16 is in danger (after 9468ms proces-to-process, 5393ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35988.000000 that M19 is in danger (after 6827ms proces-to-process, 5595ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 25326.000000 that M18 is in danger (after 9074ms proces-to-process, 7991ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M39 is in danger (after 8104ms proces-to-process, 5820ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 36352.000000 that M38 is in danger (after 10596ms proces-to-process, 10289ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 34418.000000 that M37 is in danger (after 11486ms proces-to-process, 9308ms node-to-node, 9hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 29528.000000 that M36 is in danger (after 13883ms proces-to-process, 11415ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 43081.000000 that M35 is in danger (after 15206ms proces-to-process, 11011ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 50001.000000 that M34 is in danger (after 19677ms proces-to-process, 18458ms node-to-node, 7hops, 6versions (14 first, 20 discovered)
leader L0 of team T0 discovered at 33639.000000 that M33 is in danger (after 5983ms proces-to-process, 4093ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 29195.000000 that M32 is in danger (after 8089ms proces-to-process, 7081ms node-to-node, 8hops, 1versions (10 first, 11 discovered)
leader L0 of team T0 discovered at 31697.000000 that M31 is in danger (after 13952ms proces-to-process, 10668ms node-to-node, 7hops, 2versions (9 first, 11 discovered)
leader L0 of team T0 discovered at 37231.000000 that M30 is in danger (after 8851ms proces-to-process, 8198ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 27082.000000 that M5 is in danger (after 7525ms proces-to-process, 7018ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 46789.000000 that M4 is in danger (after 24657ms proces-to-process, 21940ms node-to-node, 8hops, 6versions (11 first, 17 discovered)
leader L0 of team T0 discovered at 36797.000000 that M7 is in danger (after 6974ms proces-to-process, 5190ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 33639.000000 that M6 is in danger (after 11168ms proces-to-process, 9696ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 30441.000000 that M1 is in danger (after 5597ms proces-to-process, 4186ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 40916.000000 that M0 is in danger (after 20278ms proces-to-process, 19846ms node-to-node, 6hops, 4versions (9 first, 13 discovered)
leader L0 of team T0 discovered at 30441.000000 that M3 is in danger (after 11678ms proces-to-process, 10008ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 40916.000000 that M2 is in danger (after 13486ms proces-to-process, 11106ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 34944.000000 that M9 is in danger (after 4586ms proces-to-process, 4375ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 24646.000000 that M8 is in danger (after 7266ms proces-to-process, 7113ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 40916.000000 that M42 is in danger (after 11065ms proces-to-process, 9737ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 29195.000000 that M43 is in danger (after 8060ms proces-to-process, 5087ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 33176.000000 that M40 is in danger (after 9911ms proces-to-process, 6617ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 33639.000000 that M41 is in danger (after 6412ms proces-to-process, 5199ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 37231.000000 that M28 is in danger (after 12416ms proces-to-process, 9765ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 34944.000000 that M29 is in danger (after 10872ms proces-to-process, 10379ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 43613.000000 that M24 is in danger (after 13402ms proces-to-process, 10222ms node-to-node, 8hops, 1versions (15 first, 16 discovered)
leader L0 of team T0 discovered at 41442.000000 that M25 is in danger (after 13356ms proces-to-process, 11191ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 44631.000000 that M26 is in danger (after 14312ms proces-to-process, 11695ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 29195.000000 that M27 is in danger (after 6369ms proces-to-process, 4284ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 41442.000000 that M20 is in danger (after 13204ms proces-to-process, 10879ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 19212.000000 that M21 is in danger (after 1565ms proces-to-process, 324ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 27082.000000 that M22 is in danger (after 7092ms proces-to-process, 5807ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 36352.000000 that M23 is in danger (after 9625ms proces-to-process, 8735ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 36352.000000 that M44 is in danger (after 11937ms proces-to-process, 10092ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 33176.000000 that M45 is in danger (after 10788ms proces-to-process, 9748ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 29195.000000 that M11 is in danger (after 5782ms proces-to-process, 4255ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 27456.000000 that M10 is in danger (after 7738ms proces-to-process, 6531ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 26382.000000 that M13 is in danger (after 8741ms proces-to-process, 8066ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 34418.000000 that M12 is in danger (after 8081ms proces-to-process, 7622ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 27082.000000 that M15 is in danger (after 8012ms proces-to-process, 6292ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 27082.000000 that M14 is in danger (after 6623ms proces-to-process, 5924ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 36352.000000 that M17 is in danger (after 7940ms proces-to-process, 5488ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 29528.000000 that M16 is in danger (after 8096ms proces-to-process, 4348ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 38018.000000 that M19 is in danger (after 8857ms proces-to-process, 7162ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 22026.000000 that M18 is in danger (after 5774ms proces-to-process, 5140ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 33741.000000 that M39 is in danger (after 10148ms proces-to-process, 8101ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 33741.000000 that M38 is in danger (after 7985ms proces-to-process, 7636ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 33220.000000 that M37 is in danger (after 10288ms proces-to-process, 8545ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 25751.000000 that M36 is in danger (after 10106ms proces-to-process, 7636ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 44137.000000 that M35 is in danger (after 16262ms proces-to-process, 12528ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L1 of team T0 discovered at 46745.000000 that M34 is in danger (after 16421ms proces-to-process, 15594ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 34740.000000 that M33 is in danger (after 7084ms proces-to-process, 4572ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 30722.000000 that M32 is in danger (after 9616ms proces-to-process, 8534ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L1 of team T0 discovered at 31772.000000 that M31 is in danger (after 14027ms proces-to-process, 11002ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 34740.000000 that M30 is in danger (after 6360ms proces-to-process, 4949ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 29037.000000 that M5 is in danger (after 9480ms proces-to-process, 8912ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 42286.000000 that M4 is in danger (after 20154ms proces-to-process, 17196ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L1 of team T0 discovered at 37324.000000 that M7 is in danger (after 7501ms proces-to-process, 5888ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 24969.000000 that M6 is in danger (after 2498ms proces-to-process, 986ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 31772.000000 that M1 is in danger (after 6928ms proces-to-process, 5624ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30722.000000 that M0 is in danger (after 10084ms proces-to-process, 9176ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 25751.000000 that M3 is in danger (after 6988ms proces-to-process, 5176ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 37851.000000 that M2 is in danger (after 10421ms proces-to-process, 8409ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 38186.000000 that M9 is in danger (after 7828ms proces-to-process, 7572ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 23970.000000 that M8 is in danger (after 6590ms proces-to-process, 6563ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 36560.000000 that M42 is in danger (after 6709ms proces-to-process, 5241ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 31772.000000 that M43 is in danger (after 10637ms proces-to-process, 7607ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 38186.000000 that M40 is in danger (after 14921ms proces-to-process, 12338ms node-to-node, 7hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 34740.000000 that M41 is in danger (after 7513ms proces-to-process, 5940ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 40205.000000 that M28 is in danger (after 15390ms proces-to-process, 12825ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 34740.000000 that M29 is in danger (after 10668ms proces-to-process, 9436ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 42286.000000 that M24 is in danger (after 12075ms proces-to-process, 8585ms node-to-node, 5hops, 2versions (15 first, 17 discovered)
leader L1 of team T0 discovered at 41151.000000 that M25 is in danger (after 13065ms proces-to-process, 10733ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 42286.000000 that M26 is in danger (after 11967ms proces-to-process, 9418ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 34740.000000 that M27 is in danger (after 11914ms proces-to-process, 9400ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 37324.000000 that M20 is in danger (after 9086ms proces-to-process, 7089ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 29745.000000 that M21 is in danger (after 12098ms proces-to-process, 11112ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 29745.000000 that M22 is in danger (after 9755ms proces-to-process, 7858ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 34740.000000 that M23 is in danger (after 8013ms proces-to-process, 6561ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 34740.000000 that M44 is in danger (after 10325ms proces-to-process, 8258ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 35960.000000 that M45 is in danger (after 13572ms proces-to-process, 13154ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 32080.000000 that M11 is in danger (after 8667ms proces-to-process, 7181ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 26315.000000 that M10 is in danger (after 6597ms proces-to-process, 5463ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 25751.000000 that M13 is in danger (after 8110ms proces-to-process, 7162ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 35513.000000 that M12 is in danger (after 9176ms proces-to-process, 8688ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 29745.000000 that M15 is in danger (after 10675ms proces-to-process, 8678ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 28370.000000 that M14 is in danger (after 7911ms proces-to-process, 7681ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 43518.000000 that M17 is in danger (after 15106ms proces-to-process, 13361ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 35960.000000 that M16 is in danger (after 14528ms proces-to-process, 10722ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 40205.000000 that M19 is in danger (after 11044ms proces-to-process, 9722ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
