Config: 
--------------------------------------------
leader L2 of team T0 discovered at 29066.000000 that M39 is in danger (after 5473ms proces-to-process, 3318ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 34984.000000 that M0 is in danger (after 14346ms proces-to-process, 13748ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L2 of team T0 discovered at 27651.000000 that M3 is in danger (after 8888ms proces-to-process, 7183ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 38635.000000 that M2 is in danger (after 11205ms proces-to-process, 8330ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 38635.000000 that M9 is in danger (after 8277ms proces-to-process, 7740ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 21789.000000 that M8 is in danger (after 4409ms proces-to-process, 3844ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 37555.000000 that M42 is in danger (after 7704ms proces-to-process, 6780ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 27314.000000 that M43 is in danger (after 6179ms proces-to-process, 2856ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 33914.000000 that M40 is in danger (after 10649ms proces-to-process, 7934ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 33056.000000 that M41 is in danger (after 5829ms proces-to-process, 4633ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 38635.000000 that M28 is in danger (after 13820ms proces-to-process, 10996ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M29 is in danger (after 7909ms proces-to-process, 7170ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 35538.000000 that M24 is in danger (after 5327ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 35538.000000 that M25 is in danger (after 7452ms proces-to-process, 5415ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M26 is in danger (after 8316ms proces-to-process, 5298ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M27 is in danger (after 9155ms proces-to-process, 6751ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 34984.000000 that M20 is in danger (after 6746ms proces-to-process, 4737ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 19880.000000 that M21 is in danger (after 2233ms proces-to-process, 806ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 21789.000000 that M22 is in danger (after 1799ms proces-to-process, 202ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 35538.000000 that M23 is in danger (after 8811ms proces-to-process, 8089ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M44 is in danger (after 4216ms proces-to-process, 2009ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31981.000000 that M45 is in danger (after 9593ms proces-to-process, 9276ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L2 of team T0 discovered at 43326.000000 that M11 is in danger (after 19913ms proces-to-process, 18470ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 31124.000000 that M10 is in danger (after 11406ms proces-to-process, 9889ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 26743.000000 that M13 is in danger (after 9102ms proces-to-process, 8316ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 41607.000000 that M12 is in danger (after 15270ms proces-to-process, 14478ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 31981.000000 that M15 is in danger (after 12911ms proces-to-process, 11254ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 22779.000000 that M14 is in danger (after 2320ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 34984.000000 that M17 is in danger (after 6572ms proces-to-process, 4185ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 25851.000000 that M16 is in danger (after 4419ms proces-to-process, 806ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 32655.000000 that M19 is in danger (after 3494ms proces-to-process, 1699ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 22369.000000 that M18 is in danger (after 6117ms proces-to-process, 5166ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L3 of team T0 discovered at 26445.000000 that M39 is in danger (after 2852ms proces-to-process, 908ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 29664.000000 that M38 is in danger (after 3908ms proces-to-process, 3132ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 32793.000000 that M37 is in danger (after 9861ms proces-to-process, 8080ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 18947.000000 that M36 is in danger (after 3302ms proces-to-process, 807ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 32793.000000 that M35 is in danger (after 4918ms proces-to-process, 1413ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 36941.000000 that M34 is in danger (after 6617ms proces-to-process, 5280ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 29664.000000 that M33 is in danger (after 2008ms proces-to-process, 194ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 32793.000000 that M32 is in danger (after 11687ms proces-to-process, 10641ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L3 of team T0 discovered at 26873.000000 that M31 is in danger (after 9212ms proces-to-process, 7872ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L3 of team T0 discovered at 36941.000000 that M30 is in danger (after 8561ms proces-to-process, 7599ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 21884.000000 that M5 is in danger (after 2327ms proces-to-process, 1409ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 23881.000000 that M4 is in danger (after 1749ms proces-to-process, 1474ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L3 of team T0 discovered at 38820.000000 that M7 is in danger (after 8997ms proces-to-process, 7510ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 34671.000000 that M6 is in danger (after 12200ms proces-to-process, 10482ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 34671.000000 that M1 is in danger (after 9827ms proces-to-process, 8664ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 35475.000000 that M0 is in danger (after 14837ms proces-to-process, 13748ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L3 of team T0 discovered at 26445.000000 that M3 is in danger (after 7682ms proces-to-process, 6055ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 37763.000000 that M2 is in danger (after 10333ms proces-to-process, 8329ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 38820.000000 that M9 is in danger (after 8462ms proces-to-process, 7740ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 21884.000000 that M8 is in danger (after 4504ms proces-to-process, 4449ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 36941.000000 that M42 is in danger (after 7090ms proces-to-process, 5873ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 26445.000000 that M43 is in danger (after 5310ms proces-to-process, 2254ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M40 is in danger (after 12210ms proces-to-process, 9139ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 32286.000000 that M41 is in danger (after 5059ms proces-to-process, 3428ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 36941.000000 that M28 is in danger (after 12126ms proces-to-process, 9791ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 30900.000000 that M29 is in danger (after 6828ms proces-to-process, 5964ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M24 is in danger (after 5264ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L3 of team T0 discovered at 38166.000000 that M25 is in danger (after 10080ms proces-to-process, 7826ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 37763.000000 that M26 is in danger (after 7444ms proces-to-process, 5299ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 32286.000000 that M27 is in danger (after 9460ms proces-to-process, 7353ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M20 is in danger (after 7237ms proces-to-process, 5338ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 19800.000000 that M21 is in danger (after 2153ms proces-to-process, 806ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 22008.000000 that M22 is in danger (after 2018ms proces-to-process, 663ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 38820.000000 that M23 is in danger (after 12093ms proces-to-process, 11419ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 27481.000000 that M44 is in danger (after 3066ms proces-to-process, 1409ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 30900.000000 that M45 is in danger (after 8512ms proces-to-process, 7756ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 37763.000000 that M11 is in danger (after 14350ms proces-to-process, 12675ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 32793.000000 that M10 is in danger (after 13075ms proces-to-process, 11697ms node-to-node, 11hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 25912.000000 that M13 is in danger (after 8271ms proces-to-process, 7714ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 41470.000000 that M12 is in danger (after 15133ms proces-to-process, 13875ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L3 of team T0 discovered at 30058.000000 that M15 is in danger (after 10988ms proces-to-process, 9419ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 21884.000000 that M14 is in danger (after 1425ms proces-to-process, 806ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 34671.000000 that M17 is in danger (after 6259ms proces-to-process, 4187ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 27481.000000 that M16 is in danger (after 6049ms proces-to-process, 2114ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 34281.000000 that M19 is in danger (after 5120ms proces-to-process, 3506ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 22731.000000 that M18 is in danger (after 6479ms proces-to-process, 5771ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L0 of team T0 discovered at 34418.000000 that M39 is in danger (after 10825ms proces-to-process, 8620ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 33639.000000 that M38 is in danger (after 7883ms proces-to-process, 7235ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 39174.000000 that M37 is in danger (after 16242ms proces-to-process, 14698ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 24240.000000 that M36 is in danger (after 8595ms proces-to-process, 6127ms node-to-node, 2hops, 2versions (7 first, 9 discovered)
leader L0 of team T0 discovered at 36352.000000 that M35 is in danger (after 8477ms proces-to-process, 5100ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 43613.000000 that M34 is in danger (after 13289ms proces-to-process, 11976ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 38468.000000 that M33 is in danger (after 10812ms proces-to-process, 8716ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L0 of team T0 discovered at 35593.000000 that M32 is in danger (after 14487ms proces-to-process, 13488ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L0 of team T0 discovered at 31697.000000 that M31 is in danger (after 14036ms proces-to-process, 11942ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L0 of team T0 discovered at 39174.000000 that M30 is in danger (after 10794ms proces-to-process, 9605ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 24857.000000 that M5 is in danger (after 5300ms proces-to-process, 5055ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 29195.000000 that M4 is in danger (after 7063ms proces-to-process, 6993ms node-to-node, 3hops, 2versions (10 first, 12 discovered)
leader L0 of team T0 discovered at 43081.000000 that M7 is in danger (after 13258ms proces-to-process, 11466ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 38018.000000 that M6 is in danger (after 15547ms proces-to-process, 14014ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 44032.000000 that M1 is in danger (after 19188ms proces-to-process, 18348ms node-to-node, 8hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 47485.000000 that M0 is in danger (after 26847ms proces-to-process, 25874ms node-to-node, 6hops, 5versions (9 first, 14 discovered)
leader L0 of team T0 discovered at 32222.000000 that M3 is in danger (after 13459ms proces-to-process, 11611ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 45587.000000 that M2 is in danger (after 18157ms proces-to-process, 15782ms node-to-node, 6hops, 5versions (13 first, 18 discovered)
leader L0 of team T0 discovered at 43613.000000 that M9 is in danger (after 13255ms proces-to-process, 12706ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L0 of team T0 discovered at 30441.000000 that M8 is in danger (after 13061ms proces-to-process, 12445ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 40916.000000 that M42 is in danger (after 11065ms proces-to-process, 9803ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 33639.000000 that M43 is in danger (after 12504ms proces-to-process, 9301ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 40221.000000 that M40 is in danger (after 16956ms proces-to-process, 14442ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L0 of team T0 discovered at 41878.000000 that M41 is in danger (after 14651ms proces-to-process, 13317ms node-to-node, 3hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 43613.000000 that M28 is in danger (after 18798ms proces-to-process, 16548ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L0 of team T0 discovered at 34418.000000 that M29 is in danger (after 10346ms proces-to-process, 9731ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 38018.000000 that M24 is in danger (after 7807ms proces-to-process, 4199ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L0 of team T0 discovered at 48391.000000 that M25 is in danger (after 20305ms proces-to-process, 17925ms node-to-node, 3hops, 5versions (14 first, 19 discovered)
leader L0 of team T0 discovered at 41878.000000 that M26 is in danger (after 11559ms proces-to-process, 9448ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 36352.000000 that M27 is in danger (after 13526ms proces-to-process, 11513ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 39174.000000 that M20 is in danger (after 10936ms proces-to-process, 8605ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 23509.000000 that M21 is in danger (after 5862ms proces-to-process, 4907ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 24646.000000 that M22 is in danger (after 4656ms proces-to-process, 3136ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 40916.000000 that M23 is in danger (after 14189ms proces-to-process, 13590ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 31697.000000 that M44 is in danger (after 7282ms proces-to-process, 4884ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 31697.000000 that M45 is in danger (after 9309ms proces-to-process, 8681ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 45587.000000 that M11 is in danger (after 22174ms proces-to-process, 20204ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 33639.000000 that M10 is in danger (after 13921ms proces-to-process, 12673ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 19643.000000 that M13 is in danger (after 2002ms proces-to-process, 1120ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 35278.000000 that M12 is in danger (after 8941ms proces-to-process, 8428ms node-to-node, 2hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 36797.000000 that M15 is in danger (after 17727ms proces-to-process, 16365ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 24646.000000 that M14 is in danger (after 4187ms proces-to-process, 4130ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 33176.000000 that M17 is in danger (after 4764ms proces-to-process, 2979ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 29195.000000 that M16 is in danger (after 7763ms proces-to-process, 4106ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 40916.000000 that M19 is in danger (after 11755ms proces-to-process, 10278ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 17657.000000 that M18 is in danger (after 1405ms proces-to-process, 778ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 42286.000000 that M39 is in danger (after 18693ms proces-to-process, 16496ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 34740.000000 that M38 is in danger (after 8984ms proces-to-process, 8631ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 52762.000000 that M37 is in danger (after 29830ms proces-to-process, 28231ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 33741.000000 that M36 is in danger (after 18096ms proces-to-process, 15803ms node-to-node, 4hops, 3versions (7 first, 10 discovered)
leader L1 of team T0 discovered at 42286.000000 that M35 is in danger (after 14411ms proces-to-process, 10433ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L1 of team T0 discovered at 46745.000000 that M34 is in danger (after 16421ms proces-to-process, 15446ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 46174.000000 that M33 is in danger (after 18518ms proces-to-process, 16506ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L1 of team T0 discovered at 59806.000000 that M32 is in danger (after 38700ms proces-to-process, 37775ms node-to-node, 8hops, 10versions (10 first, 20 discovered)
leader L1 of team T0 discovered at 48101.000000 that M31 is in danger (after 30440ms proces-to-process, 29148ms node-to-node, 8hops, 7versions (8 first, 15 discovered)
leader L1 of team T0 discovered at 46745.000000 that M30 is in danger (after 18365ms proces-to-process, 17670ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M5 is in danger (after 13663ms proces-to-process, 12915ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 33220.000000 that M4 is in danger (after 11088ms proces-to-process, 10803ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L1 of team T0 discovered at 33220.000000 that M7 is in danger (after 3397ms proces-to-process, 1261ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 23970.000000 that M6 is in danger (after 1499ms proces-to-process, 27ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 29745.000000 that M1 is in danger (after 4901ms proces-to-process, 3451ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 39049.000000 that M0 is in danger (after 18411ms proces-to-process, 17297ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 21637.000000 that M3 is in danger (after 2874ms proces-to-process, 729ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 39778.000000 that M2 is in danger (after 12348ms proces-to-process, 10085ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 49769.000000 that M9 is in danger (after 19411ms proces-to-process, 18572ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L1 of team T0 discovered at 29745.000000 that M8 is in danger (after 12365ms proces-to-process, 12055ms node-to-node, 2hops, 3versions (8 first, 11 discovered)
leader L1 of team T0 discovered at 46174.000000 that M42 is in danger (after 16323ms proces-to-process, 15246ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L1 of team T0 discovered at 42286.000000 that M43 is in danger (after 21151ms proces-to-process, 17984ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 54283.000000 that M40 is in danger (after 31018ms proces-to-process, 28496ms node-to-node, 6hops, 8versions (12 first, 20 discovered)
leader L1 of team T0 discovered at 49769.000000 that M41 is in danger (after 22542ms proces-to-process, 21374ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L1 of team T0 discovered at 46174.000000 that M28 is in danger (after 21359ms proces-to-process, 18521ms node-to-node, 10hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 45297.000000 that M29 is in danger (after 21225ms proces-to-process, 19946ms node-to-node, 7hops, 5versions (11 first, 16 discovered)
leader L1 of team T0 discovered at 46174.000000 that M24 is in danger (after 15963ms proces-to-process, 12946ms node-to-node, 6hops, 1versions (15 first, 16 discovered)
leader L1 of team T0 discovered at 45297.000000 that M25 is in danger (after 17211ms proces-to-process, 14389ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 46745.000000 that M26 is in danger (after 16426ms proces-to-process, 13988ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 43193.000000 that M27 is in danger (after 20367ms proces-to-process, 17827ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 43518.000000 that M20 is in danger (after 15280ms proces-to-process, 13339ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 27177.000000 that M21 is in danger (after 9530ms proces-to-process, 8470ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 31772.000000 that M22 is in danger (after 11782ms proces-to-process, 10209ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 44137.000000 that M23 is in danger (after 17410ms proces-to-process, 16710ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 43193.000000 that M44 is in danger (after 18778ms proces-to-process, 16709ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 39049.000000 that M45 is in danger (after 16661ms proces-to-process, 16298ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 27889.000000 that M11 is in danger (after 4476ms proces-to-process, 2743ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 21637.000000 that M10 is in danger (after 1919ms proces-to-process, 151ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 44137.000000 that M13 is in danger (after 26496ms proces-to-process, 25912ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 56423.000000 that M12 is in danger (after 30086ms proces-to-process, 29475ms node-to-node, 9hops, 6versions (12 first, 18 discovered)
leader L1 of team T0 discovered at 31772.000000 that M15 is in danger (after 12702ms proces-to-process, 10884ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 34740.000000 that M14 is in danger (after 14281ms proces-to-process, 13824ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 43193.000000 that M17 is in danger (after 14781ms proces-to-process, 12918ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 40766.000000 that M16 is in danger (after 19334ms proces-to-process, 15716ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 46174.000000 that M19 is in danger (after 17013ms proces-to-process, 15551ms node-to-node, 8hops, 4versions (14 first, 18 discovered)
