Config: 
--------------------------------------------
leader L2 of team T0 discovered at 35538.000000 that M39 is in danger (after 11945ms proces-to-process, 9620ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L2 of team T0 discovered at 25851.000000 that M21 is in danger (after 8204ms proces-to-process, 6852ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 25851.000000 that M22 is in danger (after 5861ms proces-to-process, 4094ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 34984.000000 that M23 is in danger (after 8257ms proces-to-process, 7637ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 32655.000000 that M44 is in danger (after 8240ms proces-to-process, 6185ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 25851.000000 that M45 is in danger (after 3463ms proces-to-process, 2498ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31124.000000 that M11 is in danger (after 7711ms proces-to-process, 6159ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M10 is in danger (after 11406ms proces-to-process, 9667ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 28631.000000 that M13 is in danger (after 10990ms proces-to-process, 10168ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 31981.000000 that M12 is in danger (after 5644ms proces-to-process, 4754ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M15 is in danger (after 12054ms proces-to-process, 9636ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 24551.000000 that M14 is in danger (after 4092ms proces-to-process, 3200ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 38635.000000 that M17 is in danger (after 10223ms proces-to-process, 7746ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 33914.000000 that M16 is in danger (after 12482ms proces-to-process, 8881ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 47550.000000 that M19 is in danger (after 18389ms proces-to-process, 16766ms node-to-node, 7hops, 4versions (14 first, 18 discovered)
leader L2 of team T0 discovered at 26743.000000 that M18 is in danger (after 10491ms proces-to-process, 9557ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L3 of team T0 discovered at 28042.000000 that M39 is in danger (after 4449ms proces-to-process, 2334ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 29036.000000 that M38 is in danger (after 3280ms proces-to-process, 2860ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 28042.000000 that M37 is in danger (after 5110ms proces-to-process, 3413ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 18947.000000 that M36 is in danger (after 3302ms proces-to-process, 841ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 34671.000000 that M35 is in danger (after 6796ms proces-to-process, 3343ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 32286.000000 that M34 is in danger (after 1962ms proces-to-process, 608ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 30900.000000 that M33 is in danger (after 3244ms proces-to-process, 1345ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 35475.000000 that M32 is in danger (after 14369ms proces-to-process, 13066ms node-to-node, 2hops, 3versions (10 first, 13 discovered)
leader L3 of team T0 discovered at 24644.000000 that M31 is in danger (after 6899ms proces-to-process, 4261ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 35475.000000 that M30 is in danger (after 7095ms proces-to-process, 6128ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 38820.000000 that M5 is in danger (after 19263ms proces-to-process, 18974ms node-to-node, 4hops, 6versions (9 first, 15 discovered)
leader L3 of team T0 discovered at 30058.000000 that M4 is in danger (after 7926ms proces-to-process, 7626ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L3 of team T0 discovered at 31541.000000 that M7 is in danger (after 1718ms proces-to-process, 203ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 32286.000000 that M6 is in danger (after 9815ms proces-to-process, 7701ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 29036.000000 that M1 is in danger (after 4192ms proces-to-process, 3267ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 22731.000000 that M0 is in danger (after 2093ms proces-to-process, 1215ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 21884.000000 that M3 is in danger (after 3121ms proces-to-process, 832ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 30058.000000 that M2 is in danger (after 2628ms proces-to-process, 606ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 32286.000000 that M9 is in danger (after 1928ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 21884.000000 that M8 is in danger (after 4504ms proces-to-process, 3637ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 discovered at 40408.000000 that M42 is in danger (after 10557ms proces-to-process, 8766ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 26873.000000 that M43 is in danger (after 5738ms proces-to-process, 2583ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 34281.000000 that M40 is in danger (after 11016ms proces-to-process, 8157ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 29036.000000 that M41 is in danger (after 1809ms proces-to-process, 606ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 33545.000000 that M28 is in danger (after 8730ms proces-to-process, 6132ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 25326.000000 that M29 is in danger (after 1254ms proces-to-process, 606ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 41470.000000 that M24 is in danger (after 11259ms proces-to-process, 8131ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L3 of team T0 discovered at 38166.000000 that M25 is in danger (after 10080ms proces-to-process, 8062ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 41470.000000 that M26 is in danger (after 11151ms proces-to-process, 9126ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 25912.000000 that M27 is in danger (after 3086ms proces-to-process, 866ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 34671.000000 that M20 is in danger (after 6433ms proces-to-process, 4361ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 23881.000000 that M21 is in danger (after 6234ms proces-to-process, 5239ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 23881.000000 that M22 is in danger (after 3891ms proces-to-process, 2492ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 34281.000000 that M23 is in danger (after 7554ms proces-to-process, 6642ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 29664.000000 that M44 is in danger (after 5249ms proces-to-process, 3503ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 23477.000000 that M45 is in danger (after 1089ms proces-to-process, 604ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 28724.000000 that M11 is in danger (after 5311ms proces-to-process, 3521ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 28082.000000 that M10 is in danger (after 8364ms proces-to-process, 7225ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 23477.000000 that M13 is in danger (after 5836ms proces-to-process, 4841ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 28042.000000 that M12 is in danger (after 1705ms proces-to-process, 1008ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 27481.000000 that M15 is in danger (after 8411ms proces-to-process, 6990ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 21884.000000 that M14 is in danger (after 1425ms proces-to-process, 812ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 36941.000000 that M17 is in danger (after 8529ms proces-to-process, 6145ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 32286.000000 that M16 is in danger (after 10854ms proces-to-process, 6581ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 37342.000000 that M19 is in danger (after 8181ms proces-to-process, 6924ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 22731.000000 that M18 is in danger (after 6479ms proces-to-process, 5338ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L0 of team T0 discovered at 37231.000000 that M39 is in danger (after 13638ms proces-to-process, 11514ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 32222.000000 that M38 is in danger (after 6466ms proces-to-process, 6139ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 34418.000000 that M37 is in danger (after 11486ms proces-to-process, 9540ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 22648.000000 that M36 is in danger (after 7003ms proces-to-process, 4675ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 38018.000000 that M35 is in danger (after 10143ms proces-to-process, 6541ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 37231.000000 that M34 is in danger (after 6907ms proces-to-process, 6072ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 34418.000000 that M33 is in danger (after 6762ms proces-to-process, 4421ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 38018.000000 that M32 is in danger (after 16912ms proces-to-process, 15573ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L0 of team T0 discovered at 29195.000000 that M31 is in danger (after 11450ms proces-to-process, 8530ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 37231.000000 that M30 is in danger (after 8851ms proces-to-process, 8262ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 42176.000000 that M5 is in danger (after 22619ms proces-to-process, 22352ms node-to-node, 5hops, 8versions (9 first, 17 discovered)
leader L0 of team T0 discovered at 33639.000000 that M4 is in danger (after 11507ms proces-to-process, 11204ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 34944.000000 that M7 is in danger (after 5121ms proces-to-process, 3587ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 30441.000000 that M6 is in danger (after 7970ms proces-to-process, 6495ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 34944.000000 that M1 is in danger (after 10100ms proces-to-process, 8911ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 29195.000000 that M0 is in danger (after 8557ms proces-to-process, 7764ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 26382.000000 that M3 is in danger (after 7619ms proces-to-process, 5434ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 37231.000000 that M2 is in danger (after 9801ms proces-to-process, 7768ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 34944.000000 that M9 is in danger (after 4586ms proces-to-process, 3999ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 38018.000000 that M8 is in danger (after 20638ms proces-to-process, 20322ms node-to-node, 5hops, 6versions (8 first, 14 discovered)
leader L0 of team T0 discovered at 40916.000000 that M42 is in danger (after 11065ms proces-to-process, 9901ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 31697.000000 that M43 is in danger (after 10562ms proces-to-process, 7053ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 38468.000000 that M40 is in danger (after 15203ms proces-to-process, 12837ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 33176.000000 that M41 is in danger (after 5949ms proces-to-process, 4303ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 38468.000000 that M28 is in danger (after 13653ms proces-to-process, 11098ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L0 of team T0 discovered at 30441.000000 that M29 is in danger (after 6369ms proces-to-process, 5730ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 47485.000000 that M24 is in danger (after 17274ms proces-to-process, 14024ms node-to-node, 3hops, 4versions (15 first, 19 discovered)
leader L0 of team T0 discovered at 41878.000000 that M25 is in danger (after 13792ms proces-to-process, 11593ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 47485.000000 that M26 is in danger (after 17166ms proces-to-process, 14815ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 34418.000000 that M27 is in danger (after 11592ms proces-to-process, 9050ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 38018.000000 that M20 is in danger (after 9780ms proces-to-process, 7330ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 27082.000000 that M21 is in danger (after 9435ms proces-to-process, 8343ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 30441.000000 that M22 is in danger (after 10451ms proces-to-process, 8728ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 47485.000000 that M23 is in danger (after 20758ms proces-to-process, 19903ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 33639.000000 that M44 is in danger (after 9224ms proces-to-process, 7723ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M45 is in danger (after 12030ms proces-to-process, 11754ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 26382.000000 that M11 is in danger (after 2969ms proces-to-process, 1172ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 25361.000000 that M10 is in danger (after 5643ms proces-to-process, 4453ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M13 is in danger (after 14056ms proces-to-process, 12914ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M12 is in danger (after 5360ms proces-to-process, 4886ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 24857.000000 that M15 is in danger (after 5787ms proces-to-process, 4406ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 24646.000000 that M14 is in danger (after 4187ms proces-to-process, 3790ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 39174.000000 that M17 is in danger (after 10762ms proces-to-process, 8516ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 30730.000000 that M16 is in danger (after 9298ms proces-to-process, 5577ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 41878.000000 that M19 is in danger (after 12717ms proces-to-process, 11290ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 27082.000000 that M18 is in danger (after 10830ms proces-to-process, 10142ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 29037.000000 that M39 is in danger (after 5444ms proces-to-process, 3068ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 31772.000000 that M38 is in danger (after 6016ms proces-to-process, 5426ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 28370.000000 that M37 is in danger (after 5438ms proces-to-process, 3820ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 18704.000000 that M36 is in danger (after 3059ms proces-to-process, 686ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 41492.000000 that M35 is in danger (after 13617ms proces-to-process, 10264ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L1 of team T0 discovered at 32080.000000 that M34 is in danger (after 1756ms proces-to-process, 890ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M33 is in danger (after 5564ms proces-to-process, 3381ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 30722.000000 that M32 is in danger (after 9616ms proces-to-process, 8343ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L1 of team T0 discovered at 24329.000000 that M31 is in danger (after 6584ms proces-to-process, 3819ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 34740.000000 that M30 is in danger (after 6360ms proces-to-process, 5772ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 39778.000000 that M5 is in danger (after 20221ms proces-to-process, 20022ms node-to-node, 7hops, 6versions (9 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M4 is in danger (after 11088ms proces-to-process, 11035ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L1 of team T0 discovered at 37019.000000 that M7 is in danger (after 7196ms proces-to-process, 5670ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 34740.000000 that M6 is in danger (after 12269ms proces-to-process, 10318ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 29037.000000 that M1 is in danger (after 4193ms proces-to-process, 2864ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 26315.000000 that M0 is in danger (after 5677ms proces-to-process, 4879ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 21883.000000 that M3 is in danger (after 3120ms proces-to-process, 1504ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 35513.000000 that M2 is in danger (after 8083ms proces-to-process, 6146ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 30722.000000 that M9 is in danger (after 364ms proces-to-process, 34ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 21637.000000 that M8 is in danger (after 4257ms proces-to-process, 3799ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 discovered at 39778.000000 that M42 is in danger (after 9927ms proces-to-process, 8958ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 27177.000000 that M43 is in danger (after 6042ms proces-to-process, 3107ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 34740.000000 that M40 is in danger (after 11475ms proces-to-process, 8697ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 29745.000000 that M41 is in danger (after 2518ms proces-to-process, 956ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 35960.000000 that M28 is in danger (after 11145ms proces-to-process, 8911ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 25853.000000 that M29 is in danger (after 1781ms proces-to-process, 1265ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 43193.000000 that M24 is in danger (after 12982ms proces-to-process, 10020ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L1 of team T0 discovered at 39778.000000 that M25 is in danger (after 11692ms proces-to-process, 9119ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 44137.000000 that M26 is in danger (after 13818ms proces-to-process, 11261ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 31772.000000 that M27 is in danger (after 8946ms proces-to-process, 6734ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 43193.000000 that M20 is in danger (after 14955ms proces-to-process, 12461ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 29037.000000 that M21 is in danger (after 11390ms proces-to-process, 9935ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 discovered at 24329.000000 that M22 is in danger (after 4339ms proces-to-process, 2762ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 40766.000000 that M23 is in danger (after 14039ms proces-to-process, 13240ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 33220.000000 that M44 is in danger (after 8805ms proces-to-process, 6563ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 23759.000000 that M45 is in danger (after 1371ms proces-to-process, 879ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 28370.000000 that M11 is in danger (after 4957ms proces-to-process, 3413ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 24969.000000 that M10 is in danger (after 5251ms proces-to-process, 3625ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 27177.000000 that M13 is in danger (after 9536ms proces-to-process, 8980ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L1 of team T0 discovered at 33741.000000 that M12 is in danger (after 7404ms proces-to-process, 6856ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 27889.000000 that M15 is in danger (after 8819ms proces-to-process, 7025ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 20764.000000 that M14 is in danger (after 305ms proces-to-process, 243ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 40766.000000 that M17 is in danger (after 12354ms proces-to-process, 10601ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 30722.000000 that M16 is in danger (after 9290ms proces-to-process, 5490ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 37324.000000 that M19 is in danger (after 8163ms proces-to-process, 6736ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
