Config: 
--------------------------------------------
leader L2 of team T0 discovered at 34984.000000 that M39 is in danger (after 11391ms proces-to-process, 8880ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 33545.000000 that M42 is in danger (after 3694ms proces-to-process, 2791ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 35475.000000 that M43 is in danger (after 14340ms proces-to-process, 10948ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 35988.000000 that M40 is in danger (after 12723ms proces-to-process, 10001ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 50119.000000 that M41 is in danger (after 22892ms proces-to-process, 21725ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 32286.000000 that M28 is in danger (after 7471ms proces-to-process, 5036ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 37763.000000 that M29 is in danger (after 13691ms proces-to-process, 12800ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
leader L3 of team T0 discovered at 51363.000000 that M24 is in danger (after 21152ms proces-to-process, 18069ms node-to-node, 4hops, 4versions (15 first, 19 discovered)
leader L3 of team T0 discovered at 41470.000000 that M25 is in danger (after 13384ms proces-to-process, 11039ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 42982.000000 that M26 is in danger (after 12663ms proces-to-process, 10564ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L3 of team T0 discovered at 47034.000000 that M27 is in danger (after 24208ms proces-to-process, 22422ms node-to-node, 8hops, 6versions (11 first, 17 discovered)
leader L3 of team T0 discovered at 56163.000000 that M20 is in danger (after 27925ms proces-to-process, 25553ms node-to-node, 5hops, 10versions (13 first, 23 discovered)
leader L3 of team T0 discovered at 36941.000000 that M21 is in danger (after 19294ms proces-to-process, 17579ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L3 of team T0 discovered at 32286.000000 that M22 is in danger (after 12296ms proces-to-process, 10815ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 34671.000000 that M23 is in danger (after 7944ms proces-to-process, 7352ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 40408.000000 that M44 is in danger (after 15993ms proces-to-process, 14163ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 47827.000000 that M45 is in danger (after 25439ms proces-to-process, 24833ms node-to-node, 4hops, 8versions (11 first, 19 discovered)
leader L3 of team T0 discovered at 39375.000000 that M11 is in danger (after 15962ms proces-to-process, 14230ms node-to-node, 4hops, 5versions (12 first, 17 discovered)
leader L3 of team T0 discovered at 30900.000000 that M10 is in danger (after 11182ms proces-to-process, 9997ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 28724.000000 that M13 is in danger (after 10482ms proces-to-process, 7520ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 43898.000000 that M12 is in danger (after 17561ms proces-to-process, 16669ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 39375.000000 that M15 is in danger (after 20305ms proces-to-process, 18956ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 29664.000000 that M14 is in danger (after 9205ms proces-to-process, 8790ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 48256.000000 that M17 is in danger (after 19844ms proces-to-process, 17815ms node-to-node, 5hops, 5versions (13 first, 18 discovered)
leader L3 of team T0 discovered at 48735.000000 that M16 is in danger (after 27303ms proces-to-process, 23458ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 35475.000000 that M19 is in danger (after 6314ms proces-to-process, 5047ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 53219.000000 that M18 is in danger (after 36967ms proces-to-process, 35929ms node-to-node, 7hops, 11versions (7 first, 18 discovered)
leader L0 of team T0 discovered at 33176.000000 that M39 is in danger (after 9583ms proces-to-process, 7354ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 41442.000000 that M38 is in danger (after 15686ms proces-to-process, 15109ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 38468.000000 that M37 is in danger (after 15536ms proces-to-process, 13961ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L0 of team T0 discovered at 31697.000000 that M36 is in danger (after 16052ms proces-to-process, 13421ms node-to-node, 6hops, 3versions (7 first, 10 discovered)
leader L0 of team T0 discovered at 50716.000000 that M35 is in danger (after 22841ms proces-to-process, 19153ms node-to-node, 8hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 46420.000000 that M34 is in danger (after 16096ms proces-to-process, 15186ms node-to-node, 4hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 discovered at 44032.000000 that M33 is in danger (after 16376ms proces-to-process, 14408ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 29528.000000 that M32 is in danger (after 8422ms proces-to-process, 7475ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L0 of team T0 discovered at 29528.000000 that M31 is in danger (after 11867ms proces-to-process, 10449ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 40916.000000 that M30 is in danger (after 12536ms proces-to-process, 11482ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 24857.000000 that M5 is in danger (after 5300ms proces-to-process, 4954ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 35593.000000 that M4 is in danger (after 13461ms proces-to-process, 10709ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 49512.000000 that M7 is in danger (after 19689ms proces-to-process, 17884ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 discovered at 27687.000000 that M6 is in danger (after 5216ms proces-to-process, 3766ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 30730.000000 that M1 is in danger (after 5886ms proces-to-process, 5068ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M0 is in danger (after 13780ms proces-to-process, 13351ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L0 of team T0 discovered at 48997.000000 that M3 is in danger (after 30234ms proces-to-process, 28735ms node-to-node, 5hops, 9versions (9 first, 18 discovered)
leader L0 of team T0 discovered at 39672.000000 that M2 is in danger (after 12242ms proces-to-process, 10094ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 40916.000000 that M9 is in danger (after 10558ms proces-to-process, 10315ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L0 of team T0 discovered at 26382.000000 that M8 is in danger (after 9002ms proces-to-process, 8816ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 45935.000000 that M42 is in danger (after 16084ms proces-to-process, 14837ms node-to-node, 3hops, 4versions (14 first, 18 discovered)
leader L0 of team T0 never discovered that M43 is in danger from 21135.
leader L0 of team T0 discovered at 44631.000000 that M40 is in danger (after 21366ms proces-to-process, 18441ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 47485.000000 that M41 is in danger (after 20258ms proces-to-process, 18742ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 36352.000000 that M28 is in danger (after 11537ms proces-to-process, 9226ms node-to-node, 3hops, 3versions (12 first, 15 discovered)
leader L0 of team T0 discovered at 36352.000000 that M29 is in danger (after 12280ms proces-to-process, 11292ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L0 of team T0 discovered at 46789.000000 that M24 is in danger (after 16578ms proces-to-process, 13583ms node-to-node, 5hops, 2versions (15 first, 17 discovered)
leader L0 of team T0 discovered at 38018.000000 that M25 is in danger (after 9932ms proces-to-process, 7900ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 53414.000000 that M26 is in danger (after 23095ms proces-to-process, 20569ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L0 of team T0 discovered at 36352.000000 that M27 is in danger (after 13526ms proces-to-process, 11289ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 41442.000000 that M20 is in danger (after 13204ms proces-to-process, 11151ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 38018.000000 that M21 is in danger (after 20371ms proces-to-process, 18765ms node-to-node, 7hops, 2versions (8 first, 10 discovered)
leader L0 of team T0 discovered at 34418.000000 that M22 is in danger (after 14428ms proces-to-process, 12778ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 34418.000000 that M23 is in danger (after 7691ms proces-to-process, 7002ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 55738.000000 that M44 is in danger (after 31323ms proces-to-process, 29517ms node-to-node, 7hops, 8versions (11 first, 19 discovered)
leader L0 of team T0 discovered at 46420.000000 that M45 is in danger (after 24032ms proces-to-process, 23368ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 33639.000000 that M11 is in danger (after 10226ms proces-to-process, 8791ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 50716.000000 that M10 is in danger (after 30998ms proces-to-process, 29485ms node-to-node, 11hops, 4versions (9 first, 13 discovered)
leader L0 of team T0 discovered at 30441.000000 that M13 is in danger (after 12199ms proces-to-process, 9548ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 44703.000000 that M12 is in danger (after 18366ms proces-to-process, 17985ms node-to-node, 7hops, 2versions (12 first, 14 discovered)
leader L0 of team T0 discovered at 41878.000000 that M15 is in danger (after 22808ms proces-to-process, 21281ms node-to-node, 9hops, 4versions (9 first, 13 discovered)
leader L0 of team T0 discovered at 29528.000000 that M14 is in danger (after 9069ms proces-to-process, 8743ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 53849.000000 that M17 is in danger (after 25437ms proces-to-process, 23499ms node-to-node, 7hops, 7versions (13 first, 20 discovered)
leader L0 of team T0 discovered at 47803.000000 that M16 is in danger (after 26371ms proces-to-process, 22609ms node-to-node, 8hops, 5versions (11 first, 16 discovered)
leader L0 of team T0 discovered at 38018.000000 that M19 is in danger (after 8857ms proces-to-process, 7623ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 29195.000000 that M18 is in danger (after 12943ms proces-to-process, 12034ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 37851.000000 that M39 is in danger (after 14258ms proces-to-process, 12140ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 46745.000000 that M38 is in danger (after 20989ms proces-to-process, 20171ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 44416.000000 that M37 is in danger (after 21484ms proces-to-process, 19871ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L1 of team T0 discovered at 35960.000000 that M36 is in danger (after 20315ms proces-to-process, 18030ms node-to-node, 7hops, 3versions (7 first, 10 discovered)
leader L1 of team T0 discovered at 54763.000000 that M35 is in danger (after 26888ms proces-to-process, 23449ms node-to-node, 9hops, 3versions (14 first, 17 discovered)
leader L1 of team T0 never discovered that M34 is in danger from 30324.
leader L1 of team T0 discovered at 42286.000000 that M33 is in danger (after 14630ms proces-to-process, 12833ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 31772.000000 that M32 is in danger (after 10666ms proces-to-process, 9646ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L1 of team T0 discovered at 39778.000000 that M31 is in danger (after 22117ms proces-to-process, 20945ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 46174.000000 that M30 is in danger (after 17794ms proces-to-process, 16536ms node-to-node, 7hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 24969.000000 that M5 is in danger (after 5412ms proces-to-process, 4954ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 46174.000000 that M4 is in danger (after 24042ms proces-to-process, 20679ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 48843.000000 that M7 is in danger (after 19020ms proces-to-process, 17224ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 34740.000000 that M6 is in danger (after 12269ms proces-to-process, 10528ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 43193.000000 that M1 is in danger (after 18349ms proces-to-process, 17321ms node-to-node, 2hops, 5versions (12 first, 17 discovered)
leader L1 of team T0 discovered at 33220.000000 that M0 is in danger (after 12582ms proces-to-process, 11665ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 53519.000000 that M3 is in danger (after 34756ms proces-to-process, 33149ms node-to-node, 6hops, 9versions (9 first, 18 discovered)
leader L1 of team T0 discovered at 39049.000000 that M2 is in danger (after 11619ms proces-to-process, 8960ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 34740.000000 that M9 is in danger (after 4382ms proces-to-process, 3377ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 34740.000000 that M8 is in danger (after 17360ms proces-to-process, 17311ms node-to-node, 4hops, 4versions (8 first, 12 discovered)
leader L1 of team T0 discovered at 51178.000000 that M42 is in danger (after 21327ms proces-to-process, 20420ms node-to-node, 4hops, 4versions (14 first, 18 discovered)
leader L1 of team T0 never discovered that M43 is in danger from 21135.
leader L1 of team T0 discovered at 54283.000000 that M40 is in danger (after 31018ms proces-to-process, 28623ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L1 of team T0 discovered at 51915.000000 that M41 is in danger (after 24688ms proces-to-process, 23350ms node-to-node, 7hops, 4versions (12 first, 16 discovered)
leader L1 of team T0 discovered at 42286.000000 that M28 is in danger (after 17471ms proces-to-process, 15061ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L1 of team T0 discovered at 35513.000000 that M29 is in danger (after 11441ms proces-to-process, 10803ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 54283.000000 that M24 is in danger (after 24072ms proces-to-process, 20925ms node-to-node, 3hops, 4versions (15 first, 19 discovered)
leader L1 of team T0 discovered at 48101.000000 that M25 is in danger (after 20015ms proces-to-process, 17475ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L1 of team T0 discovered at 46174.000000 that M26 is in danger (after 15855ms proces-to-process, 13825ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L1 of team T0 discovered at 43193.000000 that M27 is in danger (after 20367ms proces-to-process, 18025ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 46745.000000 that M20 is in danger (after 18507ms proces-to-process, 16198ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 51915.000000 that M21 is in danger (after 34268ms proces-to-process, 33200ms node-to-node, 3hops, 9versions (8 first, 17 discovered)
leader L1 of team T0 never discovered that M22 is in danger from 19990.
leader L1 of team T0 discovered at 40205.000000 that M23 is in danger (after 13478ms proces-to-process, 12839ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 never discovered that M44 is in danger from 24415.
leader L1 of team T0 discovered at 39778.000000 that M45 is in danger (after 17390ms proces-to-process, 16890ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 37324.000000 that M11 is in danger (after 13911ms proces-to-process, 12239ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 discovered at 32080.000000 that M10 is in danger (after 12362ms proces-to-process, 10988ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 33220.000000 that M13 is in danger (after 14978ms proces-to-process, 12440ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 48101.000000 that M12 is in danger (after 21764ms proces-to-process, 20605ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L1 of team T0 discovered at 25751.000000 that M15 is in danger (after 6681ms proces-to-process, 5306ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M14 is in danger (after 12761ms proces-to-process, 11699ms node-to-node, 2hops, 4versions (9 first, 13 discovered)
leader L1 of team T0 discovered at 55676.000000 that M17 is in danger (after 27264ms proces-to-process, 25270ms node-to-node, 10hops, 5versions (13 first, 18 discovered)
leader L1 of team T0 discovered at 42286.000000 that M16 is in danger (after 20854ms proces-to-process, 16698ms node-to-node, 2hops, 5versions (11 first, 16 discovered)
leader L1 of team T0 discovered at 49769.000000 that M19 is in danger (after 20608ms proces-to-process, 19422ms node-to-node, 5hops, 5versions (14 first, 19 discovered)
leader L1 of team T0 discovered at 35194.000000 that M18 is in danger (after 18942ms proces-to-process, 18159ms node-to-node, 6hops, 0versions (7 first, 7 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=16942.271186, min=3694, max=36967, median=15962
Node-2-node response time: avg=15297.621469, min=2791, max=35929, median=14408
Hops: avg=5.327684, min=1, max=11, median=5
Process-2-process response time / 1 hop: avg=3695.485876, min=1022, max=14340, median=3159
Node-2-node response time / 1 hop: avg=3294.836158, min=954, max=11066, median=2815
Version difference: avg=2.525424, min=0, max=11, median=2
Ratio of leader discoveries: 177 of 184 (96.195652%)
