Config: 
--------------------------------------------
leader L2 of team T0 discovered at 32655.000000 that M39 is in danger (after 9062ms proces-to-process, 7073ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M28 is in danger (after 6309ms proces-to-process, 4077ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 33914.000000 that M29 is in danger (after 9842ms proces-to-process, 9050ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 38635.000000 that M24 is in danger (after 8424ms proces-to-process, 5151ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M25 is in danger (after 3895ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 44064.000000 that M26 is in danger (after 13745ms proces-to-process, 11017ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 31124.000000 that M27 is in danger (after 8298ms proces-to-process, 5701ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 42450.000000 that M20 is in danger (after 14212ms proces-to-process, 12317ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 28631.000000 that M21 is in danger (after 10984ms proces-to-process, 9711ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 33914.000000 that M22 is in danger (after 13924ms proces-to-process, 12481ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L2 of team T0 discovered at 31981.000000 that M23 is in danger (after 5254ms proces-to-process, 4555ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 35041.000000 that M44 is in danger (after 10626ms proces-to-process, 9169ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 24551.000000 that M45 is in danger (after 2163ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 27651.000000 that M11 is in danger (after 4238ms proces-to-process, 2684ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25094.000000 that M10 is in danger (after 5376ms proces-to-process, 3926ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 24551.000000 that M13 is in danger (after 6309ms proces-to-process, 2867ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 43326.000000 that M12 is in danger (after 16989ms proces-to-process, 16333ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 23545.000000 that M15 is in danger (after 4475ms proces-to-process, 3074ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23340.000000 that M14 is in danger (after 2881ms proces-to-process, 2801ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 41607.000000 that M17 is in danger (after 13195ms proces-to-process, 10621ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 34079.000000 that M16 is in danger (after 12647ms proces-to-process, 9013ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 38635.000000 that M19 is in danger (after 9474ms proces-to-process, 7528ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 26743.000000 that M18 is in danger (after 10491ms proces-to-process, 9922ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L3 of team T0 discovered at 36941.000000 that M39 is in danger (after 13348ms proces-to-process, 10778ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 46072.000000 that M38 is in danger (after 20316ms proces-to-process, 19743ms node-to-node, 7hops, 3versions (11 first, 14 discovered)
leader L3 of team T0 discovered at 35988.000000 that M37 is in danger (after 13056ms proces-to-process, 11218ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 25912.000000 that M36 is in danger (after 10267ms proces-to-process, 7723ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 never discovered that M35 is in danger from 27875.
leader L3 of team T0 discovered at 56163.000000 that M34 is in danger (after 25839ms proces-to-process, 25010ms node-to-node, 8hops, 5versions (14 first, 19 discovered)
leader L3 of team T0 discovered at 32793.000000 that M33 is in danger (after 5137ms proces-to-process, 3113ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 39375.000000 that M32 is in danger (after 18269ms proces-to-process, 16961ms node-to-node, 1hops, 5versions (10 first, 15 discovered)
leader L3 of team T0 discovered at 33545.000000 that M31 is in danger (after 15884ms proces-to-process, 14210ms node-to-node, 6hops, 3versions (8 first, 11 discovered)
leader L3 of team T0 discovered at 46072.000000 that M30 is in danger (after 17692ms proces-to-process, 16768ms node-to-node, 6hops, 5versions (13 first, 18 discovered)
leader L3 of team T0 discovered at 25912.000000 that M5 is in danger (after 6355ms proces-to-process, 6165ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 28724.000000 that M4 is in danger (after 6592ms proces-to-process, 3946ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 42982.000000 that M7 is in danger (after 13159ms proces-to-process, 11162ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 54426.000000 that M6 is in danger (after 31955ms proces-to-process, 30306ms node-to-node, 5hops, 11versions (11 first, 22 discovered)
leader L3 of team T0 discovered at 36941.000000 that M1 is in danger (after 12097ms proces-to-process, 10707ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L3 of team T0 discovered at 29664.000000 that M0 is in danger (after 9026ms proces-to-process, 8123ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 53219.000000 that M3 is in danger (after 34456ms proces-to-process, 32960ms node-to-node, 7hops, 4versions (9 first, 13 discovered)
leader L3 of team T0 discovered at 42029.000000 that M2 is in danger (after 14599ms proces-to-process, 12718ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 42982.000000 that M9 is in danger (after 12624ms proces-to-process, 12068ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 22731.000000 that M8 is in danger (after 5351ms proces-to-process, 5007ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 46072.000000 that M42 is in danger (after 16221ms proces-to-process, 14916ms node-to-node, 11hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 30058.000000 that M43 is in danger (after 8923ms proces-to-process, 5773ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 32793.000000 that M40 is in danger (after 9528ms proces-to-process, 6935ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 42982.000000 that M41 is in danger (after 15755ms proces-to-process, 13726ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L3 of team T0 discovered at 34281.000000 that M28 is in danger (after 9466ms proces-to-process, 6759ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 28724.000000 that M29 is in danger (after 4652ms proces-to-process, 3576ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 59981.000000 that M24 is in danger (after 29770ms proces-to-process, 26687ms node-to-node, 8hops, 5versions (15 first, 20 discovered)
leader L3 of team T0 discovered at 37342.000000 that M25 is in danger (after 9256ms proces-to-process, 7134ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 never discovered that M26 is in danger from 30319.
leader L3 of team T0 discovered at 42982.000000 that M27 is in danger (after 20156ms proces-to-process, 17803ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 49450.000000 that M20 is in danger (after 21212ms proces-to-process, 19200ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 33545.000000 that M21 is in danger (after 15898ms proces-to-process, 14564ms node-to-node, 11hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 35988.000000 that M22 is in danger (after 15998ms proces-to-process, 14722ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 44527.000000 that M23 is in danger (after 17800ms proces-to-process, 16774ms node-to-node, 5hops, 5versions (12 first, 17 discovered)
leader L3 of team T0 discovered at 59981.000000 that M44 is in danger (after 35566ms proces-to-process, 33805ms node-to-node, 7hops, 11versions (11 first, 22 discovered)
leader L3 of team T0 discovered at 35988.000000 that M45 is in danger (after 13600ms proces-to-process, 12946ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L3 of team T0 discovered at 41470.000000 that M11 is in danger (after 18057ms proces-to-process, 16463ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 35988.000000 that M10 is in danger (after 16270ms proces-to-process, 15100ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L3 of team T0 discovered at 29036.000000 that M13 is in danger (after 10794ms proces-to-process, 8101ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 46072.000000 that M12 is in danger (after 19735ms proces-to-process, 18558ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L3 of team T0 discovered at 26873.000000 that M15 is in danger (after 7803ms proces-to-process, 6107ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 30900.000000 that M14 is in danger (after 10441ms proces-to-process, 9797ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 43898.000000 that M17 is in danger (after 15486ms proces-to-process, 13635ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 43898.000000 that M16 is in danger (after 22466ms proces-to-process, 18739ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L3 of team T0 discovered at 42982.000000 that M19 is in danger (after 13821ms proces-to-process, 12548ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 30058.000000 that M18 is in danger (after 13806ms proces-to-process, 13066ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L0 of team T0 discovered at 33639.000000 that M39 is in danger (after 10046ms proces-to-process, 7675ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 37231.000000 that M38 is in danger (after 11475ms proces-to-process, 11117ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 33176.000000 that M37 is in danger (after 10244ms proces-to-process, 8315ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 27456.000000 that M36 is in danger (after 11811ms proces-to-process, 9531ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 45587.000000 that M35 is in danger (after 17712ms proces-to-process, 14043ms node-to-node, 4hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 38018.000000 that M34 is in danger (after 7694ms proces-to-process, 6852ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 33176.000000 that M33 is in danger (after 5520ms proces-to-process, 3705ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L0 of team T0 discovered at 40916.000000 that M32 is in danger (after 19810ms proces-to-process, 18774ms node-to-node, 4hops, 5versions (10 first, 15 discovered)
leader L0 of team T0 discovered at 30441.000000 that M31 is in danger (after 12780ms proces-to-process, 11119ms node-to-node, 5hops, 3versions (8 first, 11 discovered)
leader L0 of team T0 discovered at 37231.000000 that M30 is in danger (after 8851ms proces-to-process, 8166ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L0 of team T0 discovered at 23509.000000 that M5 is in danger (after 3952ms proces-to-process, 3476ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 27082.000000 that M4 is in danger (after 4950ms proces-to-process, 1875ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 33176.000000 that M7 is in danger (after 3353ms proces-to-process, 1861ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 29195.000000 that M6 is in danger (after 6724ms proces-to-process, 5110ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 29195.000000 that M1 is in danger (after 4351ms proces-to-process, 2644ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 24240.000000 that M0 is in danger (after 3602ms proces-to-process, 2616ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 28136.000000 that M3 is in danger (after 9373ms proces-to-process, 7759ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 36352.000000 that M2 is in danger (after 8922ms proces-to-process, 6370ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 39672.000000 that M9 is in danger (after 9314ms proces-to-process, 8754ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 19643.000000 that M8 is in danger (after 2263ms proces-to-process, 2164ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 41442.000000 that M42 is in danger (after 11591ms proces-to-process, 10490ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 27456.000000 that M43 is in danger (after 6321ms proces-to-process, 3209ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 27082.000000 that M40 is in danger (after 3817ms proces-to-process, 1409ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 33176.000000 that M41 is in danger (after 5949ms proces-to-process, 4608ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 31697.000000 that M28 is in danger (after 6882ms proces-to-process, 4078ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M29 is in danger (after 10346ms proces-to-process, 9654ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L0 of team T0 discovered at 38468.000000 that M24 is in danger (after 8257ms proces-to-process, 5154ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L0 of team T0 discovered at 32222.000000 that M25 is in danger (after 4136ms proces-to-process, 2013ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 45587.000000 that M26 is in danger (after 15268ms proces-to-process, 12827ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L0 of team T0 discovered at 32222.000000 that M27 is in danger (after 9396ms proces-to-process, 7473ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 43081.000000 that M20 is in danger (after 14843ms proces-to-process, 12920ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 32222.000000 that M21 is in danger (after 14575ms proces-to-process, 13583ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 30730.000000 that M22 is in danger (after 10740ms proces-to-process, 9468ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L0 of team T0 discovered at 31697.000000 that M23 is in danger (after 4970ms proces-to-process, 3951ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M44 is in danger (after 10003ms proces-to-process, 7963ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 24857.000000 that M45 is in danger (after 2469ms proces-to-process, 2012ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 25361.000000 that M11 is in danger (after 1948ms proces-to-process, 269ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 24240.000000 that M10 is in danger (after 4522ms proces-to-process, 2720ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 22648.000000 that M13 is in danger (after 4406ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 40916.000000 that M12 is in danger (after 14579ms proces-to-process, 13924ms node-to-node, 2hops, 4versions (12 first, 16 discovered)
leader L0 of team T0 discovered at 21050.000000 that M15 is in danger (after 1980ms proces-to-process, 61ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 22026.000000 that M14 is in danger (after 1567ms proces-to-process, 1410ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 41442.000000 that M17 is in danger (after 13030ms proces-to-process, 11301ms node-to-node, 4hops, 4versions (13 first, 17 discovered)
leader L0 of team T0 discovered at 33176.000000 that M16 is in danger (after 11744ms proces-to-process, 7352ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 43081.000000 that M19 is in danger (after 13920ms proces-to-process, 12579ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 28136.000000 that M18 is in danger (after 11884ms proces-to-process, 11129ms node-to-node, 8hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 47321.000000 that M39 is in danger (after 23728ms proces-to-process, 21465ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L1 of team T0 never discovered that M38 is in danger from 25756.
leader L1 of team T0 never discovered that M37 is in danger from 22932.
leader L1 of team T0 never discovered that M36 is in danger from 15645.
leader L1 of team T0 never discovered that M35 is in danger from 27875.
leader L1 of team T0 never discovered that M34 is in danger from 30324.
leader L1 of team T0 discovered at 59806.000000 that M33 is in danger (after 32150ms proces-to-process, 29695ms node-to-node, 6hops, 9versions (13 first, 22 discovered)
leader L1 of team T0 never discovered that M32 is in danger from 21106.
leader L1 of team T0 discovered at 51178.000000 that M31 is in danger (after 33517ms proces-to-process, 32032ms node-to-node, 6hops, 8versions (8 first, 16 discovered)
leader L1 of team T0 discovered at 48843.000000 that M30 is in danger (after 20463ms proces-to-process, 19722ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 42286.000000 that M5 is in danger (after 22729ms proces-to-process, 22268ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L1 of team T0 discovered at 39778.000000 that M4 is in danger (after 17646ms proces-to-process, 14755ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L1 of team T0 discovered at 41151.000000 that M7 is in danger (after 11328ms proces-to-process, 9656ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 34740.000000 that M6 is in danger (after 12269ms proces-to-process, 10328ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 never discovered that M1 is in danger from 24844.
leader L1 of team T0 discovered at 33220.000000 that M0 is in danger (after 12582ms proces-to-process, 11787ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 never discovered that M3 is in danger from 18763.
leader L1 of team T0 never discovered that M2 is in danger from 27430.
leader L1 of team T0 never discovered that M9 is in danger from 30358.
leader L1 of team T0 discovered at 35194.000000 that M8 is in danger (after 17814ms proces-to-process, 17382ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L1 of team T0 discovered at 58315.000000 that M42 is in danger (after 28464ms proces-to-process, 27482ms node-to-node, 12hops, 4versions (14 first, 18 discovered)
leader L1 of team T0 discovered at 35513.000000 that M43 is in danger (after 14378ms proces-to-process, 11438ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 49769.000000 that M40 is in danger (after 26504ms proces-to-process, 23896ms node-to-node, 5hops, 6versions (12 first, 18 discovered)
leader L1 of team T0 discovered at 55357.000000 that M41 is in danger (after 28130ms proces-to-process, 26731ms node-to-node, 6hops, 7versions (12 first, 19 discovered)
leader L1 of team T0 never discovered that M28 is in danger from 24815.
leader L1 of team T0 never discovered that M29 is in danger from 24072.
leader L1 of team T0 never discovered that M24 is in danger from 30211.
leader L1 of team T0 never discovered that M25 is in danger from 28086.
leader L1 of team T0 never discovered that M26 is in danger from 30319.
leader L1 of team T0 never discovered that M27 is in danger from 22826.
leader L1 of team T0 never discovered that M20 is in danger from 28238.
leader L1 of team T0 discovered at 37019.000000 that M21 is in danger (after 19372ms proces-to-process, 18069ms node-to-node, 10hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 never discovered that M22 is in danger from 19990.
leader L1 of team T0 never discovered that M23 is in danger from 26727.
leader L1 of team T0 discovered at 54283.000000 that M44 is in danger (after 29868ms proces-to-process, 28143ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L1 of team T0 discovered at 43193.000000 that M45 is in danger (after 20805ms proces-to-process, 19982ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
leader L1 of team T0 discovered at 32080.000000 that M11 is in danger (after 8667ms proces-to-process, 7108ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 48843.000000 that M10 is in danger (after 29125ms proces-to-process, 27603ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L1 of team T0 discovered at 50684.000000 that M13 is in danger (after 32442ms proces-to-process, 29357ms node-to-node, 6hops, 8versions (9 first, 17 discovered)
leader L1 of team T0 discovered at 40766.000000 that M12 is in danger (after 14429ms proces-to-process, 13894ms node-to-node, 1hops, 4versions (12 first, 16 discovered)
leader L1 of team T0 never discovered that M15 is in danger from 19070.
leader L1 of team T0 discovered at 48843.000000 that M14 is in danger (after 28384ms proces-to-process, 28219ms node-to-node, 6hops, 8versions (9 first, 17 discovered)
leader L1 of team T0 never discovered that M17 is in danger from 28412.
leader L1 of team T0 discovered at 25751.000000 that M16 is in danger (after 4319ms proces-to-process, 713ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 never discovered that M19 is in danger from 29161.
leader L1 of team T0 discovered at 48101.000000 that M18 is in danger (after 31849ms proces-to-process, 30838ms node-to-node, 6hops, 5versions (7 first, 12 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=12318.743750, min=1567, max=35566, median=10558
Node-2-node response time: avg=10658.850000, min=61, max=33805, median=9109
Hops: avg=4.981250, min=1, max=12, median=5
Process-2-process response time / 1 hop: avg=2826.037500, min=522, max=18269, median=2049
Node-2-node response time / 1 hop: avg=2366.931250, min=61, max=16961, median=1716
Version difference: avg=1.756250, min=0, max=11, median=1
Ratio of leader discoveries: 160 of 184 (86.956522%)
Ratio of discoveries regardless the number of leaders: 46 of 46 (100.000000%)
