Config: 
--------------------------------------------
leader L16 of team T8 discovered at 37030.000000 that M151 is in danger (after 11217ms proces-to-process, 10684ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 27369.000000 that M160 is in danger (after 11721ms proces-to-process, 9246ms node-to-node, 11hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 36318.000000 that M161 is in danger (after 16598ms proces-to-process, 14585ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 31784.000000 that M162 is in danger (after 9741ms proces-to-process, 9075ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 33638.000000 that M163 is in danger (after 4032ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 20517.000000 that M164 is in danger (after 3578ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 30694.000000 that M166 is in danger (after 12728ms proces-to-process, 10796ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L17 of team T8 discovered at 53130.000000 that M151 is in danger (after 27317ms proces-to-process, 27017ms node-to-node, 6hops, 8versions (11 first, 19 discovered)
leader L17 of team T8 discovered at 31667.000000 that M150 is in danger (after 10478ms proces-to-process, 10004ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 never discovered that M153 is in danger from 20405.
leader L17 of team T8 discovered at 59129.000000 that M152 is in danger (after 30641ms proces-to-process, 29992ms node-to-node, 5hops, 10versions (13 first, 23 discovered)
leader L17 of team T8 discovered at 32568.000000 that M155 is in danger (after 11333ms proces-to-process, 10322ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 34760.000000 that M154 is in danger (after 11871ms proces-to-process, 10097ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 never discovered that M156 is in danger from 23607.
leader L17 of team T8 discovered at 44125.000000 that M159 is in danger (after 27396ms proces-to-process, 24304ms node-to-node, 5hops, 9versions (8 first, 17 discovered)
leader L17 of team T8 discovered at 30518.000000 that M158 is in danger (after 11898ms proces-to-process, 10716ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L17 of team T8 discovered at 59374.000000 that M146 is in danger (after 29571ms proces-to-process, 27462ms node-to-node, 8hops, 8versions (14 first, 22 discovered)
leader L17 of team T8 discovered at 35708.000000 that M147 is in danger (after 13713ms proces-to-process, 10944ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 43224.000000 that M144 is in danger (after 14650ms proces-to-process, 12511ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L17 of team T8 discovered at 44700.000000 that M145 is in danger (after 17577ms proces-to-process, 15038ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 never discovered that M148 is in danger from 24342.
leader L17 of team T8 discovered at 49241.000000 that M149 is in danger (after 26210ms proces-to-process, 25570ms node-to-node, 5hops, 8versions (11 first, 19 discovered)
leader L17 of team T8 discovered at 31150.000000 that M160 is in danger (after 15502ms proces-to-process, 12707ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 31976.000000 that M161 is in danger (after 12256ms proces-to-process, 10636ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 25952.000000 that M162 is in danger (after 3909ms proces-to-process, 3810ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 47472.000000 that M163 is in danger (after 17866ms proces-to-process, 16718ms node-to-node, 7hops, 4versions (14 first, 18 discovered)
leader L17 of team T8 discovered at 25602.000000 that M164 is in danger (after 8663ms proces-to-process, 7439ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 24890.000000 that M166 is in danger (after 6924ms proces-to-process, 5317ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 41490.000000 that M168 is in danger (after 13728ms proces-to-process, 12295ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 34921.000000 that M169 is in danger (after 9235ms proces-to-process, 8203ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 36340.000000 that M179 is in danger (after 13388ms proces-to-process, 11817ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 30779.000000 that M178 is in danger (after 6742ms proces-to-process, 6152ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L18 of team T9 discovered at 35224.000000 that M173 is in danger (after 8853ms proces-to-process, 6930ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 45454.000000 that M172 is in danger (after 26469ms proces-to-process, 25180ms node-to-node, 9hops, 5versions (8 first, 13 discovered)
leader L18 of team T9 discovered at 45958.000000 that M171 is in danger (after 29299ms proces-to-process, 28350ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L18 of team T9 discovered at 43805.000000 that M170 is in danger (after 16279ms proces-to-process, 13531ms node-to-node, 10hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 discovered at 49584.000000 that M177 is in danger (after 27781ms proces-to-process, 26628ms node-to-node, 7hops, 7versions (10 first, 17 discovered)
leader L18 of team T9 discovered at 54572.000000 that M165 is in danger (after 24150ms proces-to-process, 21785ms node-to-node, 5hops, 6versions (14 first, 20 discovered)
leader L18 of team T9 discovered at 45958.000000 that M175 is in danger (after 18891ms proces-to-process, 14837ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 37205.000000 that M167 is in danger (after 12015ms proces-to-process, 10349ms node-to-node, 2hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 discovered at 29108.000000 that M181 is in danger (after 3771ms proces-to-process, 1416ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 discovered at 58239.000000 that M176 is in danger (after 28406ms proces-to-process, 27006ms node-to-node, 8hops, 4versions (14 first, 18 discovered)
leader L18 of team T9 discovered at 25788.000000 that M180 is in danger (after 4430ms proces-to-process, 3946ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L18 of team T9 discovered at 31520.000000 that M174 is in danger (after 2774ms proces-to-process, 1507ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 42166.000000 that M168 is in danger (after 14404ms proces-to-process, 13110ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 38310.000000 that M169 is in danger (after 12624ms proces-to-process, 11970ms node-to-node, 3hops, 4versions (12 first, 16 discovered)
leader L19 of team T9 discovered at 27851.000000 that M179 is in danger (after 4899ms proces-to-process, 2657ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 30836.000000 that M178 is in danger (after 6799ms proces-to-process, 6152ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L19 of team T9 discovered at 35257.000000 that M173 is in danger (after 8886ms proces-to-process, 6928ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 39255.000000 that M172 is in danger (after 20270ms proces-to-process, 19483ms node-to-node, 7hops, 5versions (8 first, 13 discovered)
leader L19 of team T9 discovered at 33677.000000 that M171 is in danger (after 17018ms proces-to-process, 15750ms node-to-node, 2hops, 3versions (8 first, 11 discovered)
leader L19 of team T9 discovered at 34197.000000 that M170 is in danger (after 6671ms proces-to-process, 4257ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 46979.000000 that M177 is in danger (after 25176ms proces-to-process, 23738ms node-to-node, 5hops, 7versions (10 first, 17 discovered)
leader L19 of team T9 discovered at 42166.000000 that M165 is in danger (after 11744ms proces-to-process, 9657ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L19 of team T9 discovered at 37321.000000 that M175 is in danger (after 10254ms proces-to-process, 6344ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 35257.000000 that M167 is in danger (after 10067ms proces-to-process, 7775ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 40282.000000 that M181 is in danger (after 14945ms proces-to-process, 13078ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 49890.000000 that M176 is in danger (after 20057ms proces-to-process, 18662ms node-to-node, 2hops, 4versions (14 first, 18 discovered)
leader L19 of team T9 discovered at 46979.000000 that M180 is in danger (after 25621ms proces-to-process, 25102ms node-to-node, 14hops, 1versions (9 first, 10 discovered)
leader L19 of team T9 discovered at 36613.000000 that M174 is in danger (after 7867ms proces-to-process, 6626ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 29947.000000 that M124 is in danger (after 3943ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 35666.000000 that M125 is in danger (after 12032ms proces-to-process, 10121ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 24491.000000 that M127 is in danger (after 5323ms proces-to-process, 4305ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 38417.000000 that M119 is in danger (after 12371ms proces-to-process, 8874ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 32739.000000 that M118 is in danger (after 5449ms proces-to-process, 2611ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 25148.000000 that M122 is in danger (after 9101ms proces-to-process, 7500ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 36306.000000 that M123 is in danger (after 13052ms proces-to-process, 10946ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 50343.000000 that M115 is in danger (after 20311ms proces-to-process, 20107ms node-to-node, 5hops, 7versions (13 first, 20 discovered)
leader L12 of team T6 discovered at 25749.000000 that M114 is in danger (after 8405ms proces-to-process, 7187ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 29947.000000 that M117 is in danger (after 5398ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 21133.000000 that M116 is in danger (after 3205ms proces-to-process, 2068ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 40445.000000 that M110 is in danger (after 9869ms proces-to-process, 9003ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 36306.000000 that M113 is in danger (after 7151ms proces-to-process, 4816ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 28381.000000 that M112 is in danger (after 6038ms proces-to-process, 2796ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 34552.000000 that M120 is in danger (after 10441ms proces-to-process, 7476ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 42061.000000 that M129 is in danger (after 22595ms proces-to-process, 21847ms node-to-node, 4hops, 6versions (8 first, 14 discovered)
leader L12 of team T6 discovered at 32739.000000 that M121 is in danger (after 4094ms proces-to-process, 3686ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 42776.000000 that M124 is in danger (after 16772ms proces-to-process, 15246ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 25754.000000 that M125 is in danger (after 2120ms proces-to-process, 169ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 36484.000000 that M127 is in danger (after 17316ms proces-to-process, 16150ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 41939.000000 that M119 is in danger (after 15893ms proces-to-process, 12435ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 45648.000000 that M118 is in danger (after 18358ms proces-to-process, 15653ms node-to-node, 9hops, 3versions (14 first, 17 discovered)
leader L13 of team T6 discovered at 34515.000000 that M122 is in danger (after 18468ms proces-to-process, 16214ms node-to-node, 10hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 52064.000000 that M123 is in danger (after 28810ms proces-to-process, 26119ms node-to-node, 6hops, 7versions (11 first, 18 discovered)
leader L13 of team T6 never discovered that M115 is in danger from 30032.
leader L13 of team T6 discovered at 40463.000000 that M114 is in danger (after 23119ms proces-to-process, 21710ms node-to-node, 9hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 discovered at 48801.000000 that M117 is in danger (after 24252ms proces-to-process, 20822ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 23910.000000 that M116 is in danger (after 5982ms proces-to-process, 4215ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 never discovered that M110 is in danger from 30576.
leader L13 of team T6 never discovered that M113 is in danger from 29155.
leader L13 of team T6 discovered at 51207.000000 that M112 is in danger (after 28864ms proces-to-process, 26306ms node-to-node, 12hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 40463.000000 that M120 is in danger (after 16352ms proces-to-process, 13602ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L13 of team T6 discovered at 24997.000000 that M129 is in danger (after 5531ms proces-to-process, 4623ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 33043.000000 that M121 is in danger (after 4398ms proces-to-process, 3686ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 44643.000000 that M137 is in danger (after 16764ms proces-to-process, 15490ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L14 of team T7 discovered at 50871.000000 that M136 is in danger (after 29827ms proces-to-process, 29138ms node-to-node, 10hops, 6versions (10 first, 16 discovered)
leader L14 of team T7 discovered at 56711.000000 that M126 is in danger (after 30302ms proces-to-process, 28477ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 30686.000000 that M134 is in danger (after 10266ms proces-to-process, 8010ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 37352.000000 that M133 is in danger (after 20080ms proces-to-process, 19571ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 47551.000000 that M132 is in danger (after 22307ms proces-to-process, 20381ms node-to-node, 9hops, 3versions (12 first, 15 discovered)
leader L14 of team T7 discovered at 37352.000000 that M131 is in danger (after 15117ms proces-to-process, 13202ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 40963.000000 that M130 is in danger (after 22606ms proces-to-process, 22267ms node-to-node, 4hops, 4versions (8 first, 12 discovered)
leader L14 of team T7 discovered at 35657.000000 that M128 is in danger (after 14627ms proces-to-process, 13638ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 42489.000000 that M135 is in danger (after 24594ms proces-to-process, 22732ms node-to-node, 10hops, 4versions (9 first, 13 discovered)
leader L14 of team T7 discovered at 36607.000000 that M139 is in danger (after 8101ms proces-to-process, 7153ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 41245.000000 that M138 is in danger (after 10928ms proces-to-process, 10654ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 38530.000000 that M142 is in danger (after 18922ms proces-to-process, 17368ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L14 of team T7 discovered at 32821.000000 that M143 is in danger (after 6543ms proces-to-process, 4477ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 50037.000000 that M140 is in danger (after 22598ms proces-to-process, 22042ms node-to-node, 8hops, 4versions (13 first, 17 discovered)
leader L14 of team T7 discovered at 32262.000000 that M141 is in danger (after 15742ms proces-to-process, 14702ms node-to-node, 9hops, 2versions (7 first, 9 discovered)
leader L15 of team T7 never discovered that M137 is in danger from 27879.
leader L15 of team T7 discovered at 45080.000000 that M136 is in danger (after 24036ms proces-to-process, 23096ms node-to-node, 9hops, 4versions (10 first, 14 discovered)
leader L15 of team T7 discovered at 38554.000000 that M126 is in danger (after 12145ms proces-to-process, 10449ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 28308.000000 that M134 is in danger (after 7888ms proces-to-process, 5236ms node-to-node, 1hops, 3versions (10 first, 13 discovered)
leader L15 of team T7 discovered at 26979.000000 that M133 is in danger (after 9707ms proces-to-process, 9327ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 47598.000000 that M132 is in danger (after 22354ms proces-to-process, 20241ms node-to-node, 3hops, 6versions (12 first, 18 discovered)
leader L15 of team T7 discovered at 35576.000000 that M131 is in danger (after 13341ms proces-to-process, 11996ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 38554.000000 that M130 is in danger (after 20197ms proces-to-process, 19872ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 discovered at 42578.000000 that M128 is in danger (after 21548ms proces-to-process, 20488ms node-to-node, 10hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 35175.000000 that M135 is in danger (after 17280ms proces-to-process, 15198ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 42013.000000 that M139 is in danger (after 13507ms proces-to-process, 12922ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L15 of team T7 discovered at 41509.000000 that M138 is in danger (after 11192ms proces-to-process, 10877ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 42578.000000 that M142 is in danger (after 22970ms proces-to-process, 21245ms node-to-node, 5hops, 6versions (9 first, 15 discovered)
leader L15 of team T7 discovered at 47598.000000 that M143 is in danger (after 21320ms proces-to-process, 18916ms node-to-node, 4hops, 5versions (12 first, 17 discovered)
leader L15 of team T7 discovered at 50973.000000 that M140 is in danger (after 23534ms proces-to-process, 23028ms node-to-node, 9hops, 5versions (13 first, 18 discovered)
leader L15 of team T7 discovered at 40846.000000 that M141 is in danger (after 24326ms proces-to-process, 23061ms node-to-node, 6hops, 5versions (7 first, 12 discovered)
leader L8 of team T4 discovered at 44027.000000 that M85 is in danger (after 27809ms proces-to-process, 25259ms node-to-node, 9hops, 5versions (8 first, 13 discovered)
leader L8 of team T4 discovered at 37309.000000 that M77 is in danger (after 20494ms proces-to-process, 17498ms node-to-node, 6hops, 5versions (8 first, 13 discovered)
leader L8 of team T4 discovered at 48733.000000 that M76 is in danger (after 23453ms proces-to-process, 19497ms node-to-node, 3hops, 5versions (13 first, 18 discovered)
leader L8 of team T4 discovered at 34885.000000 that M75 is in danger (after 12917ms proces-to-process, 11199ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 31524.000000 that M74 is in danger (after 7877ms proces-to-process, 6411ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L8 of team T4 discovered at 39207.000000 that M86 is in danger (after 20226ms proces-to-process, 17175ms node-to-node, 5hops, 6versions (9 first, 15 discovered)
leader L8 of team T4 discovered at 34240.000000 that M87 is in danger (after 7975ms proces-to-process, 6566ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 31376.000000 that M79 is in danger (after 12947ms proces-to-process, 11517ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 34885.000000 that M78 is in danger (after 15576ms proces-to-process, 13988ms node-to-node, 4hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 34240.000000 that M82 is in danger (after 10981ms proces-to-process, 10505ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 43310.000000 that M83 is in danger (after 12715ms proces-to-process, 10085ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 23792.000000 that M80 is in danger (after 6779ms proces-to-process, 6062ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L8 of team T4 discovered at 34885.000000 that M81 is in danger (after 13938ms proces-to-process, 12821ms node-to-node, 3hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 51273.000000 that M91 is in danger (after 21464ms proces-to-process, 18987ms node-to-node, 6hops, 6versions (15 first, 21 discovered)
leader L8 of team T4 discovered at 37309.000000 that M94 is in danger (after 10612ms proces-to-process, 10303ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L8 of team T4 discovered at 51273.000000 that M89 is in danger (after 24447ms proces-to-process, 23571ms node-to-node, 9hops, 2versions (13 first, 15 discovered)
leader L8 of team T4 discovered at 32358.000000 that M88 is in danger (after 3528ms proces-to-process, 3179ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 27198.000000 that M84 is in danger (after 8264ms proces-to-process, 5274ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 44027.000000 that M93 is in danger (after 19285ms proces-to-process, 18028ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L9 of team T4 discovered at 40184.000000 that M85 is in danger (after 23966ms proces-to-process, 21215ms node-to-node, 7hops, 6versions (8 first, 14 discovered)
leader L9 of team T4 discovered at 24088.000000 that M77 is in danger (after 7273ms proces-to-process, 4706ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 46810.000000 that M76 is in danger (after 21530ms proces-to-process, 17831ms node-to-node, 8hops, 4versions (13 first, 17 discovered)
leader L9 of team T4 discovered at 48090.000000 that M75 is in danger (after 26122ms proces-to-process, 24475ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L9 of team T4 discovered at 44044.000000 that M74 is in danger (after 20397ms proces-to-process, 18881ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L9 of team T4 discovered at 30267.000000 that M86 is in danger (after 11286ms proces-to-process, 7958ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 50042.000000 that M87 is in danger (after 23777ms proces-to-process, 22651ms node-to-node, 6hops, 5versions (13 first, 18 discovered)
leader L9 of team T4 discovered at 33164.000000 that M79 is in danger (after 14735ms proces-to-process, 13022ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 35898.000000 that M78 is in danger (after 16589ms proces-to-process, 15133ms node-to-node, 1hops, 5versions (9 first, 14 discovered)
leader L9 of team T4 discovered at 24729.000000 that M82 is in danger (after 1470ms proces-to-process, 518ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 48721.000000 that M83 is in danger (after 18126ms proces-to-process, 15427ms node-to-node, 7hops, 1versions (15 first, 16 discovered)
leader L9 of team T4 discovered at 43808.000000 that M80 is in danger (after 26795ms proces-to-process, 26240ms node-to-node, 8hops, 6versions (7 first, 13 discovered)
leader L9 of team T4 discovered at 33887.000000 that M81 is in danger (after 12940ms proces-to-process, 11794ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 48090.000000 that M91 is in danger (after 18281ms proces-to-process, 15810ms node-to-node, 5hops, 2versions (15 first, 17 discovered)
leader L9 of team T4 discovered at 51784.000000 that M94 is in danger (after 25087ms proces-to-process, 24650ms node-to-node, 8hops, 7versions (12 first, 19 discovered)
leader L9 of team T4 discovered at 52929.000000 that M89 is in danger (after 26103ms proces-to-process, 25432ms node-to-node, 10hops, 5versions (13 first, 18 discovered)
leader L9 of team T4 discovered at 42388.000000 that M88 is in danger (after 13558ms proces-to-process, 12913ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 34720.000000 that M84 is in danger (after 15786ms proces-to-process, 12756ms node-to-node, 4hops, 3versions (9 first, 12 discovered)
leader L9 of team T4 discovered at 35898.000000 that M93 is in danger (after 11156ms proces-to-process, 10393ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 35696.000000 that M99 is in danger (after 15171ms proces-to-process, 12773ms node-to-node, 11hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 50929.000000 that M98 is in danger (after 28076ms proces-to-process, 27807ms node-to-node, 8hops, 8versions (10 first, 18 discovered)
leader L10 of team T5 discovered at 38562.000000 that M100 is in danger (after 17038ms proces-to-process, 15590ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L10 of team T5 never discovered that M101 is in danger from 25504.
leader L10 of team T5 discovered at 43103.000000 that M106 is in danger (after 19204ms proces-to-process, 18200ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L10 of team T5 discovered at 18676.000000 that M107 is in danger (after 2834ms proces-to-process, 51ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L10 of team T5 never discovered that M104 is in danger from 23044.
leader L10 of team T5 discovered at 40250.000000 that M103 is in danger (after 20311ms proces-to-process, 18680ms node-to-node, 9hops, 5versions (10 first, 15 discovered)
leader L10 of team T5 discovered at 41184.000000 that M90 is in danger (after 15304ms proces-to-process, 11811ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L10 of team T5 discovered at 41184.000000 that M108 is in danger (after 22590ms proces-to-process, 20010ms node-to-node, 12hops, 5versions (9 first, 14 discovered)
leader L10 of team T5 discovered at 31189.000000 that M92 is in danger (after 13840ms proces-to-process, 10986ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
