Config: 
--------------------------------------------
leader L16 of team T8 discovered at 37030.000000 that M151 is in danger (after 11217ms proces-to-process, 10758ms node-to-node, 12hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 22988.000000 that M114 is in danger (after 5644ms proces-to-process, 4527ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 47495.000000 that M117 is in danger (after 22946ms proces-to-process, 19454ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 31164.000000 that M116 is in danger (after 13236ms proces-to-process, 12325ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 31164.000000 that M111 is in danger (after 11600ms proces-to-process, 8994ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 41090.000000 that M110 is in danger (after 10514ms proces-to-process, 9638ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L13 of team T6 discovered at 33440.000000 that M113 is in danger (after 4285ms proces-to-process, 2228ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 26944.000000 that M112 is in danger (after 4601ms proces-to-process, 2093ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 56446.000000 that M128 is in danger (after 35416ms proces-to-process, 34154ms node-to-node, 8hops, 9versions (10 first, 19 discovered)
leader L13 of team T6 discovered at 53802.000000 that M120 is in danger (after 29691ms proces-to-process, 26983ms node-to-node, 6hops, 8versions (12 first, 20 discovered)
leader L13 of team T6 discovered at 34515.000000 that M129 is in danger (after 15049ms proces-to-process, 14262ms node-to-node, 7hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 discovered at 37358.000000 that M121 is in danger (after 8713ms proces-to-process, 8085ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 32821.000000 that M137 is in danger (after 4942ms proces-to-process, 3698ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 32821.000000 that M136 is in danger (after 11777ms proces-to-process, 11305ms node-to-node, 5hops, 3versions (10 first, 13 discovered)
leader L14 of team T7 discovered at 21368.000000 that M135 is in danger (after 3473ms proces-to-process, 1422ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 never discovered that M134 is in danger from 20420.
leader L14 of team T7 discovered at 21749.000000 that M133 is in danger (after 4236ms proces-to-process, 2611ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 32821.000000 that M132 is in danger (after 7577ms proces-to-process, 5627ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 27600.000000 that M131 is in danger (after 5365ms proces-to-process, 3804ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 never discovered that M130 is in danger from 18357.
leader L14 of team T7 discovered at 30553.000000 that M139 is in danger (after 2047ms proces-to-process, 1520ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 39568.000000 that M138 is in danger (after 9251ms proces-to-process, 8519ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L14 of team T7 discovered at 38145.000000 that M144 is in danger (after 9571ms proces-to-process, 6889ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 27600.000000 that M127 is in danger (after 8432ms proces-to-process, 7246ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 25076.000000 that M142 is in danger (after 5468ms proces-to-process, 3213ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 36607.000000 that M143 is in danger (after 10329ms proces-to-process, 8141ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L14 of team T7 discovered at 34961.000000 that M140 is in danger (after 7522ms proces-to-process, 7263ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 25076.000000 that M141 is in danger (after 8556ms proces-to-process, 7625ms node-to-node, 8hops, 2versions (7 first, 9 discovered)
leader L14 of team T7 discovered at 37352.000000 that M145 is in danger (after 10229ms proces-to-process, 7404ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 32598.000000 that M137 is in danger (after 4719ms proces-to-process, 3698ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 21899.000000 that M136 is in danger (after 855ms proces-to-process, 20ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 25129.000000 that M135 is in danger (after 7234ms proces-to-process, 5639ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 never discovered that M134 is in danger from 20420.
leader L15 of team T7 discovered at 23204.000000 that M133 is in danger (after 5691ms proces-to-process, 3819ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 38554.000000 that M132 is in danger (after 13310ms proces-to-process, 11047ms node-to-node, 11hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 31678.000000 that M131 is in danger (after 9443ms proces-to-process, 8020ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 never discovered that M130 is in danger from 18357.
leader L15 of team T7 discovered at 32598.000000 that M139 is in danger (after 4092ms proces-to-process, 3327ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 41509.000000 that M138 is in danger (after 11192ms proces-to-process, 10929ms node-to-node, 9hops, 3versions (14 first, 17 discovered)
leader L15 of team T7 discovered at 36678.000000 that M144 is in danger (after 8104ms proces-to-process, 5082ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 35175.000000 that M127 is in danger (after 16007ms proces-to-process, 14389ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L15 of team T7 discovered at 23204.000000 that M142 is in danger (after 3596ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 32598.000000 that M143 is in danger (after 6320ms proces-to-process, 4087ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 32598.000000 that M140 is in danger (after 5159ms proces-to-process, 4853ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 20196.000000 that M141 is in danger (after 3676ms proces-to-process, 2517ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 33046.000000 that M145 is in danger (after 5923ms proces-to-process, 3789ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 50290.000000 that M72 is in danger (after 20706ms proces-to-process, 17972ms node-to-node, 5hops, 4versions (14 first, 18 discovered)
leader L8 of team T4 discovered at 36254.000000 that M85 is in danger (after 20036ms proces-to-process, 17838ms node-to-node, 8hops, 4versions (8 first, 12 discovered)
leader L8 of team T4 discovered at 28862.000000 that M77 is in danger (after 12047ms proces-to-process, 8653ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 54797.000000 that M76 is in danger (after 29517ms proces-to-process, 25605ms node-to-node, 9hops, 7versions (13 first, 20 discovered)
leader L8 of team T4 discovered at 41751.000000 that M75 is in danger (after 19783ms proces-to-process, 17953ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 54048.000000 that M74 is in danger (after 30401ms proces-to-process, 28609ms node-to-node, 10hops, 6versions (12 first, 18 discovered)
leader L8 of team T4 never discovered that M86 is in danger from 18981.
leader L8 of team T4 discovered at 29816.000000 that M87 is in danger (after 3551ms proces-to-process, 2463ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 38464.000000 that M79 is in danger (after 20035ms proces-to-process, 18887ms node-to-node, 13hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 28862.000000 that M78 is in danger (after 9553ms proces-to-process, 7989ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 37309.000000 that M82 is in danger (after 14050ms proces-to-process, 13469ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L8 of team T4 discovered at 34827.000000 that M83 is in danger (after 4232ms proces-to-process, 1414ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 29431.000000 that M80 is in danger (after 12418ms proces-to-process, 11900ms node-to-node, 9hops, 1versions (7 first, 8 discovered)
leader L8 of team T4 discovered at 50290.000000 that M81 is in danger (after 29343ms proces-to-process, 28370ms node-to-node, 8hops, 8versions (9 first, 17 discovered)
leader L8 of team T4 discovered at 33466.000000 that M91 is in danger (after 3657ms proces-to-process, 1266ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 never discovered that M89 is in danger from 26826.
leader L8 of team T4 discovered at 31376.000000 that M88 is in danger (after 2546ms proces-to-process, 1902ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 25291.000000 that M92 is in danger (after 7942ms proces-to-process, 5284ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 21640.000000 that M84 is in danger (after 2706ms proces-to-process, 60ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 39989.000000 that M93 is in danger (after 15247ms proces-to-process, 14204ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L9 of team T4 discovered at 34720.000000 that M72 is in danger (after 5136ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L9 of team T4 discovered at 18779.000000 that M85 is in danger (after 2561ms proces-to-process, 89ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 25568.000000 that M77 is in danger (after 8753ms proces-to-process, 6115ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L9 of team T4 discovered at 43808.000000 that M76 is in danger (after 18528ms proces-to-process, 14589ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L9 of team T4 discovered at 34720.000000 that M75 is in danger (after 12752ms proces-to-process, 11021ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L9 of team T4 discovered at 36861.000000 that M74 is in danger (after 13214ms proces-to-process, 11726ms node-to-node, 10hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 never discovered that M86 is in danger from 18981.
leader L9 of team T4 discovered at 42388.000000 that M87 is in danger (after 16123ms proces-to-process, 14271ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L9 of team T4 discovered at 25568.000000 that M79 is in danger (after 7139ms proces-to-process, 5595ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 31352.000000 that M78 is in danger (after 12043ms proces-to-process, 10697ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 29665.000000 that M82 is in danger (after 6406ms proces-to-process, 5799ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 42388.000000 that M83 is in danger (after 11793ms proces-to-process, 8574ms node-to-node, 4hops, 1versions (15 first, 16 discovered)
leader L9 of team T4 discovered at 17822.000000 that M80 is in danger (after 809ms proces-to-process, 307ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 29202.000000 that M81 is in danger (after 8255ms proces-to-process, 7097ms node-to-node, 3hops, 4versions (9 first, 13 discovered)
leader L9 of team T4 discovered at 42388.000000 that M91 is in danger (after 12579ms proces-to-process, 9701ms node-to-node, 9hops, 2versions (15 first, 17 discovered)
leader L9 of team T4 never discovered that M89 is in danger from 26826.
leader L9 of team T4 discovered at 39008.000000 that M88 is in danger (after 10178ms proces-to-process, 9786ms node-to-node, 10hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 26364.000000 that M92 is in danger (after 9015ms proces-to-process, 6512ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 35156.000000 that M84 is in danger (after 16222ms proces-to-process, 13239ms node-to-node, 9hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 32489.000000 that M93 is in danger (after 7747ms proces-to-process, 6533ms node-to-node, 2hops, 4versions (11 first, 15 discovered)
leader L10 of team T5 discovered at 28231.000000 that M99 is in danger (after 7706ms proces-to-process, 5475ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 29103.000000 that M98 is in danger (after 6250ms proces-to-process, 5378ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 33439.000000 that M100 is in danger (after 11915ms proces-to-process, 10081ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 40604.000000 that M101 is in danger (after 15100ms proces-to-process, 14136ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 27995.000000 that M106 is in danger (after 4096ms proces-to-process, 3157ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 24280.000000 that M107 is in danger (after 7938ms proces-to-process, 6001ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L10 of team T5 discovered at 43493.000000 that M104 is in danger (after 20449ms proces-to-process, 17355ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L10 of team T5 discovered at 29600.000000 that M103 is in danger (after 9661ms proces-to-process, 7921ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 40604.000000 that M90 is in danger (after 14724ms proces-to-process, 11330ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L10 of team T5 discovered at 38562.000000 that M108 is in danger (after 19968ms proces-to-process, 17411ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L10 of team T5 discovered at 30622.000000 that M105 is in danger (after 10003ms proces-to-process, 7688ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 51108.000000 that M95 is in danger (after 25512ms proces-to-process, 23462ms node-to-node, 13hops, 2versions (12 first, 14 discovered)
leader L10 of team T5 never discovered that M94 is in danger from 26697.
leader L10 of team T5 discovered at 48331.000000 that M97 is in danger (after 28339ms proces-to-process, 25974ms node-to-node, 2hops, 10versions (9 first, 19 discovered)
