Config: 
--------------------------------------------
leader L16 of team T8 discovered at 39753.000000 that M152 is in danger (after 10765ms proces-to-process, 9338ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 25290.000000 that M158 is in danger (after 6864ms proces-to-process, 5136ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 never discovered that M148 is in danger from 24307.
leader L16 of team T8 discovered at 28579.000000 that M149 is in danger (after 5825ms proces-to-process, 5236ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 32573.000000 that M152 is in danger (after 3585ms proces-to-process, 2852ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 31674.000000 that M160 is in danger (after 15970ms proces-to-process, 14711ms node-to-node, 8hops, 2versions (5 first, 7 discovered)
leader L17 of team T8 discovered at 48816.000000 that M161 is in danger (after 29166ms proces-to-process, 28885ms node-to-node, 15hops, 5versions (6 first, 11 discovered)
leader L17 of team T8 discovered at 42386.000000 that M162 is in danger (after 20273ms proces-to-process, 17242ms node-to-node, 6hops, 4versions (8 first, 12 discovered)
leader L17 of team T8 discovered at 51428.000000 that M163 is in danger (after 22236ms proces-to-process, 20185ms node-to-node, 10hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 47748.000000 that M164 is in danger (after 30629ms proces-to-process, 28628ms node-to-node, 5hops, 8versions (6 first, 14 discovered)
leader L17 of team T8 never discovered that M166 is in danger from 17980.
leader L17 of team T8 discovered at 34667.000000 that M151 is in danger (after 8760ms proces-to-process, 6634ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 35104.000000 that M150 is in danger (after 13868ms proces-to-process, 13186ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 21916.000000 that M153 is in danger (after 1612ms proces-to-process, 27ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L17 of team T8 discovered at 40321.000000 that M145 is in danger (after 13032ms proces-to-process, 11770ms node-to-node, 9hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 36347.000000 that M155 is in danger (after 15421ms proces-to-process, 12644ms node-to-node, 12hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 never discovered that M154 is in danger from 22896.
leader L17 of team T8 discovered at 45406.000000 that M156 is in danger (after 21987ms proces-to-process, 21611ms node-to-node, 9hops, 2versions (9 first, 11 discovered)
leader L17 of team T8 discovered at 57566.000000 that M159 is in danger (after 40855ms proces-to-process, 35965ms node-to-node, 13hops, 4versions (7 first, 11 discovered)
leader L17 of team T8 discovered at 55079.000000 that M158 is in danger (after 36653ms proces-to-process, 35041ms node-to-node, 8hops, 5versions (7 first, 12 discovered)
leader L17 of team T8 never discovered that M148 is in danger from 24307.
leader L17 of team T8 discovered at 46693.000000 that M149 is in danger (after 23939ms proces-to-process, 23211ms node-to-node, 5hops, 4versions (8 first, 12 discovered)
leader L18 of team T9 discovered at 37340.000000 that M168 is in danger (after 9887ms proces-to-process, 6675ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 discovered at 32520.000000 that M169 is in danger (after 6771ms proces-to-process, 6314ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L18 of team T9 discovered at 56869.000000 that M179 is in danger (after 34389ms proces-to-process, 33748ms node-to-node, 15hops, 1versions (9 first, 10 discovered)
leader L18 of team T9 discovered at 29608.000000 that M178 is in danger (after 5591ms proces-to-process, 4837ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 31779.000000 that M173 is in danger (after 5739ms proces-to-process, 3162ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L18 of team T9 discovered at 44821.000000 that M172 is in danger (after 25864ms proces-to-process, 23086ms node-to-node, 8hops, 6versions (7 first, 13 discovered)
leader L18 of team T9 discovered at 34455.000000 that M171 is in danger (after 17727ms proces-to-process, 16348ms node-to-node, 9hops, 2versions (6 first, 8 discovered)
leader L18 of team T9 discovered at 41015.000000 that M170 is in danger (after 13203ms proces-to-process, 10424ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 23702.000000 that M177 is in danger (after 1826ms proces-to-process, 1243ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L18 of team T9 discovered at 40149.000000 that M165 is in danger (after 10239ms proces-to-process, 8738ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 discovered at 56030.000000 that M175 is in danger (after 28463ms proces-to-process, 25658ms node-to-node, 12hops, 2versions (10 first, 12 discovered)
leader L18 of team T9 discovered at 37855.000000 that M167 is in danger (after 12541ms proces-to-process, 8368ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 38566.000000 that M181 is in danger (after 12717ms proces-to-process, 10462ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 39608.000000 that M182 is in danger (after 11164ms proces-to-process, 9391ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 46604.000000 that M176 is in danger (after 16302ms proces-to-process, 12043ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 47365.000000 that M174 is in danger (after 18441ms proces-to-process, 16416ms node-to-node, 10hops, 2versions (11 first, 13 discovered)
leader L19 of team T9 discovered at 33738.000000 that M168 is in danger (after 6285ms proces-to-process, 3413ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 29840.000000 that M169 is in danger (after 4091ms proces-to-process, 3412ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 27265.000000 that M179 is in danger (after 4785ms proces-to-process, 4072ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L19 of team T9 discovered at 29840.000000 that M178 is in danger (after 5823ms proces-to-process, 4837ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L19 of team T9 discovered at 31457.000000 that M173 is in danger (after 5417ms proces-to-process, 3162ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 25880.000000 that M172 is in danger (after 6923ms proces-to-process, 4268ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L19 of team T9 discovered at 28851.000000 that M171 is in danger (after 12123ms proces-to-process, 11138ms node-to-node, 7hops, 1versions (6 first, 7 discovered)
leader L19 of team T9 discovered at 38470.000000 that M170 is in danger (after 10658ms proces-to-process, 7672ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L19 of team T9 discovered at 27840.000000 that M177 is in danger (after 5964ms proces-to-process, 5230ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L19 of team T9 discovered at 38470.000000 that M165 is in danger (after 8560ms proces-to-process, 7266ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L19 of team T9 discovered at 37613.000000 that M175 is in danger (after 10046ms proces-to-process, 7298ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L19 of team T9 discovered at 36257.000000 that M167 is in danger (after 10943ms proces-to-process, 6495ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 38470.000000 that M181 is in danger (after 12621ms proces-to-process, 10462ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L19 of team T9 discovered at 36257.000000 that M182 is in danger (after 7813ms proces-to-process, 6015ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L19 of team T9 discovered at 42198.000000 that M176 is in danger (after 11896ms proces-to-process, 7515ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L19 of team T9 discovered at 38931.000000 that M174 is in danger (after 10007ms proces-to-process, 8140ms node-to-node, 10hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 44520.000000 that M124 is in danger (after 18387ms proces-to-process, 15530ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L12 of team T6 discovered at 33648.000000 that M125 is in danger (after 9514ms proces-to-process, 9370ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 never discovered that M126 is in danger from 26527.
leader L12 of team T6 discovered at 37306.000000 that M119 is in danger (after 11672ms proces-to-process, 6477ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 50046.000000 that M118 is in danger (after 22946ms proces-to-process, 22349ms node-to-node, 9hops, 5versions (9 first, 14 discovered)
leader L12 of team T6 discovered at 37647.000000 that M122 is in danger (after 21501ms proces-to-process, 20166ms node-to-node, 12hops, 3versions (6 first, 9 discovered)
leader L12 of team T6 discovered at 45126.000000 that M123 is in danger (after 21625ms proces-to-process, 19309ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L12 of team T6 discovered at 46067.000000 that M115 is in danger (after 16313ms proces-to-process, 16205ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L12 of team T6 never discovered that M114 is in danger from 16914.
leader L12 of team T6 discovered at 46067.000000 that M117 is in danger (after 21217ms proces-to-process, 18722ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L12 of team T6 discovered at 36271.000000 that M116 is in danger (after 18755ms proces-to-process, 16265ms node-to-node, 6hops, 3versions (6 first, 9 discovered)
leader L12 of team T6 discovered at 44520.000000 that M129 is in danger (after 25215ms proces-to-process, 23970ms node-to-node, 5hops, 6versions (6 first, 12 discovered)
leader L12 of team T6 discovered at 57586.000000 that M113 is in danger (after 28427ms proces-to-process, 24103ms node-to-node, 5hops, 5versions (12 first, 17 discovered)
leader L12 of team T6 discovered at 39403.000000 that M112 is in danger (after 17202ms proces-to-process, 14146ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 32011.000000 that M120 is in danger (after 7957ms proces-to-process, 6672ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 never discovered that M121 is in danger from 28645.
leader L13 of team T6 discovered at 45570.000000 that M124 is in danger (after 19437ms proces-to-process, 17298ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L13 of team T6 discovered at 32897.000000 that M125 is in danger (after 8763ms proces-to-process, 8309ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 never discovered that M126 is in danger from 26527.
leader L13 of team T6 never discovered that M119 is in danger from 25634.
leader L13 of team T6 discovered at 55302.000000 that M118 is in danger (after 28202ms proces-to-process, 27792ms node-to-node, 9hops, 7versions (9 first, 16 discovered)
leader L13 of team T6 discovered at 47953.000000 that M122 is in danger (after 31807ms proces-to-process, 29877ms node-to-node, 8hops, 8versions (6 first, 14 discovered)
leader L13 of team T6 discovered at 57446.000000 that M123 is in danger (after 33945ms proces-to-process, 31298ms node-to-node, 6hops, 9versions (9 first, 18 discovered)
leader L13 of team T6 discovered at 46239.000000 that M115 is in danger (after 16485ms proces-to-process, 16264ms node-to-node, 11hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 56513.000000 that M114 is in danger (after 39599ms proces-to-process, 35026ms node-to-node, 10hops, 7versions (7 first, 14 discovered)
leader L13 of team T6 discovered at 27915.000000 that M117 is in danger (after 3065ms proces-to-process, 580ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 31090.000000 that M116 is in danger (after 13574ms proces-to-process, 11071ms node-to-node, 8hops, 1versions (6 first, 7 discovered)
leader L13 of team T6 discovered at 30172.000000 that M129 is in danger (after 10867ms proces-to-process, 10568ms node-to-node, 5hops, 2versions (6 first, 8 discovered)
leader L13 of team T6 discovered at 45570.000000 that M113 is in danger (after 16411ms proces-to-process, 11768ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L13 of team T6 discovered at 27663.000000 that M112 is in danger (after 5462ms proces-to-process, 2909ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 53064.000000 that M120 is in danger (after 29010ms proces-to-process, 27748ms node-to-node, 3hops, 9versions (9 first, 18 discovered)
leader L13 of team T6 discovered at 32897.000000 that M121 is in danger (after 4252ms proces-to-process, 253ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 38352.000000 that M137 is in danger (after 10032ms proces-to-process, 7712ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 29589.000000 that M136 is in danger (after 8908ms proces-to-process, 8162ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 31888.000000 that M135 is in danger (after 13493ms proces-to-process, 8518ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L14 of team T7 discovered at 29589.000000 that M127 is in danger (after 11088ms proces-to-process, 10310ms node-to-node, 8hops, 0versions (6 first, 6 discovered)
leader L14 of team T7 discovered at 18897.000000 that M133 is in danger (after 1876ms proces-to-process, 674ms node-to-node, 1hops, 0versions (6 first, 6 discovered)
leader L14 of team T7 discovered at 46638.000000 that M132 is in danger (after 21202ms proces-to-process, 16341ms node-to-node, 1hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 38352.000000 that M131 is in danger (after 15862ms proces-to-process, 13346ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 35173.000000 that M130 is in danger (after 16557ms proces-to-process, 14388ms node-to-node, 5hops, 2versions (6 first, 8 discovered)
leader L14 of team T7 never discovered that M128 is in danger from 21605.
leader L14 of team T7 discovered at 38352.000000 that M139 is in danger (after 10058ms proces-to-process, 7041ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L14 of team T7 discovered at 39530.000000 that M138 is in danger (after 8713ms proces-to-process, 7156ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 50103.000000 that M146 is in danger (after 20345ms proces-to-process, 19666ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L14 of team T7 discovered at 45210.000000 that M147 is in danger (after 23395ms proces-to-process, 21804ms node-to-node, 2hops, 4versions (8 first, 12 discovered)
leader L14 of team T7 discovered at 39081.000000 that M144 is in danger (after 10202ms proces-to-process, 9676ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 41169.000000 that M134 is in danger (after 21063ms proces-to-process, 19319ms node-to-node, 3hops, 5versions (7 first, 12 discovered)
leader L14 of team T7 discovered at 29589.000000 that M142 is in danger (after 10395ms proces-to-process, 10253ms node-to-node, 1hops, 2versions (6 first, 8 discovered)
leader L14 of team T7 never discovered that M143 is in danger from 26778.
leader L14 of team T7 never discovered that M140 is in danger from 27205.
leader L14 of team T7 discovered at 36657.000000 that M141 is in danger (after 20390ms proces-to-process, 20239ms node-to-node, 6hops, 3versions (5 first, 8 discovered)
leader L15 of team T7 discovered at 41846.000000 that M137 is in danger (after 13526ms proces-to-process, 10949ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 25787.000000 that M136 is in danger (after 5106ms proces-to-process, 4422ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 25280.000000 that M135 is in danger (after 6885ms proces-to-process, 1807ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 21648.000000 that M127 is in danger (after 3147ms proces-to-process, 2597ms node-to-node, 5hops, 0versions (6 first, 6 discovered)
leader L15 of team T7 discovered at 24053.000000 that M133 is in danger (after 7032ms proces-to-process, 6292ms node-to-node, 8hops, 0versions (6 first, 6 discovered)
leader L15 of team T7 discovered at 32915.000000 that M132 is in danger (after 7479ms proces-to-process, 2823ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 28808.000000 that M131 is in danger (after 6318ms proces-to-process, 3373ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 26566.000000 that M130 is in danger (after 7950ms proces-to-process, 5982ms node-to-node, 4hops, 1versions (6 first, 7 discovered)
leader L15 of team T7 discovered at 36332.000000 that M128 is in danger (after 14727ms proces-to-process, 12043ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 38151.000000 that M139 is in danger (after 9857ms proces-to-process, 7041ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L15 of team T7 discovered at 39554.000000 that M138 is in danger (after 8737ms proces-to-process, 7156ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 43659.000000 that M146 is in danger (after 13901ms proces-to-process, 13460ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L15 of team T7 discovered at 33598.000000 that M147 is in danger (after 11783ms proces-to-process, 9946ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 discovered at 29630.000000 that M144 is in danger (after 751ms proces-to-process, 202ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 36332.000000 that M134 is in danger (after 16226ms proces-to-process, 14417ms node-to-node, 2hops, 3versions (7 first, 10 discovered)
leader L15 of team T7 discovered at 39554.000000 that M142 is in danger (after 20360ms proces-to-process, 20044ms node-to-node, 7hops, 6versions (6 first, 12 discovered)
leader L15 of team T7 discovered at 33598.000000 that M143 is in danger (after 6820ms proces-to-process, 5503ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 38151.000000 that M140 is in danger (after 10946ms proces-to-process, 8851ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 26566.000000 that M141 is in danger (after 10299ms proces-to-process, 9913ms node-to-node, 2hops, 3versions (5 first, 8 discovered)
leader L8 of team T4 discovered at 36754.000000 that M73 is in danger (after 15181ms proces-to-process, 12302ms node-to-node, 11hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 25789.000000 that M85 is in danger (after 9571ms proces-to-process, 8226ms node-to-node, 3hops, 1versions (6 first, 7 discovered)
leader L8 of team T4 discovered at 29505.000000 that M77 is in danger (after 12913ms proces-to-process, 10577ms node-to-node, 5hops, 2versions (6 first, 8 discovered)
leader L8 of team T4 discovered at 35385.000000 that M76 is in danger (after 10471ms proces-to-process, 9655ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 37826.000000 that M88 is in danger (after 8496ms proces-to-process, 4819ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L8 of team T4 discovered at 35993.000000 that M74 is in danger (after 12325ms proces-to-process, 11460ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 30240.000000 that M86 is in danger (after 10913ms proces-to-process, 9738ms node-to-node, 9hops, 2versions (7 first, 9 discovered)
leader L8 of team T4 discovered at 50839.000000 that M87 is in danger (after 25020ms proces-to-process, 22458ms node-to-node, 12hops, 6versions (10 first, 16 discovered)
leader L8 of team T4 discovered at 27230.000000 that M79 is in danger (after 9423ms proces-to-process, 9095ms node-to-node, 8hops, 0versions (6 first, 6 discovered)
leader L8 of team T4 discovered at 30945.000000 that M78 is in danger (after 11636ms proces-to-process, 8456ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L8 of team T4 discovered at 36754.000000 that M82 is in danger (after 13267ms proces-to-process, 10678ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 49059.000000 that M83 is in danger (after 18288ms proces-to-process, 16672ms node-to-node, 8hops, 3versions (11 first, 14 discovered)
leader L8 of team T4 discovered at 24167.000000 that M80 is in danger (after 7648ms proces-to-process, 5810ms node-to-node, 3hops, 1versions (6 first, 7 discovered)
leader L8 of team T4 discovered at 35240.000000 that M81 is in danger (after 14297ms proces-to-process, 11368ms node-to-node, 7hops, 4versions (8 first, 12 discovered)
leader L8 of team T4 discovered at 29362.000000 that M93 is in danger (after 4775ms proces-to-process, 1939ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L8 of team T4 discovered at 33825.000000 that M89 is in danger (after 6940ms proces-to-process, 5451ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 30945.000000 that M90 is in danger (after 5209ms proces-to-process, 3624ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 20435.000000 that M92 is in danger (after 2813ms proces-to-process, 2609ms node-to-node, 4hops, 0versions (5 first, 5 discovered)
leader L8 of team T4 discovered at 25351.000000 that M84 is in danger (after 6904ms proces-to-process, 5630ms node-to-node, 8hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 40412.000000 that M73 is in danger (after 18839ms proces-to-process, 16487ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L9 of team T4 discovered at 28899.000000 that M85 is in danger (after 12681ms proces-to-process, 11452ms node-to-node, 12hops, 1versions (6 first, 7 discovered)
leader L9 of team T4 discovered at 31852.000000 that M77 is in danger (after 15260ms proces-to-process, 12984ms node-to-node, 8hops, 2versions (6 first, 8 discovered)
leader L9 of team T4 discovered at 32989.000000 that M76 is in danger (after 8075ms proces-to-process, 7247ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 37855.000000 that M88 is in danger (after 8525ms proces-to-process, 4823ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 discovered at 27771.000000 that M74 is in danger (after 4103ms proces-to-process, 3411ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 25229.000000 that M86 is in danger (after 5902ms proces-to-process, 5073ms node-to-node, 8hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 38602.000000 that M87 is in danger (after 12783ms proces-to-process, 10166ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L9 of team T4 discovered at 33669.000000 that M79 is in danger (after 15862ms proces-to-process, 15614ms node-to-node, 3hops, 4versions (6 first, 10 discovered)
leader L9 of team T4 discovered at 32922.000000 that M78 is in danger (after 13613ms proces-to-process, 10864ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L9 of team T4 discovered at 38602.000000 that M82 is in danger (after 15115ms proces-to-process, 12284ms node-to-node, 9hops, 3versions (9 first, 12 discovered)
leader L9 of team T4 discovered at 46350.000000 that M83 is in danger (after 15579ms proces-to-process, 14267ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L9 of team T4 discovered at 28464.000000 that M80 is in danger (after 11945ms proces-to-process, 10625ms node-to-node, 9hops, 1versions (6 first, 7 discovered)
leader L9 of team T4 discovered at 36640.000000 that M81 is in danger (after 15697ms proces-to-process, 12974ms node-to-node, 9hops, 4versions (8 first, 12 discovered)
leader L9 of team T4 discovered at 32922.000000 that M93 is in danger (after 8335ms proces-to-process, 5950ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L9 of team T4 discovered at 32922.000000 that M89 is in danger (after 6037ms proces-to-process, 5016ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 36640.000000 that M90 is in danger (after 10904ms proces-to-process, 9241ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 20290.000000 that M92 is in danger (after 2668ms proces-to-process, 2611ms node-to-node, 4hops, 0versions (5 first, 5 discovered)
leader L9 of team T4 discovered at 24077.000000 that M84 is in danger (after 5630ms proces-to-process, 4828ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L10 of team T5 discovered at 46306.000000 that M99 is in danger (after 25833ms proces-to-process, 23029ms node-to-node, 9hops, 2versions (8 first, 10 discovered)
leader L10 of team T5 discovered at 46985.000000 that M98 is in danger (after 24317ms proces-to-process, 23793ms node-to-node, 13hops, 2versions (8 first, 10 discovered)
leader L10 of team T5 discovered at 23103.000000 that M100 is in danger (after 1227ms proces-to-process, 11ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L10 of team T5 discovered at 36696.000000 that M101 is in danger (after 11192ms proces-to-process, 6105ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 45044.000000 that M106 is in danger (after 21283ms proces-to-process, 19421ms node-to-node, 10hops, 2versions (9 first, 11 discovered)
leader L10 of team T5 discovered at 49721.000000 that M107 is in danger (after 34052ms proces-to-process, 31206ms node-to-node, 7hops, 7versions (6 first, 13 discovered)
leader L10 of team T5 discovered at 38984.000000 that M104 is in danger (after 16257ms proces-to-process, 15140ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L10 of team T5 discovered at 45044.000000 that M103 is in danger (after 24796ms proces-to-process, 23867ms node-to-node, 14hops, 1versions (7 first, 8 discovered)
leader L10 of team T5 never discovered that M91 is in danger from 29701.
leader L10 of team T5 never discovered that M111 is in danger from 19352.
leader L10 of team T5 discovered at 35143.000000 that M108 is in danger (after 16763ms proces-to-process, 14883ms node-to-node, 9hops, 0versions (7 first, 7 discovered)
leader L10 of team T5 discovered at 29603.000000 that M105 is in danger (after 8876ms proces-to-process, 6021ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L10 of team T5 discovered at 55984.000000 that M95 is in danger (after 30642ms proces-to-process, 28234ms node-to-node, 13hops, 3versions (10 first, 13 discovered)
leader L10 of team T5 never discovered that M94 is in danger from 26677.
leader L10 of team T5 discovered at 35778.000000 that M97 is in danger (after 15286ms proces-to-process, 14027ms node-to-node, 2hops, 2versions (7 first, 9 discovered)
leader L10 of team T5 discovered at 57679.000000 that M96 is in danger (after 29588ms proces-to-process, 26288ms node-to-node, 1hops, 8versions (12 first, 20 discovered)
leader L10 of team T5 never discovered that M110 is in danger from 30555.
