Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 229ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 34900.000000 that M159 is in danger (after 18171ms proces-to-process, 15601ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 47046.000000 that M158 is in danger (after 28426ms proces-to-process, 27274ms node-to-node, 7hops, 8versions (9 first, 17 discovered)
leader L16 of team T8 discovered at 53769.000000 that M148 is in danger (after 29427ms proces-to-process, 29127ms node-to-node, 9hops, 7versions (11 first, 18 discovered)
leader L16 of team T8 discovered at 46306.000000 that M149 is in danger (after 23275ms proces-to-process, 22921ms node-to-node, 7hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 46037.000000 that M152 is in danger (after 17549ms proces-to-process, 16972ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 33234.000000 that M150 is in danger (after 12045ms proces-to-process, 11741ms node-to-node, 9hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 31667.000000 that M160 is in danger (after 16019ms proces-to-process, 13062ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L17 of team T8 discovered at 47472.000000 that M161 is in danger (after 27752ms proces-to-process, 25861ms node-to-node, 7hops, 6versions (10 first, 16 discovered)
leader L17 of team T8 discovered at 46037.000000 that M162 is in danger (after 23994ms proces-to-process, 23251ms node-to-node, 11hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 32568.000000 that M163 is in danger (after 2962ms proces-to-process, 2154ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L17 of team T8 discovered at 29618.000000 that M164 is in danger (after 12679ms proces-to-process, 11471ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 26606.000000 that M153 is in danger (after 6201ms proces-to-process, 6040ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 36738.000000 that M151 is in danger (after 10865ms proces-to-process, 10321ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 57134.000000 that M147 is in danger (after 35139ms proces-to-process, 31991ms node-to-node, 8hops, 8versions (11 first, 19 discovered)
leader L17 of team T8 discovered at 46037.000000 that M144 is in danger (after 17463ms proces-to-process, 15018ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L17 of team T8 discovered at 46037.000000 that M145 is in danger (after 18914ms proces-to-process, 16717ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 44125.000000 that M155 is in danger (after 22890ms proces-to-process, 22309ms node-to-node, 4hops, 5versions (10 first, 15 discovered)
leader L17 of team T8 discovered at 43326.000000 that M154 is in danger (after 20437ms proces-to-process, 18659ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 50928.000000 that M156 is in danger (after 27321ms proces-to-process, 26338ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L17 of team T8 discovered at 30518.000000 that M159 is in danger (after 13789ms proces-to-process, 11074ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L17 of team T8 discovered at 28137.000000 that M158 is in danger (after 9517ms proces-to-process, 8307ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L17 of team T8 discovered at 43224.000000 that M148 is in danger (after 18882ms proces-to-process, 18687ms node-to-node, 10hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 49241.000000 that M149 is in danger (after 26210ms proces-to-process, 25290ms node-to-node, 9hops, 3versions (11 first, 14 discovered)
leader L18 of team T9 discovered at 55794.000000 that M168 is in danger (after 28032ms proces-to-process, 26933ms node-to-node, 10hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 never discovered that M169 is in danger from 25686.
leader L18 of team T9 discovered at 59393.000000 that M179 is in danger (after 36441ms proces-to-process, 34693ms node-to-node, 5hops, 8versions (11 first, 19 discovered)
leader L18 of team T9 discovered at 44522.000000 that M178 is in danger (after 20485ms proces-to-process, 19776ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 never discovered that M173 is in danger from 26371.
leader L18 of team T9 discovered at 19972.000000 that M172 is in danger (after 987ms proces-to-process, 33ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 never discovered that M171 is in danger from 16659.
leader L18 of team T9 never discovered that M170 is in danger from 27526.
leader L18 of team T9 never discovered that M177 is in danger from 21803.
leader L18 of team T9 discovered at 45454.000000 that M165 is in danger (after 15032ms proces-to-process, 12338ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 never discovered that M166 is in danger from 17966.
leader L18 of team T9 discovered at 45454.000000 that M167 is in danger (after 20264ms proces-to-process, 18144ms node-to-node, 8hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 never discovered that M175 is in danger from 27067.
leader L18 of team T9 never discovered that M183 is in danger from 20398.
leader L18 of team T9 discovered at 45958.000000 that M176 is in danger (after 16125ms proces-to-process, 14924ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L18 of team T9 never discovered that M174 is in danger from 28746.
leader L18 of team T9 discovered at 43805.000000 that M184 is in danger (after 20748ms proces-to-process, 17204ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 45408.000000 that M168 is in danger (after 17646ms proces-to-process, 16799ms node-to-node, 9hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 44228.000000 that M169 is in danger (after 18542ms proces-to-process, 18280ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 46427.000000 that M179 is in danger (after 23475ms proces-to-process, 21739ms node-to-node, 8hops, 5versions (11 first, 16 discovered)
leader L19 of team T9 discovered at 36613.000000 that M178 is in danger (after 12576ms proces-to-process, 11828ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L19 of team T9 discovered at 54236.000000 that M173 is in danger (after 27865ms proces-to-process, 26022ms node-to-node, 5hops, 6versions (12 first, 18 discovered)
leader L19 of team T9 discovered at 45382.000000 that M172 is in danger (after 26397ms proces-to-process, 25589ms node-to-node, 3hops, 11versions (8 first, 19 discovered)
leader L19 of team T9 discovered at 45382.000000 that M171 is in danger (after 28723ms proces-to-process, 27774ms node-to-node, 4hops, 7versions (8 first, 15 discovered)
leader L19 of team T9 discovered at 43840.000000 that M170 is in danger (after 16314ms proces-to-process, 13843ms node-to-node, 4hops, 4versions (13 first, 17 discovered)
leader L19 of team T9 discovered at 30252.000000 that M177 is in danger (after 8449ms proces-to-process, 7244ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L19 of team T9 discovered at 44867.000000 that M165 is in danger (after 14445ms proces-to-process, 12338ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 54236.000000 that M166 is in danger (after 36270ms proces-to-process, 33893ms node-to-node, 10hops, 9versions (8 first, 17 discovered)
leader L19 of team T9 discovered at 40698.000000 that M167 is in danger (after 15508ms proces-to-process, 13625ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L19 of team T9 discovered at 51212.000000 that M175 is in danger (after 24145ms proces-to-process, 20439ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L19 of team T9 discovered at 26265.000000 that M183 is in danger (after 5867ms proces-to-process, 5199ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L19 of team T9 discovered at 38310.000000 that M176 is in danger (after 8477ms proces-to-process, 7374ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 47904.000000 that M174 is in danger (after 19158ms proces-to-process, 17642ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L19 of team T9 discovered at 38310.000000 that M184 is in danger (after 15253ms proces-to-process, 11869ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L12 of team T6 discovered at 38417.000000 that M124 is in danger (after 12413ms proces-to-process, 11013ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 46735.000000 that M125 is in danger (after 23101ms proces-to-process, 21214ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 discovered at 28381.000000 that M116 is in danger (after 10453ms proces-to-process, 9233ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 40993.000000 that M119 is in danger (after 14947ms proces-to-process, 11515ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 38417.000000 that M118 is in danger (after 11127ms proces-to-process, 7812ms node-to-node, 1hops, 3versions (14 first, 17 discovered)
leader L12 of team T6 discovered at 30757.000000 that M122 is in danger (after 14710ms proces-to-process, 13202ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 40445.000000 that M123 is in danger (after 17191ms proces-to-process, 15006ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L12 of team T6 discovered at 53019.000000 that M115 is in danger (after 22987ms proces-to-process, 22204ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 18632.000000 that M114 is in danger (after 1288ms proces-to-process, 125ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 34961.000000 that M117 is in danger (after 10412ms proces-to-process, 6992ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 21133.000000 that M109 is in danger (after 4794ms proces-to-process, 3069ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 37209.000000 that M111 is in danger (after 17645ms proces-to-process, 14952ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L12 of team T6 discovered at 31925.000000 that M110 is in danger (after 1349ms proces-to-process, 737ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 38417.000000 that M113 is in danger (after 9262ms proces-to-process, 7411ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 40445.000000 that M129 is in danger (after 20979ms proces-to-process, 19753ms node-to-node, 3hops, 8versions (8 first, 16 discovered)
leader L12 of team T6 discovered at 43107.000000 that M120 is in danger (after 18996ms proces-to-process, 15443ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 43648.000000 that M121 is in danger (after 15003ms proces-to-process, 14555ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 38322.000000 that M124 is in danger (after 12318ms proces-to-process, 10976ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 48366.000000 that M125 is in danger (after 24732ms proces-to-process, 22860ms node-to-node, 7hops, 5versions (11 first, 16 discovered)
leader L13 of team T6 discovered at 30061.000000 that M116 is in danger (after 12133ms proces-to-process, 10702ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 37691.000000 that M119 is in danger (after 11645ms proces-to-process, 8217ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 44819.000000 that M118 is in danger (after 17529ms proces-to-process, 14912ms node-to-node, 8hops, 3versions (14 first, 17 discovered)
leader L13 of team T6 discovered at 41557.000000 that M122 is in danger (after 25510ms proces-to-process, 23718ms node-to-node, 12hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 58943.000000 that M123 is in danger (after 35689ms proces-to-process, 33704ms node-to-node, 8hops, 5versions (11 first, 16 discovered)
leader L13 of team T6 discovered at 34515.000000 that M115 is in danger (after 4483ms proces-to-process, 3959ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 31893.000000 that M114 is in danger (after 14549ms proces-to-process, 13199ms node-to-node, 12hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 39508.000000 that M117 is in danger (after 14959ms proces-to-process, 11504ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 29273.000000 that M109 is in danger (after 12934ms proces-to-process, 11575ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 34515.000000 that M111 is in danger (after 14951ms proces-to-process, 11974ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 55013.000000 that M110 is in danger (after 24437ms proces-to-process, 24051ms node-to-node, 7hops, 6versions (14 first, 20 discovered)
leader L13 of team T6 discovered at 50367.000000 that M113 is in danger (after 21212ms proces-to-process, 19419ms node-to-node, 5hops, 4versions (14 first, 18 discovered)
leader L13 of team T6 discovered at 33043.000000 that M129 is in danger (after 13577ms proces-to-process, 12638ms node-to-node, 7hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 discovered at 34962.000000 that M120 is in danger (after 10851ms proces-to-process, 8104ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 32376.000000 that M121 is in danger (after 3731ms proces-to-process, 3093ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 never discovered that M137 is in danger from 27879.
leader L14 of team T7 discovered at 31550.000000 that M136 is in danger (after 10506ms proces-to-process, 9338ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 34145.000000 that M126 is in danger (after 7736ms proces-to-process, 5975ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 31800.000000 that M127 is in danger (after 12632ms proces-to-process, 11523ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 25076.000000 that M133 is in danger (after 7563ms proces-to-process, 5539ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 41960.000000 that M132 is in danger (after 16716ms proces-to-process, 14577ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 31550.000000 that M131 is in danger (after 9315ms proces-to-process, 7231ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 23042.000000 that M130 is in danger (after 4685ms proces-to-process, 3915ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 35352.000000 that M128 is in danger (after 14322ms proces-to-process, 13442ms node-to-node, 3hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 32262.000000 that M135 is in danger (after 14367ms proces-to-process, 12531ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L14 of team T7 discovered at 35352.000000 that M139 is in danger (after 6846ms proces-to-process, 6492ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 43239.000000 that M138 is in danger (after 12922ms proces-to-process, 12663ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 43239.000000 that M146 is in danger (after 13436ms proces-to-process, 11225ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 never discovered that M134 is in danger from 20420.
leader L14 of team T7 discovered at 38286.000000 that M142 is in danger (after 18678ms proces-to-process, 17076ms node-to-node, 9hops, 4versions (9 first, 13 discovered)
leader L14 of team T7 discovered at 40669.000000 that M143 is in danger (after 14391ms proces-to-process, 12450ms node-to-node, 7hops, 2versions (12 first, 14 discovered)
leader L14 of team T7 discovered at 31550.000000 that M140 is in danger (after 4111ms proces-to-process, 3779ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 44643.000000 that M141 is in danger (after 28123ms proces-to-process, 27168ms node-to-node, 5hops, 11versions (7 first, 18 discovered)
leader L15 of team T7 discovered at 35175.000000 that M137 is in danger (after 7296ms proces-to-process, 6015ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 28855.000000 that M136 is in danger (after 7811ms proces-to-process, 6942ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 45080.000000 that M126 is in danger (after 18671ms proces-to-process, 16562ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L15 of team T7 discovered at 31915.000000 that M127 is in danger (after 12747ms proces-to-process, 11773ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 19369.000000 that M133 is in danger (after 1856ms proces-to-process, 302ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 44161.000000 that M132 is in danger (after 18917ms proces-to-process, 16866ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 35576.000000 that M131 is in danger (after 13341ms proces-to-process, 11839ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 28308.000000 that M130 is in danger (after 9951ms proces-to-process, 9343ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 discovered at 26164.000000 that M128 is in danger (after 5134ms proces-to-process, 4177ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 36678.000000 that M135 is in danger (after 18783ms proces-to-process, 17069ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L15 of team T7 discovered at 40846.000000 that M139 is in danger (after 12340ms proces-to-process, 11744ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 36678.000000 that M138 is in danger (after 6361ms proces-to-process, 5534ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 52173.000000 that M146 is in danger (after 22370ms proces-to-process, 20468ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 never discovered that M134 is in danger from 20420.
leader L15 of team T7 discovered at 29465.000000 that M142 is in danger (after 9857ms proces-to-process, 7913ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L15 of team T7 discovered at 35576.000000 that M143 is in danger (after 9298ms proces-to-process, 7333ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L15 of team T7 discovered at 48175.000000 that M140 is in danger (after 20736ms proces-to-process, 20397ms node-to-node, 7hops, 6versions (13 first, 19 discovered)
leader L15 of team T7 discovered at 45080.000000 that M141 is in danger (after 28560ms proces-to-process, 27052ms node-to-node, 3hops, 11versions (7 first, 18 discovered)
leader L8 of team T4 discovered at 50290.000000 that M85 is in danger (after 34072ms proces-to-process, 31457ms node-to-node, 4hops, 9versions (8 first, 17 discovered)
leader L8 of team T4 discovered at 20954.000000 that M77 is in danger (after 4139ms proces-to-process, 1170ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L8 of team T4 discovered at 48244.000000 that M76 is in danger (after 22964ms proces-to-process, 18525ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L8 of team T4 discovered at 46341.000000 that M75 is in danger (after 24373ms proces-to-process, 22550ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L8 of team T4 discovered at 40772.000000 that M89 is in danger (after 13946ms proces-to-process, 13146ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 22313.000000 that M86 is in danger (after 3332ms proces-to-process, 393ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 31376.000000 that M87 is in danger (after 5111ms proces-to-process, 3315ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 31376.000000 that M79 is in danger (after 12947ms proces-to-process, 11690ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 33231.000000 that M78 is in danger (after 13922ms proces-to-process, 11942ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L8 of team T4 discovered at 34993.000000 that M82 is in danger (after 11734ms proces-to-process, 11282ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L8 of team T4 discovered at 50290.000000 that M83 is in danger (after 19695ms proces-to-process, 16601ms node-to-node, 11hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 42654.000000 that M80 is in danger (after 25641ms proces-to-process, 24997ms node-to-node, 9hops, 7versions (7 first, 14 discovered)
leader L8 of team T4 discovered at 36531.000000 that M81 is in danger (after 15584ms proces-to-process, 14479ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 never discovered that M91 is in danger from 29809.
leader L8 of team T4 discovered at 46002.000000 that M88 is in danger (after 17172ms proces-to-process, 16541ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 38155.000000 that M92 is in danger (after 20806ms proces-to-process, 18057ms node-to-node, 9hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 39270.000000 that M84 is in danger (after 20336ms proces-to-process, 17150ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 never discovered that M90 is in danger from 25880.
leader L9 of team T4 discovered at 31847.000000 that M85 is in danger (after 15629ms proces-to-process, 13375ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 discovered at 52929.000000 that M77 is in danger (after 36114ms proces-to-process, 33670ms node-to-node, 9hops, 4versions (8 first, 12 discovered)
leader L9 of team T4 discovered at 48090.000000 that M76 is in danger (after 22810ms proces-to-process, 18601ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L9 of team T4 discovered at 33887.000000 that M75 is in danger (after 11919ms proces-to-process, 9916ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L9 of team T4 discovered at 43808.000000 that M89 is in danger (after 16982ms proces-to-process, 16011ms node-to-node, 11hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 40184.000000 that M86 is in danger (after 21203ms proces-to-process, 17774ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 48964.000000 that M87 is in danger (after 22699ms proces-to-process, 21749ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 33164.000000 that M79 is in danger (after 14735ms proces-to-process, 13431ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 46810.000000 that M78 is in danger (after 27501ms proces-to-process, 25687ms node-to-node, 8hops, 6versions (9 first, 15 discovered)
leader L9 of team T4 discovered at 45350.000000 that M82 is in danger (after 22091ms proces-to-process, 21064ms node-to-node, 6hops, 6versions (11 first, 17 discovered)
leader L9 of team T4 discovered at 33887.000000 that M83 is in danger (after 3292ms proces-to-process, 763ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L9 of team T4 discovered at 28530.000000 that M80 is in danger (after 11517ms proces-to-process, 10981ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L9 of team T4 discovered at 33164.000000 that M81 is in danger (after 12217ms proces-to-process, 10809ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 45350.000000 that M91 is in danger (after 15541ms proces-to-process, 13092ms node-to-node, 2hops, 4versions (15 first, 19 discovered)
leader L9 of team T4 discovered at 31352.000000 that M88 is in danger (after 2522ms proces-to-process, 2197ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 34720.000000 that M92 is in danger (after 17371ms proces-to-process, 14741ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 27271.000000 that M84 is in danger (after 8337ms proces-to-process, 5606ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 never discovered that M90 is in danger from 25880.
leader L10 of team T5 discovered at 39609.000000 that M99 is in danger (after 19084ms proces-to-process, 16774ms node-to-node, 6hops, 6versions (10 first, 16 discovered)
leader L10 of team T5 discovered at 31701.000000 that M98 is in danger (after 8848ms proces-to-process, 8380ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 37093.000000 that M100 is in danger (after 15569ms proces-to-process, 13738ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L10 of team T5 discovered at 40604.000000 that M101 is in danger (after 15100ms proces-to-process, 13796ms node-to-node, 11hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 32876.000000 that M106 is in danger (after 8977ms proces-to-process, 8006ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 26846.000000 that M107 is in danger (after 10504ms proces-to-process, 8387ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L10 of team T5 never discovered that M104 is in danger from 23044.
leader L10 of team T5 discovered at 27995.000000 that M103 is in danger (after 8056ms proces-to-process, 6162ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 27587.000000 that M108 is in danger (after 8993ms proces-to-process, 6051ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L10 of team T5 discovered at 31701.000000 that M93 is in danger (after 6959ms proces-to-process, 5742ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 32210.000000 that M105 is in danger (after 11591ms proces-to-process, 9403ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L10 of team T5 discovered at 39188.000000 that M95 is in danger (after 13592ms proces-to-process, 11266ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L10 of team T5 discovered at 40604.000000 that M94 is in danger (after 13907ms proces-to-process, 13171ms node-to-node, 8hops, 4versions (12 first, 16 discovered)
leader L10 of team T5 discovered at 49993.000000 that M97 is in danger (after 30001ms proces-to-process, 27755ms node-to-node, 8hops, 9versions (9 first, 18 discovered)
leader L10 of team T5 discovered at 38562.000000 that M96 is in danger (after 10588ms proces-to-process, 10515ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
