Config: 
--------------------------------------------
leader L16 of team T8 discovered at 57247.000000 that M150 is in danger (after 36058ms proces-to-process, 35774ms node-to-node, 2hops, 11versions (10 first, 21 discovered)
leader L19 of team T9 discovered at 35257.000000 that M175 is in danger (after 8190ms proces-to-process, 4007ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 never discovered that M167 is in danger from 25190.
leader L19 of team T9 discovered at 38310.000000 that M181 is in danger (after 12973ms proces-to-process, 10885ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L19 of team T9 discovered at 30252.000000 that M182 is in danger (after 2278ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 25681.000000 that M177 is in danger (after 3878ms proces-to-process, 2305ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 31440.000000 that M174 is in danger (after 2694ms proces-to-process, 1847ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 40993.000000 that M124 is in danger (after 14989ms proces-to-process, 13487ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 36306.000000 that M125 is in danger (after 12672ms proces-to-process, 10484ms node-to-node, 10hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 31925.000000 that M126 is in danger (after 5516ms proces-to-process, 3488ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 23014.000000 that M116 is in danger (after 5086ms proces-to-process, 3808ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 34077.000000 that M119 is in danger (after 8031ms proces-to-process, 4774ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 37209.000000 that M118 is in danger (after 9919ms proces-to-process, 7337ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 24491.000000 that M122 is in danger (after 8444ms proces-to-process, 6885ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 36987.000000 that M123 is in danger (after 13733ms proces-to-process, 11317ms node-to-node, 11hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 37524.000000 that M115 is in danger (after 7492ms proces-to-process, 7256ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 40445.000000 that M114 is in danger (after 23101ms proces-to-process, 21442ms node-to-node, 8hops, 6versions (8 first, 14 discovered)
leader L12 of team T6 discovered at 27028.000000 that M108 is in danger (after 8434ms proces-to-process, 6065ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 19828.000000 that M109 is in danger (after 3489ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 27496.000000 that M128 is in danger (after 6466ms proces-to-process, 5326ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L12 of team T6 discovered at 37209.000000 that M113 is in danger (after 8054ms proces-to-process, 6276ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 34077.000000 that M112 is in danger (after 11734ms proces-to-process, 9198ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 35666.000000 that M120 is in danger (after 11555ms proces-to-process, 8649ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 31925.000000 that M117 is in danger (after 7376ms proces-to-process, 3819ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 37524.000000 that M121 is in danger (after 8879ms proces-to-process, 8622ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 58505.000000 that M124 is in danger (after 32501ms proces-to-process, 30323ms node-to-node, 8hops, 6versions (13 first, 19 discovered)
leader L13 of team T6 discovered at 45239.000000 that M125 is in danger (after 21605ms proces-to-process, 19676ms node-to-node, 13hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 40463.000000 that M126 is in danger (after 14054ms proces-to-process, 12188ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 27770.000000 that M116 is in danger (after 9842ms proces-to-process, 8372ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 42776.000000 that M119 is in danger (after 16730ms proces-to-process, 12965ms node-to-node, 2hops, 4versions (13 first, 17 discovered)
leader L13 of team T6 discovered at 37358.000000 that M118 is in danger (after 10068ms proces-to-process, 7337ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 29273.000000 that M122 is in danger (after 13226ms proces-to-process, 11171ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L13 of team T6 discovered at 38322.000000 that M123 is in danger (after 15068ms proces-to-process, 13053ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 39998.000000 that M115 is in danger (after 9966ms proces-to-process, 9750ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 38322.000000 that M114 is in danger (after 20978ms proces-to-process, 19843ms node-to-node, 1hops, 7versions (8 first, 15 discovered)
leader L13 of team T6 discovered at 23910.000000 that M108 is in danger (after 5316ms proces-to-process, 2433ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 28519.000000 that M109 is in danger (after 12180ms proces-to-process, 10518ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 31164.000000 that M128 is in danger (after 10134ms proces-to-process, 9046ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 35740.000000 that M113 is in danger (after 6585ms proces-to-process, 4468ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 44819.000000 that M112 is in danger (after 22476ms proces-to-process, 19869ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 38322.000000 that M120 is in danger (after 14211ms proces-to-process, 11000ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 44570.000000 that M117 is in danger (after 20021ms proces-to-process, 16748ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 47061.000000 that M121 is in danger (after 18416ms proces-to-process, 17306ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 48206.000000 that M137 is in danger (after 20327ms proces-to-process, 19379ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 38145.000000 that M136 is in danger (after 17101ms proces-to-process, 16463ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L14 of team T7 discovered at 23042.000000 that M135 is in danger (after 5147ms proces-to-process, 3122ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 38145.000000 that M127 is in danger (after 18977ms proces-to-process, 17727ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 32821.000000 that M133 is in danger (after 15549ms proces-to-process, 15032ms node-to-node, 3hops, 4versions (8 first, 12 discovered)
leader L14 of team T7 discovered at 59177.000000 that M132 is in danger (after 33933ms proces-to-process, 32186ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L14 of team T7 never discovered that M131 is in danger from 22235.
leader L14 of team T7 discovered at 23042.000000 that M130 is in danger (after 4685ms proces-to-process, 4255ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L14 of team T7 discovered at 39568.000000 that M148 is in danger (after 15226ms proces-to-process, 14899ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L14 of team T7 discovered at 30553.000000 that M129 is in danger (after 11087ms proces-to-process, 9976ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L14 of team T7 discovered at 31550.000000 that M139 is in danger (after 3044ms proces-to-process, 2133ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 48631.000000 that M138 is in danger (after 18314ms proces-to-process, 18248ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 36607.000000 that M146 is in danger (after 6804ms proces-to-process, 4876ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 29729.000000 that M134 is in danger (after 9309ms proces-to-process, 6660ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 never discovered that M142 is in danger from 19608.
leader L14 of team T7 discovered at 44154.000000 that M143 is in danger (after 17876ms proces-to-process, 15532ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 30553.000000 that M140 is in danger (after 3114ms proces-to-process, 2870ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 31550.000000 that M141 is in danger (after 15030ms proces-to-process, 13998ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L14 of team T7 discovered at 50037.000000 that M145 is in danger (after 22914ms proces-to-process, 20617ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L15 of team T7 discovered at 48175.000000 that M137 is in danger (after 20296ms proces-to-process, 19445ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 37961.000000 that M136 is in danger (after 16917ms proces-to-process, 16347ms node-to-node, 5hops, 3versions (10 first, 13 discovered)
leader L15 of team T7 discovered at 33046.000000 that M135 is in danger (after 15151ms proces-to-process, 13529ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L15 of team T7 discovered at 37961.000000 that M127 is in danger (after 18793ms proces-to-process, 17894ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 35175.000000 that M133 is in danger (after 17903ms proces-to-process, 17526ms node-to-node, 4hops, 4versions (8 first, 12 discovered)
leader L15 of team T7 discovered at 59113.000000 that M132 is in danger (after 33869ms proces-to-process, 31832ms node-to-node, 6hops, 5versions (12 first, 17 discovered)
leader L15 of team T7 never discovered that M131 is in danger from 22235.
leader L15 of team T7 discovered at 23688.000000 that M130 is in danger (after 5331ms proces-to-process, 4947ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 discovered at 39209.000000 that M148 is in danger (after 14867ms proces-to-process, 14162ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 32598.000000 that M129 is in danger (after 13132ms proces-to-process, 11794ms node-to-node, 4hops, 2versions (8 first, 10 discovered)
leader L15 of team T7 discovered at 34094.000000 that M139 is in danger (after 5588ms proces-to-process, 4754ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 49529.000000 that M138 is in danger (after 19212ms proces-to-process, 18706ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 36678.000000 that M146 is in danger (after 6875ms proces-to-process, 4616ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 30166.000000 that M134 is in danger (after 9746ms proces-to-process, 7374ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 never discovered that M142 is in danger from 19608.
leader L15 of team T7 discovered at 43724.000000 that M143 is in danger (after 17446ms proces-to-process, 15532ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 32598.000000 that M140 is in danger (after 5159ms proces-to-process, 4707ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 34094.000000 that M141 is in danger (after 17574ms proces-to-process, 16800ms node-to-node, 8hops, 2versions (7 first, 9 discovered)
leader L15 of team T7 discovered at 49529.000000 that M145 is in danger (after 22406ms proces-to-process, 20125ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L8 of team T4 discovered at 20954.000000 that M85 is in danger (after 4736ms proces-to-process, 2191ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 29431.000000 that M77 is in danger (after 12616ms proces-to-process, 10052ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L8 of team T4 discovered at 32358.000000 that M76 is in danger (after 7078ms proces-to-process, 3218ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 27198.000000 that M75 is in danger (after 5230ms proces-to-process, 3297ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 33231.000000 that M74 is in danger (after 9584ms proces-to-process, 7955ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L8 of team T4 discovered at 30300.000000 that M86 is in danger (after 11319ms proces-to-process, 8107ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L8 of team T4 discovered at 44078.000000 that M87 is in danger (after 17813ms proces-to-process, 16418ms node-to-node, 9hops, 3versions (13 first, 16 discovered)
leader L8 of team T4 discovered at 28862.000000 that M79 is in danger (after 10433ms proces-to-process, 8559ms node-to-node, 1hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 25945.000000 that M78 is in danger (after 6636ms proces-to-process, 5246ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 27198.000000 that M82 is in danger (after 3939ms proces-to-process, 3215ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 38155.000000 that M83 is in danger (after 7560ms proces-to-process, 4895ms node-to-node, 1hops, 1versions (15 first, 16 discovered)
leader L8 of team T4 discovered at 20954.000000 that M80 is in danger (after 3941ms proces-to-process, 3216ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L8 of team T4 discovered at 30300.000000 that M81 is in danger (after 9353ms proces-to-process, 8104ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 32358.000000 that M93 is in danger (after 7616ms proces-to-process, 6429ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 33231.000000 that M89 is in danger (after 6405ms proces-to-process, 5602ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 39270.000000 that M88 is in danger (after 10440ms proces-to-process, 9589ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L8 of team T4 discovered at 28862.000000 that M92 is in danger (after 11513ms proces-to-process, 8659ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 34240.000000 that M84 is in danger (after 15306ms proces-to-process, 12321ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 31376.000000 that M90 is in danger (after 5496ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 25002.000000 that M85 is in danger (after 8784ms proces-to-process, 6419ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 45350.000000 that M77 is in danger (after 28535ms proces-to-process, 25711ms node-to-node, 3hops, 9versions (8 first, 17 discovered)
leader L9 of team T4 never discovered that M76 is in danger from 25280.
leader L9 of team T4 discovered at 40184.000000 that M75 is in danger (after 18216ms proces-to-process, 16286ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 46810.000000 that M74 is in danger (after 23163ms proces-to-process, 21668ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 discovered at 51784.000000 that M86 is in danger (after 32803ms proces-to-process, 29959ms node-to-node, 7hops, 6versions (9 first, 15 discovered)
leader L9 of team T4 discovered at 36024.000000 that M87 is in danger (after 9759ms proces-to-process, 8723ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 48721.000000 that M79 is in danger (after 30292ms proces-to-process, 28972ms node-to-node, 3hops, 8versions (9 first, 17 discovered)
leader L9 of team T4 discovered at 30996.000000 that M78 is in danger (after 11687ms proces-to-process, 10208ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 29665.000000 that M82 is in danger (after 6406ms proces-to-process, 5781ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 37894.000000 that M83 is in danger (after 7299ms proces-to-process, 4895ms node-to-node, 1hops, 1versions (15 first, 16 discovered)
leader L9 of team T4 discovered at 45350.000000 that M80 is in danger (after 28337ms proces-to-process, 27475ms node-to-node, 5hops, 10versions (7 first, 17 discovered)
leader L9 of team T4 discovered at 44391.000000 that M81 is in danger (after 23444ms proces-to-process, 22423ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L9 of team T4 discovered at 37894.000000 that M93 is in danger (after 13152ms proces-to-process, 12085ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 47091.000000 that M89 is in danger (after 20265ms proces-to-process, 19363ms node-to-node, 3hops, 4versions (13 first, 17 discovered)
leader L9 of team T4 discovered at 45860.000000 that M88 is in danger (after 17030ms proces-to-process, 16482ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 40184.000000 that M92 is in danger (after 22835ms proces-to-process, 19952ms node-to-node, 2hops, 7versions (9 first, 16 discovered)
leader L9 of team T4 discovered at 36861.000000 that M84 is in danger (after 17927ms proces-to-process, 15327ms node-to-node, 2hops, 5versions (9 first, 14 discovered)
leader L9 of team T4 discovered at 41337.000000 that M90 is in danger (after 15457ms proces-to-process, 11423ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L10 of team T5 discovered at 29600.000000 that M99 is in danger (after 9075ms proces-to-process, 6829ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 27587.000000 that M98 is in danger (after 4734ms proces-to-process, 4440ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 27587.000000 that M100 is in danger (after 6063ms proces-to-process, 4013ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 49993.000000 that M101 is in danger (after 24489ms proces-to-process, 23510ms node-to-node, 2hops, 8versions (11 first, 19 discovered)
leader L10 of team T5 discovered at 43493.000000 that M106 is in danger (after 19594ms proces-to-process, 18403ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 44343.000000 that M107 is in danger (after 28001ms proces-to-process, 26084ms node-to-node, 3hops, 6versions (8 first, 14 discovered)
leader L10 of team T5 discovered at 35696.000000 that M104 is in danger (after 12652ms proces-to-process, 9032ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
