Config: 
--------------------------------------------
leader L12 of team T6 discovered at 44626.000000 that M124 is in danger (after 18622ms proces-to-process, 17265ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L14 of team T7 discovered at 23937.000000 that M136 is in danger (after 2893ms proces-to-process, 1599ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 26585.000000 that M135 is in danger (after 8690ms proces-to-process, 7109ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 38145.000000 that M134 is in danger (after 17725ms proces-to-process, 14973ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 41245.000000 that M133 is in danger (after 23973ms proces-to-process, 23696ms node-to-node, 2hops, 7versions (8 first, 15 discovered)
leader L14 of team T7 discovered at 35657.000000 that M132 is in danger (after 10413ms proces-to-process, 8554ms node-to-node, 1hops, 3versions (12 first, 15 discovered)
leader L14 of team T7 discovered at 39568.000000 that M131 is in danger (after 17333ms proces-to-process, 15309ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 31550.000000 that M130 is in danger (after 13193ms proces-to-process, 12761ms node-to-node, 11hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 47551.000000 that M139 is in danger (after 19045ms proces-to-process, 18512ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 39568.000000 that M138 is in danger (after 9251ms proces-to-process, 8744ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 48631.000000 that M146 is in danger (after 18828ms proces-to-process, 16688ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L14 of team T7 discovered at 36607.000000 that M147 is in danger (after 14612ms proces-to-process, 11758ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L14 of team T7 discovered at 42871.000000 that M144 is in danger (after 14297ms proces-to-process, 11963ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 43239.000000 that M145 is in danger (after 16116ms proces-to-process, 13964ms node-to-node, 9hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 29729.000000 that M142 is in danger (after 10121ms proces-to-process, 8066ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 40669.000000 that M143 is in danger (after 14391ms proces-to-process, 12215ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 40669.000000 that M140 is in danger (after 13230ms proces-to-process, 13051ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 26585.000000 that M141 is in danger (after 10065ms proces-to-process, 9039ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 discovered at 34145.000000 that M148 is in danger (after 9803ms proces-to-process, 9216ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L15 of team T7 discovered at 35576.000000 that M137 is in danger (after 7697ms proces-to-process, 6640ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 27680.000000 that M136 is in danger (after 6636ms proces-to-process, 5725ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 21899.000000 that M135 is in danger (after 4004ms proces-to-process, 1902ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 30166.000000 that M134 is in danger (after 9746ms proces-to-process, 7416ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 28308.000000 that M133 is in danger (after 11036ms proces-to-process, 10892ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 discovered at 34094.000000 that M132 is in danger (after 8850ms proces-to-process, 6844ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 31915.000000 that M131 is in danger (after 9680ms proces-to-process, 8259ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 20602.000000 that M130 is in danger (after 2245ms proces-to-process, 1968ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 39209.000000 that M139 is in danger (after 10703ms proces-to-process, 9782ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L15 of team T7 discovered at 33046.000000 that M138 is in danger (after 2729ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 35175.000000 that M146 is in danger (after 5372ms proces-to-process, 3342ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 29465.000000 that M147 is in danger (after 7470ms proces-to-process, 4694ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L15 of team T7 discovered at 35175.000000 that M144 is in danger (after 6601ms proces-to-process, 3718ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 37521.000000 that M145 is in danger (after 10398ms proces-to-process, 8154ms node-to-node, 3hops, 4versions (13 first, 17 discovered)
leader L15 of team T7 discovered at 26033.000000 that M142 is in danger (after 6425ms proces-to-process, 4241ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 31678.000000 that M143 is in danger (after 5400ms proces-to-process, 3238ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 29813.000000 that M140 is in danger (after 2374ms proces-to-process, 2009ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 20602.000000 that M141 is in danger (after 4082ms proces-to-process, 3211ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L15 of team T7 discovered at 27680.000000 that M148 is in danger (after 3338ms proces-to-process, 2778ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 31376.000000 that M73 is in danger (after 9472ms proces-to-process, 8115ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L8 of team T4 discovered at 40772.000000 that M72 is in danger (after 11188ms proces-to-process, 9071ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L8 of team T4 discovered at 33231.000000 that M85 is in danger (after 17013ms proces-to-process, 14192ms node-to-node, 11hops, 4versions (8 first, 12 discovered)
leader L8 of team T4 discovered at 25945.000000 that M77 is in danger (after 9130ms proces-to-process, 6087ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 37309.000000 that M76 is in danger (after 12029ms proces-to-process, 7867ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 31376.000000 that M75 is in danger (after 9408ms proces-to-process, 7443ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 33599.000000 that M89 is in danger (after 6773ms proces-to-process, 6079ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 24851.000000 that M86 is in danger (after 5870ms proces-to-process, 3103ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 40772.000000 that M87 is in danger (after 14507ms proces-to-process, 12932ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 38155.000000 that M79 is in danger (after 19726ms proces-to-process, 18064ms node-to-node, 12hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 28862.000000 that M78 is in danger (after 9553ms proces-to-process, 7924ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 27198.000000 that M82 is in danger (after 3939ms proces-to-process, 3142ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 38155.000000 that M83 is in danger (after 7560ms proces-to-process, 5078ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 24851.000000 that M80 is in danger (after 7838ms proces-to-process, 7452ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L8 of team T4 discovered at 23792.000000 that M81 is in danger (after 2845ms proces-to-process, 1884ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 44078.000000 that M91 is in danger (after 14269ms proces-to-process, 11610ms node-to-node, 6hops, 1versions (15 first, 16 discovered)
leader L8 of team T4 discovered at 31524.000000 that M93 is in danger (after 6782ms proces-to-process, 5995ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 33231.000000 that M88 is in danger (after 4401ms proces-to-process, 4086ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 39270.000000 that M92 is in danger (after 21921ms proces-to-process, 18760ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 33231.000000 that M84 is in danger (after 14297ms proces-to-process, 11029ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 40772.000000 that M90 is in danger (after 14892ms proces-to-process, 11210ms node-to-node, 4hops, 4versions (13 first, 17 discovered)
leader L9 of team T4 discovered at 48090.000000 that M73 is in danger (after 26186ms proces-to-process, 24165ms node-to-node, 9hops, 8versions (10 first, 18 discovered)
leader L9 of team T4 discovered at 52929.000000 that M72 is in danger (after 23345ms proces-to-process, 21167ms node-to-node, 3hops, 6versions (14 first, 20 discovered)
leader L9 of team T4 discovered at 29665.000000 that M85 is in danger (after 13447ms proces-to-process, 11084ms node-to-node, 3hops, 6versions (8 first, 14 discovered)
leader L9 of team T4 discovered at 35898.000000 that M77 is in danger (after 19083ms proces-to-process, 16162ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 discovered at 45350.000000 that M76 is in danger (after 20070ms proces-to-process, 15612ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 36861.000000 that M75 is in danger (after 14893ms proces-to-process, 13091ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L9 of team T4 discovered at 29202.000000 that M89 is in danger (after 2376ms proces-to-process, 1221ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 36861.000000 that M86 is in danger (after 17880ms proces-to-process, 14949ms node-to-node, 6hops, 4versions (9 first, 13 discovered)
leader L9 of team T4 discovered at 40184.000000 that M87 is in danger (after 13919ms proces-to-process, 12591ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 19790.000000 that M79 is in danger (after 1361ms proces-to-process, 212ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 50042.000000 that M78 is in danger (after 30733ms proces-to-process, 29181ms node-to-node, 8hops, 6versions (9 first, 15 discovered)
leader L9 of team T4 discovered at 42388.000000 that M82 is in danger (after 19129ms proces-to-process, 17906ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 59777.000000 that M83 is in danger (after 29182ms proces-to-process, 26625ms node-to-node, 12hops, 4versions (15 first, 19 discovered)
leader L9 of team T4 discovered at 18303.000000 that M80 is in danger (after 1290ms proces-to-process, 457ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 51101.000000 that M81 is in danger (after 30154ms proces-to-process, 28835ms node-to-node, 9hops, 9versions (9 first, 18 discovered)
leader L9 of team T4 discovered at 46810.000000 that M91 is in danger (after 17001ms proces-to-process, 13870ms node-to-node, 6hops, 2versions (15 first, 17 discovered)
leader L9 of team T4 discovered at 38391.000000 that M93 is in danger (after 13649ms proces-to-process, 12628ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L9 of team T4 discovered at 36861.000000 that M88 is in danger (after 8031ms proces-to-process, 7533ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 33164.000000 that M92 is in danger (after 15815ms proces-to-process, 13072ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 22309.000000 that M84 is in danger (after 3375ms proces-to-process, 290ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 45350.000000 that M90 is in danger (after 19470ms proces-to-process, 15327ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L10 of team T5 discovered at 31189.000000 that M99 is in danger (after 10664ms proces-to-process, 8396ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 23155.000000 that M98 is in danger (after 302ms proces-to-process, 134ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 35696.000000 that M100 is in danger (after 14172ms proces-to-process, 12038ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 33977.000000 that M101 is in danger (after 8473ms proces-to-process, 7814ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 35696.000000 that M106 is in danger (after 11797ms proces-to-process, 10649ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 23678.000000 that M107 is in danger (after 7336ms proces-to-process, 5408ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L10 of team T5 discovered at 34819.000000 that M104 is in danger (after 11775ms proces-to-process, 8499ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L10 of team T5 discovered at 25077.000000 that M103 is in danger (after 5138ms proces-to-process, 3201ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L10 of team T5 never discovered that M111 is in danger from 19564.
leader L10 of team T5 discovered at 34819.000000 that M105 is in danger (after 14200ms proces-to-process, 11980ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 45985.000000 that M95 is in danger (after 20389ms proces-to-process, 18198ms node-to-node, 4hops, 6versions (12 first, 18 discovered)
leader L10 of team T5 discovered at 34254.000000 that M94 is in danger (after 7557ms proces-to-process, 7042ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L10 of team T5 discovered at 26846.000000 that M97 is in danger (after 6854ms proces-to-process, 4333ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L10 of team T5 discovered at 33439.000000 that M96 is in danger (after 5465ms proces-to-process, 5107ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L10 of team T5 discovered at 33977.000000 that M102 is in danger (after 6164ms proces-to-process, 5877ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L11 of team T5 discovered at 38140.000000 that M99 is in danger (after 17615ms proces-to-process, 15301ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 23921.000000 that M98 is in danger (after 1068ms proces-to-process, 1025ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 39508.000000 that M100 is in danger (after 17984ms proces-to-process, 16173ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L11 of team T5 discovered at 33985.000000 that M101 is in danger (after 8481ms proces-to-process, 7677ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L11 of team T5 discovered at 54987.000000 that M106 is in danger (after 31088ms proces-to-process, 29260ms node-to-node, 9hops, 5versions (11 first, 16 discovered)
leader L11 of team T5 discovered at 24085.000000 that M107 is in danger (after 7743ms proces-to-process, 6097ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L11 of team T5 discovered at 43467.000000 that M104 is in danger (after 20423ms proces-to-process, 17316ms node-to-node, 8hops, 2versions (12 first, 14 discovered)
leader L11 of team T5 discovered at 21811.000000 that M103 is in danger (after 1872ms proces-to-process, 173ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 never discovered that M111 is in danger from 19564.
leader L11 of team T5 discovered at 39508.000000 that M105 is in danger (after 18889ms proces-to-process, 16575ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L11 of team T5 discovered at 46023.000000 that M95 is in danger (after 20427ms proces-to-process, 17834ms node-to-node, 10hops, 1versions (12 first, 13 discovered)
leader L11 of team T5 discovered at 47466.000000 that M94 is in danger (after 20769ms proces-to-process, 20250ms node-to-node, 7hops, 4versions (12 first, 16 discovered)
leader L11 of team T5 discovered at 28014.000000 that M97 is in danger (after 8022ms proces-to-process, 5745ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L11 of team T5 discovered at 38987.000000 that M96 is in danger (after 11013ms proces-to-process, 10526ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L11 of team T5 discovered at 33985.000000 that M102 is in danger (after 6172ms proces-to-process, 5740ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L4 of team T2 discovered at 20077.000000 that M55 is in danger (after 3822ms proces-to-process, 3327ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 25449.000000 that M48 is in danger (after 5656ms proces-to-process, 3668ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 23657.000000 that M49 is in danger (after 5058ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 27632.000000 that M51 is in danger (after 6963ms proces-to-process, 4452ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M50 is in danger (after 12733ms proces-to-process, 11318ms node-to-node, 2hops, 3versions (8 first, 11 discovered)
leader L4 of team T2 discovered at 18610.000000 that M53 is in danger (after 2936ms proces-to-process, 1861ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 26687.000000 that M52 is in danger (after 3328ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 27632.000000 that M37 is in danger (after 4700ms proces-to-process, 3218ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 22810.000000 that M36 is in danger (after 7165ms proces-to-process, 4906ms node-to-node, 4hops, 2versions (7 first, 9 discovered)
leader L4 of team T2 discovered at 32520.000000 that M41 is in danger (after 5293ms proces-to-process, 3675ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 31994.000000 that M46 is in danger (after 6491ms proces-to-process, 6467ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 24538.000000 that M47 is in danger (after 7115ms proces-to-process, 5080ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 35712.000000 that M44 is in danger (after 11297ms proces-to-process, 9843ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L4 of team T2 discovered at 26687.000000 that M45 is in danger (after 4299ms proces-to-process, 3996ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 38150.000000 that M42 is in danger (after 8299ms proces-to-process, 7034ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L4 of team T2 discovered at 31665.000000 that M57 is in danger (after 5783ms proces-to-process, 5160ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 29734.000000 that M43 is in danger (after 8599ms proces-to-process, 5353ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 40123.000000 that M58 is in danger (after 11162ms proces-to-process, 10914ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L5 of team T2 discovered at 30663.000000 that M55 is in danger (after 14408ms proces-to-process, 13907ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 21693.000000 that M48 is in danger (after 1900ms proces-to-process, 655ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 32174.000000 that M49 is in danger (after 13575ms proces-to-process, 10340ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 30663.000000 that M51 is in danger (after 9994ms proces-to-process, 7746ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 41672.000000 that M50 is in danger (after 24671ms proces-to-process, 23355ms node-to-node, 12hops, 3versions (8 first, 11 discovered)
leader L5 of team T2 discovered at 21202.000000 that M53 is in danger (after 5528ms proces-to-process, 4258ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 39040.000000 that M52 is in danger (after 15681ms proces-to-process, 13885ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 34577.000000 that M37 is in danger (after 11645ms proces-to-process, 9914ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25789.000000 that M36 is in danger (after 10144ms proces-to-process, 7614ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 42483.000000 that M41 is in danger (after 15256ms proces-to-process, 13659ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L5 of team T2 discovered at 32174.000000 that M46 is in danger (after 6671ms proces-to-process, 6467ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 28202.000000 that M47 is in danger (after 10779ms proces-to-process, 9021ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L5 of team T2 discovered at 44693.000000 that M44 is in danger (after 20278ms proces-to-process, 18676ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L5 of team T2 discovered at 34577.000000 that M45 is in danger (after 12189ms proces-to-process, 11323ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 never discovered that M42 is in danger from 29851.
leader L5 of team T2 discovered at 43178.000000 that M57 is in danger (after 17296ms proces-to-process, 17215ms node-to-node, 3hops, 4versions (12 first, 16 discovered)
