Config: 
--------------------------------------------
leader L12 of team T6 discovered at 34077.000000 that M124 is in danger (after 8073ms proces-to-process, 6277ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 42776.000000 that M115 is in danger (after 12744ms proces-to-process, 12493ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 27770.000000 that M114 is in danger (after 10426ms proces-to-process, 8680ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 36484.000000 that M108 is in danger (after 17890ms proces-to-process, 15178ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 33440.000000 that M109 is in danger (after 17101ms proces-to-process, 15460ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L13 of team T6 discovered at 28519.000000 that M111 is in danger (after 8955ms proces-to-process, 5983ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 33043.000000 that M129 is in danger (after 13577ms proces-to-process, 12265ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 44570.000000 that M113 is in danger (after 15415ms proces-to-process, 13464ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 38322.000000 that M120 is in danger (after 14211ms proces-to-process, 11239ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 43346.000000 that M117 is in danger (after 18797ms proces-to-process, 15235ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 50791.000000 that M121 is in danger (after 22146ms proces-to-process, 21863ms node-to-node, 9hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 31550.000000 that M137 is in danger (after 3671ms proces-to-process, 2113ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 25076.000000 that M136 is in danger (after 4032ms proces-to-process, 3112ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 37352.000000 that M135 is in danger (after 19457ms proces-to-process, 17259ms node-to-node, 4hops, 6versions (9 first, 15 discovered)
leader L14 of team T7 discovered at 27600.000000 that M134 is in danger (after 7180ms proces-to-process, 4629ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 29089.000000 that M133 is in danger (after 11576ms proces-to-process, 9506ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 31550.000000 that M132 is in danger (after 6306ms proces-to-process, 3955ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 23937.000000 that M131 is in danger (after 1702ms proces-to-process, 40ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 25076.000000 that M130 is in danger (after 6719ms proces-to-process, 5948ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 30553.000000 that M139 is in danger (after 2047ms proces-to-process, 1093ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 40669.000000 that M138 is in danger (after 10352ms proces-to-process, 9955ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 50037.000000 that M146 is in danger (after 20234ms proces-to-process, 17977ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L14 of team T7 discovered at 31550.000000 that M147 is in danger (after 9555ms proces-to-process, 6414ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L14 of team T7 discovered at 38530.000000 that M144 is in danger (after 9956ms proces-to-process, 7625ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 36607.000000 that M145 is in danger (after 9484ms proces-to-process, 6798ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 26585.000000 that M142 is in danger (after 6977ms proces-to-process, 5343ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 47904.000000 that M143 is in danger (after 21626ms proces-to-process, 19924ms node-to-node, 11hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 36607.000000 that M140 is in danger (after 9168ms proces-to-process, 9070ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 25076.000000 that M141 is in danger (after 8556ms proces-to-process, 7522ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 discovered at 33173.000000 that M148 is in danger (after 8831ms proces-to-process, 8602ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L14 of team T7 discovered at 31800.000000 that M126 is in danger (after 5391ms proces-to-process, 3827ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 30686.000000 that M127 is in danger (after 11518ms proces-to-process, 10612ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 34145.000000 that M128 is in danger (after 13115ms proces-to-process, 12023ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 36678.000000 that M137 is in danger (after 8799ms proces-to-process, 7367ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 33046.000000 that M136 is in danger (after 12002ms proces-to-process, 11390ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 20602.000000 that M135 is in danger (after 2707ms proces-to-process, 806ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 23204.000000 that M134 is in danger (after 2784ms proces-to-process, 297ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 39710.000000 that M133 is in danger (after 22197ms proces-to-process, 20418ms node-to-node, 7hops, 4versions (9 first, 13 discovered)
leader L15 of team T7 discovered at 34094.000000 that M132 is in danger (after 8850ms proces-to-process, 7090ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 35175.000000 that M131 is in danger (after 12940ms proces-to-process, 10613ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 20196.000000 that M130 is in danger (after 1839ms proces-to-process, 1479ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 37004.000000 that M139 is in danger (after 8498ms proces-to-process, 7941ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 36678.000000 that M138 is in danger (after 6361ms proces-to-process, 5547ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 42013.000000 that M146 is in danger (after 12210ms proces-to-process, 9944ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 35175.000000 that M147 is in danger (after 13180ms proces-to-process, 10152ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L15 of team T7 discovered at 42013.000000 that M144 is in danger (after 13439ms proces-to-process, 10851ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 39209.000000 that M145 is in danger (after 12086ms proces-to-process, 9724ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 37521.000000 that M142 is in danger (after 17913ms proces-to-process, 15993ms node-to-node, 7hops, 4versions (9 first, 13 discovered)
leader L15 of team T7 discovered at 35175.000000 that M143 is in danger (after 8897ms proces-to-process, 6390ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 37521.000000 that M140 is in danger (after 10082ms proces-to-process, 9580ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 30966.000000 that M141 is in danger (after 14446ms proces-to-process, 13664ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 34094.000000 that M148 is in danger (after 9752ms proces-to-process, 9017ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 40846.000000 that M126 is in danger (after 14437ms proces-to-process, 12863ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 37521.000000 that M127 is in danger (after 18353ms proces-to-process, 17106ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 36678.000000 that M128 is in danger (after 15648ms proces-to-process, 14594ms node-to-node, 8hops, 1versions (10 first, 11 discovered)
leader L8 of team T4 discovered at 27198.000000 that M85 is in danger (after 10980ms proces-to-process, 8158ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 29816.000000 that M77 is in danger (after 13001ms proces-to-process, 10459ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 never discovered that M76 is in danger from 25280.
leader L8 of team T4 discovered at 32358.000000 that M88 is in danger (after 3528ms proces-to-process, 3037ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 never discovered that M74 is in danger from 23647.
leader L8 of team T4 discovered at 29816.000000 that M86 is in danger (after 10835ms proces-to-process, 8062ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 46002.000000 that M87 is in danger (after 19737ms proces-to-process, 18487ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L8 of team T4 discovered at 34421.000000 that M79 is in danger (after 15992ms proces-to-process, 14792ms node-to-node, 9hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 38225.000000 that M78 is in danger (after 18916ms proces-to-process, 17453ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L8 of team T4 discovered at 30300.000000 that M82 is in danger (after 7041ms proces-to-process, 6500ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 33599.000000 that M83 is in danger (after 3004ms proces-to-process, 283ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 31376.000000 that M80 is in danger (after 14363ms proces-to-process, 13146ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L8 of team T4 discovered at 41128.000000 that M81 is in danger (after 20181ms proces-to-process, 18927ms node-to-node, 10hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 51273.000000 that M91 is in danger (after 21464ms proces-to-process, 18849ms node-to-node, 5hops, 3versions (15 first, 18 discovered)
leader L8 of team T4 discovered at 30300.000000 that M89 is in danger (after 3474ms proces-to-process, 2709ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 22871.000000 that M84 is in danger (after 3937ms proces-to-process, 892ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 20535.000000 that M85 is in danger (after 4317ms proces-to-process, 1836ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 discovered at 23577.000000 that M77 is in danger (after 6762ms proces-to-process, 3708ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 38732.000000 that M76 is in danger (after 13452ms proces-to-process, 9464ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 41337.000000 that M88 is in danger (after 12507ms proces-to-process, 12143ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 48090.000000 that M74 is in danger (after 24443ms proces-to-process, 22619ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L9 of team T4 discovered at 23577.000000 that M86 is in danger (after 4596ms proces-to-process, 1432ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 41337.000000 that M87 is in danger (after 15072ms proces-to-process, 13770ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 33164.000000 that M79 is in danger (after 14735ms proces-to-process, 13225ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L9 of team T4 discovered at 46810.000000 that M78 is in danger (after 27501ms proces-to-process, 26179ms node-to-node, 6hops, 6versions (9 first, 15 discovered)
leader L9 of team T4 discovered at 38732.000000 that M82 is in danger (after 15473ms proces-to-process, 14755ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L9 of team T4 discovered at 46810.000000 that M83 is in danger (after 16215ms proces-to-process, 13389ms node-to-node, 3hops, 2versions (15 first, 17 discovered)
leader L9 of team T4 discovered at 17822.000000 that M80 is in danger (after 809ms proces-to-process, 49ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 31352.000000 that M81 is in danger (after 10405ms proces-to-process, 9246ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 45350.000000 that M91 is in danger (after 15541ms proces-to-process, 12914ms node-to-node, 2hops, 3versions (15 first, 18 discovered)
leader L9 of team T4 discovered at 45350.000000 that M89 is in danger (after 18524ms proces-to-process, 17359ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 41337.000000 that M84 is in danger (after 22403ms proces-to-process, 19452ms node-to-node, 8hops, 2versions (9 first, 11 discovered)
leader L10 of team T5 discovered at 29103.000000 that M99 is in danger (after 8578ms proces-to-process, 5608ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 30622.000000 that M98 is in danger (after 7769ms proces-to-process, 7697ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 34778.000000 that M100 is in danger (after 13254ms proces-to-process, 11799ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 38562.000000 that M101 is in danger (after 13058ms proces-to-process, 11678ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 34643.000000 that M106 is in danger (after 10744ms proces-to-process, 9591ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 25077.000000 that M107 is in danger (after 9235ms proces-to-process, 6578ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L10 of team T5 discovered at 45714.000000 that M104 is in danger (after 22670ms proces-to-process, 18732ms node-to-node, 9hops, 6versions (12 first, 18 discovered)
leader L10 of team T5 discovered at 25077.000000 that M103 is in danger (after 5138ms proces-to-process, 2889ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 35696.000000 that M90 is in danger (after 9816ms proces-to-process, 6469ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L10 of team T5 discovered at 48880.000000 that M93 is in danger (after 24138ms proces-to-process, 23199ms node-to-node, 8hops, 5versions (11 first, 16 discovered)
leader L10 of team T5 discovered at 26846.000000 that M92 is in danger (after 9497ms proces-to-process, 6587ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L10 of team T5 discovered at 36441.000000 that M95 is in danger (after 10845ms proces-to-process, 8817ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L10 of team T5 discovered at 39609.000000 that M94 is in danger (after 12912ms proces-to-process, 12583ms node-to-node, 12hops, 1versions (12 first, 13 discovered)
leader L10 of team T5 discovered at 32876.000000 that M97 is in danger (after 12884ms proces-to-process, 10071ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L10 of team T5 discovered at 36441.000000 that M96 is in danger (after 8467ms proces-to-process, 8295ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L10 of team T5 discovered at 38562.000000 that M110 is in danger (after 7986ms proces-to-process, 6523ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L10 of team T5 discovered at 40604.000000 that M105 is in danger (after 19985ms proces-to-process, 17771ms node-to-node, 11hops, 2versions (10 first, 12 discovered)
leader L10 of team T5 discovered at 27587.000000 that M112 is in danger (after 5244ms proces-to-process, 2719ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 31701.000000 that M102 is in danger (after 3888ms proces-to-process, 3600ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L11 of team T5 discovered at 31404.000000 that M99 is in danger (after 10879ms proces-to-process, 8683ms node-to-node, 3hops, 2versions (10 first, 12 discovered)
leader L11 of team T5 discovered at 33985.000000 that M98 is in danger (after 11132ms proces-to-process, 10486ms node-to-node, 11hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 35888.000000 that M100 is in danger (after 14364ms proces-to-process, 12565ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L11 of team T5 discovered at 40404.000000 that M101 is in danger (after 14900ms proces-to-process, 14145ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L11 of team T5 discovered at 35058.000000 that M106 is in danger (after 11159ms proces-to-process, 9591ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L11 of team T5 discovered at 27839.000000 that M107 is in danger (after 11997ms proces-to-process, 9953ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L11 of team T5 discovered at 47466.000000 that M104 is in danger (after 24422ms proces-to-process, 21057ms node-to-node, 11hops, 6versions (12 first, 18 discovered)
leader L11 of team T5 discovered at 33985.000000 that M103 is in danger (after 14046ms proces-to-process, 12004ms node-to-node, 2hops, 3versions (10 first, 13 discovered)
leader L11 of team T5 discovered at 35888.000000 that M90 is in danger (after 10008ms proces-to-process, 6469ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L11 of team T5 discovered at 38987.000000 that M93 is in danger (after 14245ms proces-to-process, 13227ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
leader L11 of team T5 discovered at 28910.000000 that M92 is in danger (after 11561ms proces-to-process, 9122ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L11 of team T5 discovered at 33985.000000 that M95 is in danger (after 8389ms proces-to-process, 6060ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L11 of team T5 discovered at 39871.000000 that M94 is in danger (after 13174ms proces-to-process, 12583ms node-to-node, 12hops, 1versions (12 first, 13 discovered)
leader L11 of team T5 discovered at 32950.000000 that M97 is in danger (after 12958ms proces-to-process, 10071ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L11 of team T5 discovered at 38987.000000 that M96 is in danger (after 11013ms proces-to-process, 10586ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L11 of team T5 discovered at 40404.000000 that M110 is in danger (after 9828ms proces-to-process, 8900ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L11 of team T5 discovered at 41031.000000 that M105 is in danger (after 20412ms proces-to-process, 17771ms node-to-node, 11hops, 2versions (10 first, 12 discovered)
leader L11 of team T5 discovered at 33985.000000 that M112 is in danger (after 11642ms proces-to-process, 9003ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L11 of team T5 discovered at 34380.000000 that M102 is in danger (after 6567ms proces-to-process, 5984ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L4 of team T2 discovered at 17532.000000 that M55 is in danger (after 1277ms proces-to-process, 447ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 30535.000000 that M54 is in danger (after 12022ms proces-to-process, 10632ms node-to-node, 1hops, 3versions (8 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M48 is in danger (after 9941ms proces-to-process, 8324ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 22810.000000 that M49 is in danger (after 4211ms proces-to-process, 1290ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 36683.000000 that M51 is in danger (after 16014ms proces-to-process, 13378ms node-to-node, 4hops, 7versions (10 first, 17 discovered)
leader L4 of team T2 discovered at 18610.000000 that M50 is in danger (after 1609ms proces-to-process, 179ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 27632.000000 that M53 is in danger (after 11958ms proces-to-process, 10392ms node-to-node, 2hops, 2versions (7 first, 9 discovered)
leader L4 of team T2 discovered at 43048.000000 that M52 is in danger (after 19335ms proces-to-process, 18169ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 48640.000000 that M42 is in danger (after 18789ms proces-to-process, 17300ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L4 of team T2 discovered at 50358.000000 that M43 is in danger (after 29223ms proces-to-process, 26214ms node-to-node, 10hops, 5versions (11 first, 16 discovered)
leader L4 of team T2 discovered at 33332.000000 that M40 is in danger (after 10067ms proces-to-process, 7546ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 43957.000000 that M41 is in danger (after 16730ms proces-to-process, 14758ms node-to-node, 13hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 43048.000000 that M46 is in danger (after 17545ms proces-to-process, 17450ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L4 of team T2 discovered at 30535.000000 that M47 is in danger (after 13112ms proces-to-process, 10924ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L4 of team T2 discovered at 39447.000000 that M44 is in danger (after 15032ms proces-to-process, 13478ms node-to-node, 12hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 51682.000000 that M45 is in danger (after 29294ms proces-to-process, 28795ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L4 of team T2 discovered at 29734.000000 that M58 is in danger (after 773ms proces-to-process, 104ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L5 of team T2 discovered at 22678.000000 that M55 is in danger (after 6423ms proces-to-process, 5886ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 25789.000000 that M54 is in danger (after 7276ms proces-to-process, 6174ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 30069.000000 that M48 is in danger (after 10276ms proces-to-process, 9002ms node-to-node, 9hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 28733.000000 that M49 is in danger (after 10134ms proces-to-process, 6861ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 28733.000000 that M51 is in danger (after 8064ms proces-to-process, 5542ms node-to-node, 2hops, 3versions (10 first, 13 discovered)
leader L5 of team T2 discovered at 24376.000000 that M50 is in danger (after 7375ms proces-to-process, 6111ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 32349.000000 that M53 is in danger (after 16675ms proces-to-process, 15634ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 34577.000000 that M52 is in danger (after 10864ms proces-to-process, 9382ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 46735.000000 that M42 is in danger (after 16884ms proces-to-process, 15521ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L5 of team T2 discovered at 51185.000000 that M43 is in danger (after 30050ms proces-to-process, 26668ms node-to-node, 11hops, 5versions (11 first, 16 discovered)
leader L5 of team T2 discovered at 33065.000000 that M40 is in danger (after 9800ms proces-to-process, 6792ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 54106.000000 that M41 is in danger (after 26879ms proces-to-process, 25263ms node-to-node, 5hops, 6versions (12 first, 18 discovered)
leader L5 of team T2 discovered at 45890.000000 that M46 is in danger (after 20387ms proces-to-process, 20082ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L5 of team T2 discovered at 30069.000000 that M47 is in danger (after 12646ms proces-to-process, 10404ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L5 of team T2 discovered at 39040.000000 that M44 is in danger (after 14625ms proces-to-process, 12749ms node-to-node, 10hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 45054.000000 that M45 is in danger (after 22666ms proces-to-process, 22316ms node-to-node, 10hops, 6versions (11 first, 17 discovered)
leader L5 of team T2 discovered at 38187.000000 that M58 is in danger (after 9226ms proces-to-process, 8528ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 28525.000000 that M60 is in danger (after 3089ms proces-to-process, 2756ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 40947.000000 that M61 is in danger (after 10945ms proces-to-process, 9267ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
