Config: 
--------------------------------------------
leader L4 of team T2 discovered at 34474.000000 that M52 is in danger (after 11115ms proces-to-process, 8759ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 22678.000000 that M50 is in danger (after 5677ms proces-to-process, 3845ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 30069.000000 that M39 is in danger (after 6476ms proces-to-process, 4059ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 39040.000000 that M38 is in danger (after 13284ms proces-to-process, 12279ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 35949.000000 that M42 is in danger (after 6098ms proces-to-process, 4592ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 18090.000000 that M36 is in danger (after 2445ms proces-to-process, 205ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 30663.000000 that M40 is in danger (after 7398ms proces-to-process, 5020ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 33065.000000 that M41 is in danger (after 5838ms proces-to-process, 4292ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 30069.000000 that M46 is in danger (after 4566ms proces-to-process, 4412ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 32174.000000 that M47 is in danger (after 14751ms proces-to-process, 11984ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 33065.000000 that M44 is in danger (after 8650ms proces-to-process, 6876ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 27136.000000 that M45 is in danger (after 4748ms proces-to-process, 3936ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 22866.000000 that M53 is in danger (after 7192ms proces-to-process, 6156ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 30069.000000 that M43 is in danger (after 8934ms proces-to-process, 5519ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L6 of team T3 discovered at 26297.000000 that M55 is in danger (after 10042ms proces-to-process, 8950ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L6 of team T3 discovered at 20987.000000 that M54 is in danger (after 2474ms proces-to-process, 795ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 33153.000000 that M57 is in danger (after 7271ms proces-to-process, 7015ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 22711.000000 that M56 is in danger (after 3589ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L6 of team T3 discovered at 30839.000000 that M76 is in danger (after 5559ms proces-to-process, 1239ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 27688.000000 that M75 is in danger (after 5720ms proces-to-process, 3816ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 34030.000000 that M72 is in danger (after 4446ms proces-to-process, 2320ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M59 is in danger (after 5247ms proces-to-process, 3113ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M58 is in danger (after 3336ms proces-to-process, 2892ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 26297.000000 that M70 is in danger (after 3986ms proces-to-process, 2484ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 26297.000000 that M74 is in danger (after 2650ms proces-to-process, 657ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 30135.000000 that M71 is in danger (after 3062ms proces-to-process, 805ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M60 is in danger (after 6861ms proces-to-process, 6380ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 38232.000000 that M61 is in danger (after 8230ms proces-to-process, 6532ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L6 of team T3 discovered at 26297.000000 that M62 is in danger (after 8216ms proces-to-process, 5707ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L6 of team T3 discovered at 28525.000000 that M63 is in danger (after 4022ms proces-to-process, 2360ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 30135.000000 that M64 is in danger (after 3125ms proces-to-process, 2474ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 29275.000000 that M65 is in danger (after 3967ms proces-to-process, 3044ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 30135.000000 that M66 is in danger (after 1917ms proces-to-process, 197ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 20987.000000 that M67 is in danger (after 1385ms proces-to-process, 805ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 23903.000000 that M68 is in danger (after 1179ms proces-to-process, 970ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 32297.000000 that M69 is in danger (after 11804ms proces-to-process, 8503ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 26297.000000 that M73 is in danger (after 4393ms proces-to-process, 2437ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 28098.000000 that M55 is in danger (after 11843ms proces-to-process, 11109ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L7 of team T3 discovered at 22221.000000 that M54 is in danger (after 3708ms proces-to-process, 2508ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 35108.000000 that M57 is in danger (after 9226ms proces-to-process, 8861ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 26262.000000 that M56 is in danger (after 7140ms proces-to-process, 5256ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L7 of team T3 discovered at 31240.000000 that M76 is in danger (after 5960ms proces-to-process, 2025ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 25198.000000 that M75 is in danger (after 3230ms proces-to-process, 1085ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L7 of team T3 discovered at 39734.000000 that M72 is in danger (after 10150ms proces-to-process, 7679ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L7 of team T3 discovered at 37728.000000 that M59 is in danger (after 10678ms proces-to-process, 8824ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 34351.000000 that M58 is in danger (after 5390ms proces-to-process, 4683ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 23612.000000 that M70 is in danger (after 1301ms proces-to-process, 115ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 28519.000000 that M74 is in danger (after 4872ms proces-to-process, 3054ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 34351.000000 that M71 is in danger (after 7278ms proces-to-process, 5063ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 37728.000000 that M60 is in danger (after 12292ms proces-to-process, 11541ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 43024.000000 that M61 is in danger (after 13022ms proces-to-process, 11478ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L7 of team T3 discovered at 23612.000000 that M62 is in danger (after 5531ms proces-to-process, 3298ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L7 of team T3 discovered at 28098.000000 that M63 is in danger (after 3595ms proces-to-process, 1983ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 35108.000000 that M64 is in danger (after 8098ms proces-to-process, 7689ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 29483.000000 that M65 is in danger (after 4175ms proces-to-process, 3526ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 30055.000000 that M66 is in danger (after 1837ms proces-to-process, 197ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 22983.000000 that M67 is in danger (after 3381ms proces-to-process, 2938ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 28098.000000 that M68 is in danger (after 5374ms proces-to-process, 4328ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 31240.000000 that M69 is in danger (after 10747ms proces-to-process, 8194ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L7 of team T3 discovered at 30055.000000 that M73 is in danger (after 8151ms proces-to-process, 6483ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 28136.000000 that M11 is in danger (after 4723ms proces-to-process, 3241ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 22648.000000 that M21 is in danger (after 5001ms proces-to-process, 3954ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 discovered at 34944.000000 that M17 is in danger (after 6532ms proces-to-process, 4751ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 23509.000000 that M10 is in danger (after 3791ms proces-to-process, 2438ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 27456.000000 that M16 is in danger (after 6024ms proces-to-process, 2164ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 34944.000000 that M20 is in danger (after 6706ms proces-to-process, 4881ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 24240.000000 that M13 is in danger (after 5998ms proces-to-process, 3425ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L0 of team T0 never discovered that M18 is in danger from 16252.
leader L0 of team T0 discovered at 24240.000000 that M5 is in danger (after 4683ms proces-to-process, 4304ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 29195.000000 that M4 is in danger (after 7063ms proces-to-process, 6985ms node-to-node, 3hops, 3versions (10 first, 13 discovered)
leader L0 of team T0 discovered at 33176.000000 that M7 is in danger (after 3353ms proces-to-process, 1856ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 25361.000000 that M6 is in danger (after 2890ms proces-to-process, 1233ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 28136.000000 that M1 is in danger (after 3292ms proces-to-process, 2337ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 22026.000000 that M0 is in danger (after 1388ms proces-to-process, 805ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 21050.000000 that M3 is in danger (after 2287ms proces-to-process, 629ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M2 is in danger (after 4267ms proces-to-process, 1995ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 22026.000000 that M15 is in danger (after 2956ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 29195.000000 that M12 is in danger (after 2858ms proces-to-process, 2254ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 39672.000000 that M9 is in danger (after 9314ms proces-to-process, 8798ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L0 of team T0 discovered at 32222.000000 that M8 is in danger (after 14842ms proces-to-process, 14606ms node-to-node, 6hops, 6versions (8 first, 14 discovered)
leader L0 of team T0 discovered at 21247.000000 that M14 is in danger (after 788ms proces-to-process, 702ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 27177.000000 that M11 is in danger (after 3764ms proces-to-process, 2174ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 22622.000000 that M21 is in danger (after 4975ms proces-to-process, 3546ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 33741.000000 that M17 is in danger (after 5329ms proces-to-process, 3546ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 23970.000000 that M10 is in danger (after 4252ms proces-to-process, 3005ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 29037.000000 that M16 is in danger (after 7605ms proces-to-process, 3568ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 33220.000000 that M20 is in danger (after 4982ms proces-to-process, 3074ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 24969.000000 that M13 is in danger (after 6727ms proces-to-process, 3852ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 never discovered that M18 is in danger from 16252.
leader L1 of team T0 discovered at 24969.000000 that M5 is in danger (after 5412ms proces-to-process, 5224ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 37019.000000 that M4 is in danger (after 14887ms proces-to-process, 14871ms node-to-node, 7hops, 6versions (10 first, 16 discovered)
leader L1 of team T0 discovered at 34740.000000 that M7 is in danger (after 4917ms proces-to-process, 3152ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 25751.000000 that M6 is in danger (after 3280ms proces-to-process, 1640ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 29037.000000 that M1 is in danger (after 4193ms proces-to-process, 2744ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 26315.000000 that M0 is in danger (after 5677ms proces-to-process, 4898ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 21637.000000 that M3 is in danger (after 2874ms proces-to-process, 1042ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M2 is in danger (after 5790ms proces-to-process, 3799ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 24329.000000 that M15 is in danger (after 5259ms proces-to-process, 3669ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 29745.000000 that M12 is in danger (after 3408ms proces-to-process, 2681ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 34740.000000 that M9 is in danger (after 4382ms proces-to-process, 4036ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M8 is in danger (after 15840ms proces-to-process, 15013ms node-to-node, 7hops, 6versions (8 first, 14 discovered)
leader L1 of team T0 discovered at 21637.000000 that M14 is in danger (after 1178ms proces-to-process, 1129ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T1 discovered at 36741.000000 that M34 is in danger (after 6417ms proces-to-process, 5007ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L2 of team T1 discovered at 39162.000000 that M28 is in danger (after 14347ms proces-to-process, 12117ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L2 of team T1 discovered at 29066.000000 that M29 is in danger (after 4994ms proces-to-process, 4109ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 40461.000000 that M24 is in danger (after 10250ms proces-to-process, 7196ms node-to-node, 4hops, 1versions (15 first, 16 discovered)
leader L2 of team T1 discovered at 35538.000000 that M25 is in danger (after 7452ms proces-to-process, 5307ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T1 discovered at 36741.000000 that M26 is in danger (after 6422ms proces-to-process, 3821ms node-to-node, 1hops, 2versions (14 first, 16 discovered)
leader L2 of team T1 discovered at 33056.000000 that M27 is in danger (after 10230ms proces-to-process, 8393ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T1 discovered at 41607.000000 that M33 is in danger (after 13951ms proces-to-process, 11723ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 28631.000000 that M32 is in danger (after 7525ms proces-to-process, 5994ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L2 of team T1 discovered at 45039.000000 that M22 is in danger (after 25049ms proces-to-process, 23332ms node-to-node, 10hops, 8versions (9 first, 17 discovered)
leader L2 of team T1 discovered at 31981.000000 that M23 is in danger (after 5254ms proces-to-process, 3988ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 31124.000000 that M37 is in danger (after 8192ms proces-to-process, 6232ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T1 discovered at 25135.000000 that M31 is in danger (after 7390ms proces-to-process, 4841ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T1 discovered at 35538.000000 that M19 is in danger (after 6377ms proces-to-process, 5116ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T1 discovered at 31981.000000 that M30 is in danger (after 3601ms proces-to-process, 2354ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 45039.000000 that M35 is in danger (after 17164ms proces-to-process, 13588ms node-to-node, 11hops, 3versions (14 first, 17 discovered)
leader L3 of team T1 discovered at 39375.000000 that M34 is in danger (after 9051ms proces-to-process, 7805ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 38166.000000 that M28 is in danger (after 13351ms proces-to-process, 11104ms node-to-node, 4hops, 5versions (12 first, 17 discovered)
leader L3 of team T1 discovered at 28042.000000 that M29 is in danger (after 3970ms proces-to-process, 3102ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T1 discovered at 35988.000000 that M24 is in danger (after 5777ms proces-to-process, 2498ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L3 of team T1 discovered at 35475.000000 that M25 is in danger (after 7389ms proces-to-process, 4890ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L3 of team T1 discovered at 37342.000000 that M26 is in danger (after 7023ms proces-to-process, 4948ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L3 of team T1 discovered at 30900.000000 that M27 is in danger (after 8074ms proces-to-process, 6279ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L3 of team T1 discovered at 41470.000000 that M33 is in danger (after 13814ms proces-to-process, 11078ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L3 of team T1 discovered at 24334.000000 that M32 is in danger (after 3228ms proces-to-process, 2100ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L3 of team T1 discovered at 30900.000000 that M22 is in danger (after 10910ms proces-to-process, 9186ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L3 of team T1 discovered at 27481.000000 that M23 is in danger (after 754ms proces-to-process, 68ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 26873.000000 that M37 is in danger (after 3941ms proces-to-process, 2468ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T1 discovered at 23881.000000 that M31 is in danger (after 6136ms proces-to-process, 3541ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L3 of team T1 discovered at 30900.000000 that M19 is in danger (after 1739ms proces-to-process, 484ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 36941.000000 that M30 is in danger (after 8561ms proces-to-process, 7690ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L3 of team T1 discovered at 36941.000000 that M35 is in danger (after 9066ms proces-to-process, 4921ms node-to-node, 7hops, 1versions (14 first, 15 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=6730.289474, min=754, max=25049, median=5979
Node-2-node response time: avg=5072.072368, min=68, max=23332, median=4084
Hops: avg=4.138158, min=1, max=11, median=4
Process-2-process response time / 1 hop: avg=1979.618421, min=157, max=10747, median=1497
Node-2-node response time / 1 hop: avg=1412.177632, min=68, max=8194, median=1143
Version difference: avg=0.875000, min=0, max=8, median=1
Ratio of leader discoveries: 152 of 154 (98.701299%)
Ratio of discoveries regardless the number of leaders: 76 of 77 (98.701299%)
