Config: 
--------------------------------------------
leader L12 of team T6 discovered at 31925.000000 that M124 is in danger (after 5921ms proces-to-process, 4541ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 40963.000000 that M132 is in danger (after 15719ms proces-to-process, 13730ms node-to-node, 12hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 36607.000000 that M131 is in danger (after 14372ms proces-to-process, 12913ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 25076.000000 that M148 is in danger (after 734ms proces-to-process, 602ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L14 of team T7 discovered at 33173.000000 that M139 is in danger (after 4667ms proces-to-process, 4052ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 41960.000000 that M138 is in danger (after 11643ms proces-to-process, 10999ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 45769.000000 that M146 is in danger (after 15966ms proces-to-process, 13622ms node-to-node, 10hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 44154.000000 that M147 is in danger (after 22159ms proces-to-process, 18553ms node-to-node, 13hops, 2versions (11 first, 13 discovered)
leader L14 of team T7 discovered at 34145.000000 that M144 is in danger (after 5571ms proces-to-process, 2760ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 37352.000000 that M127 is in danger (after 18184ms proces-to-process, 17021ms node-to-node, 9hops, 4versions (9 first, 13 discovered)
leader L14 of team T7 discovered at 46040.000000 that M142 is in danger (after 26432ms proces-to-process, 24674ms node-to-node, 11hops, 4versions (9 first, 13 discovered)
leader L14 of team T7 discovered at 45769.000000 that M143 is in danger (after 19491ms proces-to-process, 17559ms node-to-node, 9hops, 4versions (12 first, 16 discovered)
leader L14 of team T7 discovered at 38145.000000 that M140 is in danger (after 10706ms proces-to-process, 10435ms node-to-node, 10hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 31550.000000 that M141 is in danger (after 15030ms proces-to-process, 14198ms node-to-node, 11hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 never discovered that M145 is in danger from 27123.
leader L15 of team T7 discovered at 41509.000000 that M137 is in danger (after 13630ms proces-to-process, 12639ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L15 of team T7 discovered at 24363.000000 that M136 is in danger (after 3319ms proces-to-process, 2758ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 27680.000000 that M135 is in danger (after 9785ms proces-to-process, 7947ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L15 of team T7 discovered at 32598.000000 that M134 is in danger (after 12178ms proces-to-process, 9450ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 20196.000000 that M133 is in danger (after 2683ms proces-to-process, 980ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 28855.000000 that M132 is in danger (after 3611ms proces-to-process, 1717ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 30166.000000 that M131 is in danger (after 7931ms proces-to-process, 6556ms node-to-node, 1hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 35576.000000 that M148 is in danger (after 11234ms proces-to-process, 10935ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L15 of team T7 discovered at 35576.000000 that M139 is in danger (after 7070ms proces-to-process, 6605ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 43185.000000 that M138 is in danger (after 12868ms proces-to-process, 12489ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 35576.000000 that M146 is in danger (after 5773ms proces-to-process, 3524ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 34094.000000 that M147 is in danger (after 12099ms proces-to-process, 8947ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L15 of team T7 discovered at 47598.000000 that M144 is in danger (after 19024ms proces-to-process, 16619ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L15 of team T7 discovered at 26033.000000 that M127 is in danger (after 6865ms proces-to-process, 5312ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 31678.000000 that M142 is in danger (after 12070ms proces-to-process, 10436ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 35175.000000 that M143 is in danger (after 8897ms proces-to-process, 7043ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L15 of team T7 discovered at 28308.000000 that M140 is in danger (after 869ms proces-to-process, 536ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 22674.000000 that M141 is in danger (after 6154ms proces-to-process, 4756ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 never discovered that M145 is in danger from 27123.
leader L8 of team T4 discovered at 41128.000000 that M73 is in danger (after 19224ms proces-to-process, 17425ms node-to-node, 11hops, 0versions (10 first, 10 discovered)
leader L8 of team T4 discovered at 24851.000000 that M85 is in danger (after 8633ms proces-to-process, 6167ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 34240.000000 that M77 is in danger (after 17425ms proces-to-process, 14629ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 40329.000000 that M88 is in danger (after 11499ms proces-to-process, 11163ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 41570.000000 that M75 is in danger (after 19602ms proces-to-process, 18024ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L8 of team T4 discovered at 53224.000000 that M74 is in danger (after 29577ms proces-to-process, 27961ms node-to-node, 10hops, 4versions (12 first, 16 discovered)
leader L8 of team T4 discovered at 34885.000000 that M86 is in danger (after 15904ms proces-to-process, 12876ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 44799.000000 that M87 is in danger (after 18534ms proces-to-process, 17507ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L8 of team T4 discovered at 33231.000000 that M79 is in danger (after 14802ms proces-to-process, 13142ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L8 of team T4 discovered at 47252.000000 that M78 is in danger (after 27943ms proces-to-process, 25915ms node-to-node, 6hops, 8versions (9 first, 17 discovered)
leader L8 of team T4 never discovered that M82 is in danger from 23259.
leader L8 of team T4 never discovered that M83 is in danger from 30595.
leader L8 of team T4 discovered at 17446.000000 that M80 is in danger (after 433ms proces-to-process, 9ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L8 of team T4 discovered at 22313.000000 that M81 is in danger (after 1366ms proces-to-process, 159ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 44799.000000 that M91 is in danger (after 14990ms proces-to-process, 12565ms node-to-node, 8hops, 2versions (15 first, 17 discovered)
leader L8 of team T4 discovered at 39207.000000 that M89 is in danger (after 12381ms proces-to-process, 11453ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 51273.000000 that M94 is in danger (after 24576ms proces-to-process, 23961ms node-to-node, 4hops, 8versions (12 first, 20 discovered)
leader L8 of team T4 discovered at 57795.000000 that M92 is in danger (after 40446ms proces-to-process, 37620ms node-to-node, 8hops, 11versions (9 first, 20 discovered)
leader L8 of team T4 discovered at 31376.000000 that M84 is in danger (after 12442ms proces-to-process, 9221ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 never discovered that M93 is in danger from 24742.
leader L9 of team T4 discovered at 41337.000000 that M73 is in danger (after 19433ms proces-to-process, 17379ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L9 of team T4 discovered at 24729.000000 that M85 is in danger (after 8511ms proces-to-process, 6055ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 27865.000000 that M77 is in danger (after 11050ms proces-to-process, 8179ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 37894.000000 that M88 is in danger (after 9064ms proces-to-process, 8386ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 48721.000000 that M75 is in danger (after 26753ms proces-to-process, 24903ms node-to-node, 4hops, 7versions (11 first, 18 discovered)
leader L9 of team T4 discovered at 35898.000000 that M74 is in danger (after 12251ms proces-to-process, 10600ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 discovered at 31352.000000 that M86 is in danger (after 12371ms proces-to-process, 9545ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 44391.000000 that M87 is in danger (after 18126ms proces-to-process, 17048ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 29202.000000 that M79 is in danger (after 10773ms proces-to-process, 9356ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 37894.000000 that M78 is in danger (after 18585ms proces-to-process, 16887ms node-to-node, 10hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 36861.000000 that M82 is in danger (after 13602ms proces-to-process, 12904ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 never discovered that M83 is in danger from 30595.
leader L9 of team T4 discovered at 25568.000000 that M80 is in danger (after 8555ms proces-to-process, 8084ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L9 of team T4 discovered at 43085.000000 that M81 is in danger (after 22138ms proces-to-process, 20789ms node-to-node, 3hops, 9versions (9 first, 18 discovered)
leader L9 of team T4 discovered at 41337.000000 that M91 is in danger (after 11528ms proces-to-process, 8285ms node-to-node, 6hops, 0versions (15 first, 15 discovered)
leader L9 of team T4 discovered at 30267.000000 that M89 is in danger (after 3441ms proces-to-process, 2532ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 30267.000000 that M94 is in danger (after 3570ms proces-to-process, 2798ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L9 of team T4 discovered at 41337.000000 that M92 is in danger (after 23988ms proces-to-process, 21074ms node-to-node, 2hops, 9versions (9 first, 18 discovered)
leader L9 of team T4 discovered at 30667.000000 that M84 is in danger (after 11733ms proces-to-process, 8843ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 33887.000000 that M93 is in danger (after 9145ms proces-to-process, 8395ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 49227.000000 that M99 is in danger (after 28702ms proces-to-process, 26409ms node-to-node, 3hops, 4versions (10 first, 14 discovered)
leader L10 of team T5 discovered at 35696.000000 that M98 is in danger (after 12843ms proces-to-process, 12336ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 26846.000000 that M100 is in danger (after 5322ms proces-to-process, 3583ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 41184.000000 that M101 is in danger (after 15680ms proces-to-process, 14535ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 37734.000000 that M106 is in danger (after 13835ms proces-to-process, 12588ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 27587.000000 that M107 is in danger (after 11245ms proces-to-process, 9624ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L10 of team T5 discovered at 43103.000000 that M104 is in danger (after 20059ms proces-to-process, 16553ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L10 of team T5 discovered at 31701.000000 that M103 is in danger (after 11762ms proces-to-process, 9887ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 40250.000000 that M90 is in danger (after 14370ms proces-to-process, 11044ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L10 of team T5 discovered at 30640.000000 that M105 is in danger (after 10021ms proces-to-process, 7817ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 34819.000000 that M95 is in danger (after 9223ms proces-to-process, 6740ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L10 of team T5 discovered at 46683.000000 that M110 is in danger (after 16107ms proces-to-process, 14939ms node-to-node, 4hops, 5versions (14 first, 19 discovered)
leader L10 of team T5 discovered at 26124.000000 that M97 is in danger (after 6132ms proces-to-process, 3349ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L10 of team T5 discovered at 31189.000000 that M96 is in danger (after 3215ms proces-to-process, 2804ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L10 of team T5 discovered at 36441.000000 that M111 is in danger (after 16877ms proces-to-process, 13667ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 39649.000000 that M102 is in danger (after 11836ms proces-to-process, 11455ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L11 of team T5 discovered at 44734.000000 that M99 is in danger (after 24209ms proces-to-process, 21766ms node-to-node, 2hops, 4versions (10 first, 14 discovered)
leader L11 of team T5 discovered at 29686.000000 that M98 is in danger (after 6833ms proces-to-process, 6361ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 26593.000000 that M100 is in danger (after 5069ms proces-to-process, 3583ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L11 of team T5 discovered at 38987.000000 that M101 is in danger (after 13483ms proces-to-process, 12524ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L11 of team T5 discovered at 40404.000000 that M106 is in danger (after 16505ms proces-to-process, 15126ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L11 of team T5 discovered at 21438.000000 that M107 is in danger (after 5096ms proces-to-process, 3191ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L11 of team T5 discovered at 36855.000000 that M104 is in danger (after 13811ms proces-to-process, 10356ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L11 of team T5 discovered at 23921.000000 that M103 is in danger (after 3982ms proces-to-process, 1836ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 32950.000000 that M90 is in danger (after 7070ms proces-to-process, 3778ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L11 of team T5 discovered at 31029.000000 that M105 is in danger (after 10410ms proces-to-process, 7925ms node-to-node, 5hops, 2versions (10 first, 12 discovered)
leader L11 of team T5 discovered at 31029.000000 that M95 is in danger (after 5433ms proces-to-process, 2862ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L11 of team T5 discovered at 31404.000000 that M110 is in danger (after 828ms proces-to-process, 202ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L11 of team T5 discovered at 28014.000000 that M97 is in danger (after 8022ms proces-to-process, 5758ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L11 of team T5 discovered at 33985.000000 that M96 is in danger (after 6011ms proces-to-process, 5743ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L11 of team T5 discovered at 28910.000000 that M111 is in danger (after 9346ms proces-to-process, 6620ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 31029.000000 that M102 is in danger (after 3216ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L4 of team T2 discovered at 25449.000000 that M52 is in danger (after 1736ms proces-to-process, 933ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 28514.000000 that M48 is in danger (after 8721ms proces-to-process, 7459ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 26013.000000 that M49 is in danger (after 7414ms proces-to-process, 4193ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 33332.000000 that M51 is in danger (after 12663ms proces-to-process, 10171ms node-to-node, 3hops, 3versions (10 first, 13 discovered)
leader L4 of team T2 discovered at 18610.000000 that M50 is in danger (after 1609ms proces-to-process, 348ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 17080.000000 that M53 is in danger (after 1406ms proces-to-process, 234ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 45164.000000 that M38 is in danger (after 19408ms proces-to-process, 18644ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 43957.000000 that M42 is in danger (after 14106ms proces-to-process, 13032ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L4 of team T2 discovered at 31665.000000 that M43 is in danger (after 10530ms proces-to-process, 7104ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 29734.000000 that M41 is in danger (after 2507ms proces-to-process, 1297ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 29734.000000 that M46 is in danger (after 4231ms proces-to-process, 4169ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 30863.000000 that M47 is in danger (after 13440ms proces-to-process, 11626ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M44 is in danger (after 7250ms proces-to-process, 5044ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 29057.000000 that M45 is in danger (after 6669ms proces-to-process, 6353ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 27632.000000 that M57 is in danger (after 1750ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 21132.000000 that M54 is in danger (after 2619ms proces-to-process, 1520ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 36683.000000 that M58 is in danger (after 7722ms proces-to-process, 7177ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L5 of team T2 discovered at 24748.000000 that M52 is in danger (after 1035ms proces-to-process, 248ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 26267.000000 that M48 is in danger (after 6474ms proces-to-process, 5086ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 28202.000000 that M49 is in danger (after 9603ms proces-to-process, 6000ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 27315.000000 that M51 is in danger (after 6646ms proces-to-process, 4419ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 20038.000000 that M50 is in danger (after 3037ms proces-to-process, 1553ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 18935.000000 that M53 is in danger (after 3261ms proces-to-process, 2041ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 48798.000000 that M38 is in danger (after 23042ms proces-to-process, 22504ms node-to-node, 4hops, 7versions (11 first, 18 discovered)
leader L5 of team T2 discovered at 41672.000000 that M42 is in danger (after 11821ms proces-to-process, 10408ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 39040.000000 that M43 is in danger (after 17905ms proces-to-process, 14739ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L5 of team T2 discovered at 30069.000000 that M41 is in danger (after 2842ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 28202.000000 that M46 is in danger (after 2699ms proces-to-process, 2362ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 26267.000000 that M47 is in danger (after 8844ms proces-to-process, 6982ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 33604.000000 that M44 is in danger (after 9189ms proces-to-process, 7453ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 32174.000000 that M45 is in danger (after 9786ms proces-to-process, 8746ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 30663.000000 that M57 is in danger (after 4781ms proces-to-process, 4678ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 24748.000000 that M54 is in danger (after 6235ms proces-to-process, 5134ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 38187.000000 that M58 is in danger (after 9226ms proces-to-process, 8984ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 19737.000000 that M55 is in danger (after 3482ms proces-to-process, 2674ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L6 of team T3 discovered at 28525.000000 that M60 is in danger (after 3089ms proces-to-process, 2931ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 26297.000000 that M62 is in danger (after 8216ms proces-to-process, 5910ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
