Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M151 is in danger (after 3564ms proces-to-process, 3366ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 41386.000000 that M165 is in danger (after 10964ms proces-to-process, 8988ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L17 of team T8 discovered at 43224.000000 that M146 is in danger (after 13421ms proces-to-process, 11031ms node-to-node, 4hops, 3versions (14 first, 17 discovered)
leader L17 of team T8 discovered at 48463.000000 that M147 is in danger (after 26468ms proces-to-process, 23682ms node-to-node, 8hops, 6versions (11 first, 17 discovered)
leader L17 of team T8 discovered at 29897.000000 that M153 is in danger (after 9492ms proces-to-process, 9288ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 38745.000000 that M152 is in danger (after 10257ms proces-to-process, 9530ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 42424.000000 that M155 is in danger (after 21189ms proces-to-process, 20525ms node-to-node, 7hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 33234.000000 that M154 is in danger (after 10345ms proces-to-process, 8541ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 44125.000000 that M156 is in danger (after 20518ms proces-to-process, 19550ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L17 of team T8 discovered at 39559.000000 that M159 is in danger (after 22830ms proces-to-process, 20185ms node-to-node, 3hops, 7versions (8 first, 15 discovered)
leader L17 of team T8 discovered at 23699.000000 that M158 is in danger (after 5079ms proces-to-process, 4290ms node-to-node, 1hops, 2versions (9 first, 11 discovered)
leader L17 of team T8 discovered at 35708.000000 that M148 is in danger (after 11366ms proces-to-process, 11240ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M149 is in danger (after 6063ms proces-to-process, 5389ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 48436.000000 that M168 is in danger (after 20674ms proces-to-process, 19665ms node-to-node, 4hops, 7versions (14 first, 21 discovered)
leader L18 of team T9 discovered at 50462.000000 that M169 is in danger (after 24776ms proces-to-process, 24298ms node-to-node, 4hops, 5versions (12 first, 17 discovered)
leader L18 of team T9 never discovered that M179 is in danger from 22952.
leader L18 of team T9 discovered at 38108.000000 that M170 is in danger (after 10582ms proces-to-process, 7637ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L18 of team T9 discovered at 40015.000000 that M173 is in danger (after 13644ms proces-to-process, 11189ms node-to-node, 9hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 discovered at 35224.000000 that M172 is in danger (after 16239ms proces-to-process, 15442ms node-to-node, 10hops, 2versions (8 first, 10 discovered)
leader L18 of team T9 discovered at 36340.000000 that M162 is in danger (after 14297ms proces-to-process, 14239ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 49877.000000 that M163 is in danger (after 20725ms proces-to-process, 19713ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L18 of team T9 discovered at 31520.000000 that M177 is in danger (after 9717ms proces-to-process, 8155ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 38108.000000 that M176 is in danger (after 8275ms proces-to-process, 6673ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 36340.000000 that M166 is in danger (after 18374ms proces-to-process, 16124ms node-to-node, 8hops, 4versions (8 first, 12 discovered)
leader L18 of team T9 never discovered that M167 is in danger from 25190.
leader L18 of team T9 discovered at 36340.000000 that M178 is in danger (after 12303ms proces-to-process, 11947ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L18 of team T9 discovered at 49584.000000 that M175 is in danger (after 22517ms proces-to-process, 17895ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L18 of team T9 discovered at 20970.000000 that M183 is in danger (after 572ms proces-to-process, 45ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L18 of team T9 discovered at 29933.000000 that M180 is in danger (after 8575ms proces-to-process, 7793ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L18 of team T9 discovered at 56573.000000 that M174 is in danger (after 27827ms proces-to-process, 26901ms node-to-node, 5hops, 8versions (13 first, 21 discovered)
leader L18 of team T9 discovered at 55794.000000 that M171 is in danger (after 39135ms proces-to-process, 37801ms node-to-node, 8hops, 11versions (8 first, 19 discovered)
leader L19 of team T9 discovered at 38310.000000 that M168 is in danger (after 10548ms proces-to-process, 9477ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 36613.000000 that M169 is in danger (after 10927ms proces-to-process, 10537ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 30836.000000 that M179 is in danger (after 7884ms proces-to-process, 5862ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L19 of team T9 discovered at 30836.000000 that M170 is in danger (after 3310ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 30252.000000 that M173 is in danger (after 3881ms proces-to-process, 1638ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 30252.000000 that M172 is in danger (after 11267ms proces-to-process, 10103ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 30957.000000 that M162 is in danger (after 8914ms proces-to-process, 8860ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L19 of team T9 discovered at 42888.000000 that M163 is in danger (after 13736ms proces-to-process, 12445ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L19 of team T9 discovered at 23868.000000 that M177 is in danger (after 2065ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 32943.000000 that M176 is in danger (after 3110ms proces-to-process, 1921ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 27851.000000 that M166 is in danger (after 9885ms proces-to-process, 7419ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 46427.000000 that M167 is in danger (after 21237ms proces-to-process, 19475ms node-to-node, 8hops, 6versions (12 first, 18 discovered)
leader L19 of team T9 discovered at 25870.000000 that M178 is in danger (after 1833ms proces-to-process, 1413ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 36613.000000 that M175 is in danger (after 9546ms proces-to-process, 5847ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 24786.000000 that M183 is in danger (after 4388ms proces-to-process, 3479ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L19 of team T9 discovered at 24786.000000 that M180 is in danger (after 3428ms proces-to-process, 2586ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L19 of team T9 discovered at 40282.000000 that M174 is in danger (after 11536ms proces-to-process, 10136ms node-to-node, 1hops, 3versions (13 first, 16 discovered)
leader L19 of team T9 discovered at 36613.000000 that M171 is in danger (after 19954ms proces-to-process, 18252ms node-to-node, 2hops, 4versions (8 first, 12 discovered)
leader L12 of team T6 discovered at 43107.000000 that M124 is in danger (after 17103ms proces-to-process, 15598ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 35666.000000 that M125 is in danger (after 12032ms proces-to-process, 10150ms node-to-node, 7hops, 3versions (11 first, 14 discovered)
leader L12 of team T6 discovered at 39500.000000 that M126 is in danger (after 13091ms proces-to-process, 11277ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 29947.000000 that M116 is in danger (after 12019ms proces-to-process, 10948ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 38417.000000 that M119 is in danger (after 12371ms proces-to-process, 8436ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 never discovered that M118 is in danger from 27290.
leader L12 of team T6 discovered at 28987.000000 that M122 is in danger (after 12940ms proces-to-process, 11510ms node-to-node, 12hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 41368.000000 that M123 is in danger (after 18114ms proces-to-process, 16050ms node-to-node, 10hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 never discovered that M115 is in danger from 30032.
leader L12 of team T6 discovered at 28738.000000 that M114 is in danger (after 11394ms proces-to-process, 10253ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 45685.000000 that M117 is in danger (after 21136ms proces-to-process, 17833ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 30757.000000 that M109 is in danger (after 14418ms proces-to-process, 12698ms node-to-node, 14hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 48068.000000 that M111 is in danger (after 28504ms proces-to-process, 25422ms node-to-node, 8hops, 7versions (10 first, 17 discovered)
leader L12 of team T6 discovered at 54496.000000 that M110 is in danger (after 23920ms proces-to-process, 22944ms node-to-node, 8hops, 3versions (14 first, 17 discovered)
leader L12 of team T6 discovered at 46735.000000 that M113 is in danger (after 17580ms proces-to-process, 15594ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 45685.000000 that M120 is in danger (after 21574ms proces-to-process, 18781ms node-to-node, 6hops, 7versions (12 first, 19 discovered)
leader L12 of team T6 discovered at 56586.000000 that M121 is in danger (after 27941ms proces-to-process, 27191ms node-to-node, 8hops, 11versions (13 first, 24 discovered)
leader L13 of team T6 never discovered that M124 is in danger from 26004.
leader L13 of team T6 discovered at 36629.000000 that M125 is in danger (after 12995ms proces-to-process, 11158ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 53802.000000 that M126 is in danger (after 27393ms proces-to-process, 25872ms node-to-node, 6hops, 8versions (13 first, 21 discovered)
leader L13 of team T6 discovered at 20282.000000 that M116 is in danger (after 2354ms proces-to-process, 1382ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 53194.000000 that M119 is in danger (after 27148ms proces-to-process, 23728ms node-to-node, 8hops, 5versions (13 first, 18 discovered)
leader L13 of team T6 discovered at 39998.000000 that M118 is in danger (after 12708ms proces-to-process, 9809ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 29273.000000 that M122 is in danger (after 13226ms proces-to-process, 11858ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L13 of team T6 discovered at 34738.000000 that M123 is in danger (after 11484ms proces-to-process, 9464ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 41090.000000 that M115 is in danger (after 11058ms proces-to-process, 10792ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 26038.000000 that M114 is in danger (after 8694ms proces-to-process, 7452ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 38322.000000 that M117 is in danger (after 13773ms proces-to-process, 10063ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 26038.000000 that M109 is in danger (after 9699ms proces-to-process, 8243ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 34515.000000 that M111 is in danger (after 14951ms proces-to-process, 11538ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L13 of team T6 discovered at 35740.000000 that M110 is in danger (after 5164ms proces-to-process, 4441ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 40463.000000 that M113 is in danger (after 11308ms proces-to-process, 9204ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 44570.000000 that M120 is in danger (after 20459ms proces-to-process, 17619ms node-to-node, 1hops, 6versions (12 first, 18 discovered)
leader L13 of team T6 discovered at 40463.000000 that M121 is in danger (after 11818ms proces-to-process, 11179ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 38286.000000 that M137 is in danger (after 10407ms proces-to-process, 9491ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 41245.000000 that M136 is in danger (after 20201ms proces-to-process, 19675ms node-to-node, 10hops, 6versions (10 first, 16 discovered)
leader L14 of team T7 discovered at 29193.000000 that M135 is in danger (after 11298ms proces-to-process, 9761ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 29089.000000 that M127 is in danger (after 9921ms proces-to-process, 8086ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 29089.000000 that M133 is in danger (after 11576ms proces-to-process, 9929ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 31550.000000 that M132 is in danger (after 6306ms proces-to-process, 3915ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 38145.000000 that M131 is in danger (after 15910ms proces-to-process, 13984ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 23937.000000 that M130 is in danger (after 5580ms proces-to-process, 4685ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 31800.000000 that M128 is in danger (after 10770ms proces-to-process, 9894ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 28062.000000 that M129 is in danger (after 8596ms proces-to-process, 7851ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L14 of team T7 discovered at 29729.000000 that M139 is in danger (after 1223ms proces-to-process, 846ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 32262.000000 that M138 is in danger (after 1945ms proces-to-process, 1911ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 40669.000000 that M144 is in danger (after 12095ms proces-to-process, 9501ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 28062.000000 that M134 is in danger (after 7642ms proces-to-process, 5450ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 25563.000000 that M142 is in danger (after 5955ms proces-to-process, 4267ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 37352.000000 that M143 is in danger (after 11074ms proces-to-process, 8776ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L14 of team T7 discovered at 39568.000000 that M140 is in danger (after 12129ms proces-to-process, 11222ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 29729.000000 that M141 is in danger (after 13209ms proces-to-process, 11980ms node-to-node, 5hops, 3versions (7 first, 10 discovered)
leader L14 of team T7 discovered at 53103.000000 that M145 is in danger (after 25980ms proces-to-process, 23590ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L15 of team T7 discovered at 36678.000000 that M137 is in danger (after 8799ms proces-to-process, 7538ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 33046.000000 that M136 is in danger (after 12002ms proces-to-process, 11105ms node-to-node, 7hops, 3versions (10 first, 13 discovered)
leader L15 of team T7 discovered at 24363.000000 that M135 is in danger (after 6468ms proces-to-process, 4679ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 30966.000000 that M127 is in danger (after 11798ms proces-to-process, 10221ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 29813.000000 that M133 is in danger (after 12300ms proces-to-process, 10803ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 35576.000000 that M132 is in danger (after 10332ms proces-to-process, 8553ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 36678.000000 that M131 is in danger (after 14443ms proces-to-process, 12448ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 30166.000000 that M130 is in danger (after 11809ms proces-to-process, 11450ms node-to-node, 5hops, 3versions (8 first, 11 discovered)
leader L15 of team T7 discovered at 29465.000000 that M128 is in danger (after 8435ms proces-to-process, 7156ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 26164.000000 that M129 is in danger (after 6698ms proces-to-process, 5908ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 35576.000000 that M139 is in danger (after 7070ms proces-to-process, 6611ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 34094.000000 that M138 is in danger (after 3777ms proces-to-process, 3624ms node-to-node, 1hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 45631.000000 that M144 is in danger (after 17057ms proces-to-process, 14863ms node-to-node, 7hops, 5versions (14 first, 19 discovered)
leader L15 of team T7 discovered at 28308.000000 that M134 is in danger (after 7888ms proces-to-process, 5643ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 25129.000000 that M142 is in danger (after 5521ms proces-to-process, 3864ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 30966.000000 that M143 is in danger (after 4688ms proces-to-process, 2459ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 37521.000000 that M140 is in danger (after 10082ms proces-to-process, 9999ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L15 of team T7 discovered at 22674.000000 that M141 is in danger (after 6154ms proces-to-process, 4993ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 35746.000000 that M145 is in danger (after 8623ms proces-to-process, 6448ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 42909.000000 that M72 is in danger (after 13325ms proces-to-process, 11032ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L8 of team T4 discovered at 27198.000000 that M85 is in danger (after 10980ms proces-to-process, 8695ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 23792.000000 that M77 is in danger (after 6977ms proces-to-process, 4482ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 44579.000000 that M76 is in danger (after 19299ms proces-to-process, 15400ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 40772.000000 that M88 is in danger (after 11942ms proces-to-process, 11636ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 42654.000000 that M89 is in danger (after 15828ms proces-to-process, 14857ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 27465.000000 that M86 is in danger (after 8484ms proces-to-process, 5599ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 51583.000000 that M87 is in danger (after 25318ms proces-to-process, 24090ms node-to-node, 9hops, 3versions (13 first, 16 discovered)
leader L8 of team T4 discovered at 51273.000000 that M79 is in danger (after 32844ms proces-to-process, 31051ms node-to-node, 3hops, 14versions (9 first, 23 discovered)
leader L8 of team T4 discovered at 24851.000000 that M78 is in danger (after 5542ms proces-to-process, 3419ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 56084.000000 that M82 is in danger (after 32825ms proces-to-process, 32263ms node-to-node, 8hops, 10versions (11 first, 21 discovered)
leader L8 of team T4 discovered at 53224.000000 that M83 is in danger (after 22629ms proces-to-process, 20077ms node-to-node, 3hops, 4versions (15 first, 19 discovered)
leader L8 of team T4 discovered at 28862.000000 that M80 is in danger (after 11849ms proces-to-process, 10970ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L8 of team T4 discovered at 33231.000000 that M81 is in danger (after 12284ms proces-to-process, 10896ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 50290.000000 that M91 is in danger (after 20481ms proces-to-process, 17169ms node-to-node, 5hops, 7versions (15 first, 22 discovered)
leader L8 of team T4 discovered at 50290.000000 that M90 is in danger (after 24410ms proces-to-process, 21061ms node-to-node, 6hops, 5versions (13 first, 18 discovered)
leader L8 of team T4 discovered at 37309.000000 that M84 is in danger (after 18375ms proces-to-process, 15563ms node-to-node, 11hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 25945.000000 that M93 is in danger (after 1203ms proces-to-process, 27ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 40184.000000 that M72 is in danger (after 10600ms proces-to-process, 7692ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L9 of team T4 discovered at 24729.000000 that M85 is in danger (after 8511ms proces-to-process, 6042ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 21482.000000 that M77 is in danger (after 4667ms proces-to-process, 1721ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 35898.000000 that M76 is in danger (after 10618ms proces-to-process, 6475ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 35898.000000 that M88 is in danger (after 7068ms proces-to-process, 6425ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 37894.000000 that M89 is in danger (after 11068ms proces-to-process, 9880ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 26093.000000 that M86 is in danger (after 7112ms proces-to-process, 3876ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 41337.000000 that M87 is in danger (after 15072ms proces-to-process, 14043ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L9 of team T4 discovered at 22309.000000 that M79 is in danger (after 3880ms proces-to-process, 2408ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 22309.000000 that M78 is in danger (after 3000ms proces-to-process, 1411ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 37894.000000 that M82 is in danger (after 14635ms proces-to-process, 13897ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L9 of team T4 discovered at 40184.000000 that M83 is in danger (after 9589ms proces-to-process, 6691ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L9 of team T4 discovered at 24729.000000 that M80 is in danger (after 7716ms proces-to-process, 6797ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 22309.000000 that M81 is in danger (after 1362ms proces-to-process, 203ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 34720.000000 that M91 is in danger (after 4911ms proces-to-process, 1979ms node-to-node, 4hops, 1versions (15 first, 16 discovered)
leader L9 of team T4 discovered at 30267.000000 that M90 is in danger (after 4387ms proces-to-process, 1007ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 26093.000000 that M84 is in danger (after 7159ms proces-to-process, 4435ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 33887.000000 that M93 is in danger (after 9145ms proces-to-process, 8024ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 50929.000000 that M99 is in danger (after 30404ms proces-to-process, 28021ms node-to-node, 12hops, 3versions (10 first, 13 discovered)
leader L10 of team T5 discovered at 29600.000000 that M98 is in danger (after 6747ms proces-to-process, 6530ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 35696.000000 that M100 is in danger (after 14172ms proces-to-process, 12411ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 41501.000000 that M101 is in danger (after 15997ms proces-to-process, 15221ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 43103.000000 that M106 is in danger (after 19204ms proces-to-process, 18066ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L10 of team T5 discovered at 44729.000000 that M107 is in danger (after 28387ms proces-to-process, 26618ms node-to-node, 8hops, 4versions (8 first, 12 discovered)
leader L10 of team T5 discovered at 33977.000000 that M104 is in danger (after 10933ms proces-to-process, 7561ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L10 of team T5 discovered at 30622.000000 that M103 is in danger (after 10683ms proces-to-process, 8682ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
