Config: 
--------------------------------------------
leader L16 of team T8 discovered at 34900.000000 that M151 is in danger (after 9087ms proces-to-process, 8543ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L19 of team T9 discovered at 51212.000000 that M168 is in danger (after 23450ms proces-to-process, 22224ms node-to-node, 3hops, 6versions (14 first, 20 discovered)
leader L19 of team T9 discovered at 57893.000000 that M169 is in danger (after 32207ms proces-to-process, 31554ms node-to-node, 9hops, 7versions (12 first, 19 discovered)
leader L19 of team T9 never discovered that M179 is in danger from 22952.
leader L19 of team T9 discovered at 52775.000000 that M170 is in danger (after 25249ms proces-to-process, 22923ms node-to-node, 7hops, 6versions (13 first, 19 discovered)
leader L19 of team T9 discovered at 40282.000000 that M173 is in danger (after 13911ms proces-to-process, 11763ms node-to-node, 8hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 50148.000000 that M172 is in danger (after 31163ms proces-to-process, 30195ms node-to-node, 3hops, 7versions (8 first, 15 discovered)
leader L19 of team T9 discovered at 41511.000000 that M162 is in danger (after 19468ms proces-to-process, 19168ms node-to-node, 9hops, 5versions (10 first, 15 discovered)
leader L19 of team T9 discovered at 49136.000000 that M163 is in danger (after 19984ms proces-to-process, 18394ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L19 of team T9 discovered at 46427.000000 that M177 is in danger (after 24624ms proces-to-process, 23583ms node-to-node, 6hops, 6versions (10 first, 16 discovered)
leader L19 of team T9 never discovered that M165 is in danger from 30422.
leader L19 of team T9 discovered at 29303.000000 that M166 is in danger (after 11337ms proces-to-process, 9436ms node-to-node, 2hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 42166.000000 that M167 is in danger (after 16976ms proces-to-process, 14806ms node-to-node, 10hops, 3versions (12 first, 15 discovered)
leader L19 of team T9 discovered at 53340.000000 that M178 is in danger (after 29303ms proces-to-process, 28769ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L19 of team T9 discovered at 45382.000000 that M175 is in danger (after 18315ms proces-to-process, 14359ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L19 of team T9 discovered at 32227.000000 that M176 is in danger (after 2394ms proces-to-process, 827ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 27851.000000 that M180 is in danger (after 6493ms proces-to-process, 5871ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L19 of team T9 never discovered that M174 is in danger from 28746.
leader L19 of team T9 discovered at 19052.000000 that M171 is in danger (after 2393ms proces-to-process, 1203ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 34077.000000 that M124 is in danger (after 8073ms proces-to-process, 6210ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 38417.000000 that M125 is in danger (after 14783ms proces-to-process, 12410ms node-to-node, 7hops, 3versions (11 first, 14 discovered)
leader L12 of team T6 discovered at 30757.000000 that M119 is in danger (after 4711ms proces-to-process, 1408ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 39033.000000 that M118 is in danger (after 11743ms proces-to-process, 8989ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 20628.000000 that M122 is in danger (after 4581ms proces-to-process, 3150ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 29947.000000 that M123 is in danger (after 6693ms proces-to-process, 4472ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 41368.000000 that M115 is in danger (after 11336ms proces-to-process, 10793ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 22542.000000 that M114 is in danger (after 5198ms proces-to-process, 3862ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 36306.000000 that M117 is in danger (after 11757ms proces-to-process, 8251ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 25749.000000 that M116 is in danger (after 7821ms proces-to-process, 6814ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 24491.000000 that M128 is in danger (after 3461ms proces-to-process, 1916ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 39500.000000 that M110 is in danger (after 8924ms proces-to-process, 8553ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 48068.000000 that M113 is in danger (after 18913ms proces-to-process, 16448ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L12 of team T6 discovered at 34077.000000 that M129 is in danger (after 14611ms proces-to-process, 13621ms node-to-node, 9hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 30369.000000 that M120 is in danger (after 6258ms proces-to-process, 3313ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 53019.000000 that M121 is in danger (after 24374ms proces-to-process, 23374ms node-to-node, 7hops, 6versions (13 first, 19 discovered)
leader L13 of team T6 never discovered that M124 is in danger from 26004.
leader L13 of team T6 never discovered that M125 is in danger from 23634.
leader L13 of team T6 discovered at 48366.000000 that M119 is in danger (after 22320ms proces-to-process, 19118ms node-to-node, 9hops, 5versions (13 first, 18 discovered)
leader L13 of team T6 never discovered that M118 is in danger from 27290.
leader L13 of team T6 discovered at 45648.000000 that M122 is in danger (after 29601ms proces-to-process, 28166ms node-to-node, 4hops, 10versions (7 first, 17 discovered)
leader L13 of team T6 discovered at 35740.000000 that M123 is in danger (after 12486ms proces-to-process, 9973ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 47061.000000 that M115 is in danger (after 17029ms proces-to-process, 16583ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 never discovered that M114 is in danger from 17344.
leader L13 of team T6 discovered at 43779.000000 that M117 is in danger (after 19230ms proces-to-process, 15902ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 31164.000000 that M116 is in danger (after 13236ms proces-to-process, 11955ms node-to-node, 11hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 21977.000000 that M128 is in danger (after 947ms proces-to-process, 71ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 46122.000000 that M110 is in danger (after 15546ms proces-to-process, 15175ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 49361.000000 that M113 is in danger (after 20206ms proces-to-process, 18362ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L13 of team T6 never discovered that M129 is in danger from 19466.
leader L13 of team T6 discovered at 27770.000000 that M120 is in danger (after 3659ms proces-to-process, 256ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 47061.000000 that M121 is in danger (after 18416ms proces-to-process, 17980ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 46040.000000 that M137 is in danger (after 18161ms proces-to-process, 17247ms node-to-node, 1hops, 7versions (13 first, 20 discovered)
leader L14 of team T7 discovered at 23937.000000 that M136 is in danger (after 2893ms proces-to-process, 1966ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 30553.000000 that M126 is in danger (after 4144ms proces-to-process, 2253ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 25076.000000 that M127 is in danger (after 5908ms proces-to-process, 4351ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 20202.000000 that M133 is in danger (after 2930ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 40669.000000 that M132 is in danger (after 15425ms proces-to-process, 13000ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 26585.000000 that M131 is in danger (after 4350ms proces-to-process, 2676ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 25076.000000 that M130 is in danger (after 6719ms proces-to-process, 6050ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 27600.000000 that M135 is in danger (after 9705ms proces-to-process, 8046ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 31550.000000 that M139 is in danger (after 3044ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 38145.000000 that M138 is in danger (after 7828ms proces-to-process, 7302ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 30686.000000 that M147 is in danger (after 8691ms proces-to-process, 5933ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L14 of team T7 discovered at 35352.000000 that M144 is in danger (after 6778ms proces-to-process, 4387ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 32821.000000 that M134 is in danger (after 12401ms proces-to-process, 10201ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 21368.000000 that M142 is in danger (after 1760ms proces-to-process, 69ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 34961.000000 that M143 is in danger (after 8683ms proces-to-process, 6720ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 32821.000000 that M140 is in danger (after 5382ms proces-to-process, 5158ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 21368.000000 that M141 is in danger (after 4848ms proces-to-process, 3579ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 discovered at 31550.000000 that M148 is in danger (after 7208ms proces-to-process, 6852ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 49529.000000 that M137 is in danger (after 21650ms proces-to-process, 20262ms node-to-node, 6hops, 7versions (13 first, 20 discovered)
leader L15 of team T7 discovered at 24363.000000 that M136 is in danger (after 3319ms proces-to-process, 2568ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 30166.000000 that M126 is in danger (after 3757ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 23688.000000 that M127 is in danger (after 4520ms proces-to-process, 3502ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 20602.000000 that M133 is in danger (after 3330ms proces-to-process, 3217ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 40258.000000 that M132 is in danger (after 15014ms proces-to-process, 13001ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 30966.000000 that M131 is in danger (after 8731ms proces-to-process, 6754ms node-to-node, 4hops, 3versions (10 first, 13 discovered)
leader L15 of team T7 discovered at 26979.000000 that M130 is in danger (after 8622ms proces-to-process, 8060ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 27680.000000 that M135 is in danger (after 9785ms proces-to-process, 8048ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 30966.000000 that M139 is in danger (after 2460ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 36678.000000 that M138 is in danger (after 6361ms proces-to-process, 5493ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 35175.000000 that M147 is in danger (after 13180ms proces-to-process, 10059ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L15 of team T7 discovered at 37004.000000 that M144 is in danger (after 8430ms proces-to-process, 6195ms node-to-node, 10hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 30966.000000 that M134 is in danger (after 10546ms proces-to-process, 7792ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 27680.000000 that M142 is in danger (after 8072ms proces-to-process, 6354ms node-to-node, 9hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 33046.000000 that M143 is in danger (after 6768ms proces-to-process, 4913ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 35175.000000 that M140 is in danger (after 7736ms proces-to-process, 6965ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 23688.000000 that M141 is in danger (after 7168ms proces-to-process, 5990ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 31678.000000 that M148 is in danger (after 7336ms proces-to-process, 6852ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 never discovered that M73 is in danger from 21904.
leader L8 of team T4 discovered at 48244.000000 that M72 is in danger (after 18660ms proces-to-process, 15863ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L8 of team T4 discovered at 59818.000000 that M85 is in danger (after 43600ms proces-to-process, 41223ms node-to-node, 12hops, 13versions (8 first, 21 discovered)
leader L8 of team T4 discovered at 27465.000000 that M77 is in danger (after 10650ms proces-to-process, 8187ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L8 of team T4 discovered at 44027.000000 that M88 is in danger (after 15197ms proces-to-process, 14859ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 never discovered that M75 is in danger from 21968.
leader L8 of team T4 never discovered that M89 is in danger from 26826.
leader L8 of team T4 never discovered that M86 is in danger from 18981.
leader L8 of team T4 discovered at 36254.000000 that M87 is in danger (after 9989ms proces-to-process, 8325ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 32358.000000 that M79 is in danger (after 13929ms proces-to-process, 12316ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 42980.000000 that M78 is in danger (after 23671ms proces-to-process, 22253ms node-to-node, 3hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 33231.000000 that M82 is in danger (after 9972ms proces-to-process, 9120ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L8 of team T4 discovered at 52753.000000 that M83 is in danger (after 22158ms proces-to-process, 19684ms node-to-node, 2hops, 4versions (15 first, 19 discovered)
leader L8 of team T4 discovered at 42135.000000 that M80 is in danger (after 25122ms proces-to-process, 24526ms node-to-node, 5hops, 5versions (7 first, 12 discovered)
leader L8 of team T4 never discovered that M81 is in danger from 20947.
leader L8 of team T4 discovered at 44027.000000 that M93 is in danger (after 19285ms proces-to-process, 18386ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 56434.000000 that M94 is in danger (after 29737ms proces-to-process, 29215ms node-to-node, 8hops, 5versions (12 first, 17 discovered)
leader L8 of team T4 never discovered that M90 is in danger from 25880.
leader L8 of team T4 never discovered that M92 is in danger from 17349.
leader L8 of team T4 discovered at 54527.000000 that M84 is in danger (after 35593ms proces-to-process, 32682ms node-to-node, 3hops, 7versions (9 first, 16 discovered)
leader L9 of team T4 discovered at 35898.000000 that M73 is in danger (after 13994ms proces-to-process, 12626ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L9 of team T4 discovered at 45350.000000 that M72 is in danger (after 15766ms proces-to-process, 13626ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L9 of team T4 discovered at 43085.000000 that M85 is in danger (after 26867ms proces-to-process, 24269ms node-to-node, 3hops, 9versions (8 first, 17 discovered)
leader L9 of team T4 discovered at 32489.000000 that M77 is in danger (after 15674ms proces-to-process, 12892ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 42388.000000 that M88 is in danger (after 13558ms proces-to-process, 13256ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 50042.000000 that M75 is in danger (after 28074ms proces-to-process, 26218ms node-to-node, 5hops, 8versions (11 first, 19 discovered)
leader L9 of team T4 discovered at 41337.000000 that M89 is in danger (after 14511ms proces-to-process, 12986ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 34720.000000 that M86 is in danger (after 15739ms proces-to-process, 12890ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 43808.000000 that M87 is in danger (after 17543ms proces-to-process, 16427ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 34720.000000 that M79 is in danger (after 16291ms proces-to-process, 14514ms node-to-node, 4hops, 3versions (9 first, 12 discovered)
leader L9 of team T4 discovered at 58440.000000 that M78 is in danger (after 39131ms proces-to-process, 37645ms node-to-node, 11hops, 14versions (9 first, 23 discovered)
leader L9 of team T4 never discovered that M82 is in danger from 23259.
leader L9 of team T4 discovered at 46810.000000 that M83 is in danger (after 16215ms proces-to-process, 13229ms node-to-node, 6hops, 1versions (15 first, 16 discovered)
leader L9 of team T4 discovered at 49585.000000 that M80 is in danger (after 32572ms proces-to-process, 31583ms node-to-node, 6hops, 11versions (7 first, 18 discovered)
leader L9 of team T4 discovered at 49585.000000 that M81 is in danger (after 28638ms proces-to-process, 27245ms node-to-node, 9hops, 9versions (9 first, 18 discovered)
leader L9 of team T4 discovered at 40354.000000 that M93 is in danger (after 15612ms proces-to-process, 14754ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L9 of team T4 never discovered that M94 is in danger from 26697.
leader L9 of team T4 discovered at 58149.000000 that M90 is in danger (after 32269ms proces-to-process, 28303ms node-to-node, 7hops, 8versions (13 first, 21 discovered)
leader L9 of team T4 discovered at 20535.000000 that M92 is in danger (after 3186ms proces-to-process, 452ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 never discovered that M84 is in danger from 18934.
leader L10 of team T5 discovered at 26124.000000 that M99 is in danger (after 5599ms proces-to-process, 3219ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 42661.000000 that M98 is in danger (after 19808ms proces-to-process, 19160ms node-to-node, 9hops, 3versions (10 first, 13 discovered)
leader L10 of team T5 discovered at 30088.000000 that M100 is in danger (after 8564ms proces-to-process, 6990ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 38562.000000 that M101 is in danger (after 13058ms proces-to-process, 11763ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 31701.000000 that M106 is in danger (after 7802ms proces-to-process, 6400ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 30088.000000 that M107 is in danger (after 14246ms proces-to-process, 12024ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L10 of team T5 discovered at 28231.000000 that M104 is in danger (after 5187ms proces-to-process, 2111ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L10 of team T5 discovered at 41184.000000 that M103 is in danger (after 21245ms proces-to-process, 19529ms node-to-node, 11hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 never discovered that M91 is in danger from 29809.
leader L10 of team T5 discovered at 31189.000000 that M111 is in danger (after 11625ms proces-to-process, 8967ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 41656.000000 that M108 is in danger (after 23062ms proces-to-process, 20813ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L10 of team T5 discovered at 34819.000000 that M105 is in danger (after 14200ms proces-to-process, 11861ms node-to-node, 1hops, 2versions (10 first, 12 discovered)
leader L10 of team T5 never discovered that M95 is in danger from 25596.
leader L10 of team T5 discovered at 37734.000000 that M97 is in danger (after 17742ms proces-to-process, 15235ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L10 of team T5 discovered at 43493.000000 that M96 is in danger (after 15519ms proces-to-process, 15395ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L10 of team T5 discovered at 21101.000000 that M109 is in danger (after 4762ms proces-to-process, 3410ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L10 of team T5 discovered at 38562.000000 that M112 is in danger (after 16219ms proces-to-process, 13772ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L10 of team T5 discovered at 41184.000000 that M102 is in danger (after 13371ms proces-to-process, 12280ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L11 of team T5 never discovered that M99 is in danger from 20525.
leader L11 of team T5 discovered at 54987.000000 that M98 is in danger (after 32134ms proces-to-process, 31357ms node-to-node, 9hops, 12versions (10 first, 22 discovered)
