Config: 
--------------------------------------------
leader L12 of team T6 discovered at 32397.000000 that M124 is in danger (after 6393ms proces-to-process, 4787ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 33043.000000 that M128 is in danger (after 12013ms proces-to-process, 10758ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 44570.000000 that M120 is in danger (after 20459ms proces-to-process, 17706ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L13 of team T6 discovered at 45648.000000 that M117 is in danger (after 21099ms proces-to-process, 17740ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L13 of team T6 discovered at 30061.000000 that M121 is in danger (after 1416ms proces-to-process, 797ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 29729.000000 that M137 is in danger (after 1850ms proces-to-process, 804ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 25076.000000 that M136 is in danger (after 4032ms proces-to-process, 2981ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 30553.000000 that M126 is in danger (after 4144ms proces-to-process, 2574ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 25704.000000 that M134 is in danger (after 5284ms proces-to-process, 3028ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 25704.000000 that M133 is in danger (after 8191ms proces-to-process, 6712ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 34145.000000 that M132 is in danger (after 8901ms proces-to-process, 6373ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 30686.000000 that M131 is in danger (after 8451ms proces-to-process, 7075ms node-to-node, 5hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 22322.000000 that M135 is in danger (after 4427ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 30553.000000 that M129 is in danger (after 11087ms proces-to-process, 9602ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L14 of team T7 discovered at 32262.000000 that M139 is in danger (after 3756ms proces-to-process, 3108ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 38145.000000 that M138 is in danger (after 7828ms proces-to-process, 7495ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 36607.000000 that M146 is in danger (after 6804ms proces-to-process, 4783ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 29089.000000 that M147 is in danger (after 7094ms proces-to-process, 3426ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L14 of team T7 discovered at 34145.000000 that M144 is in danger (after 5571ms proces-to-process, 3214ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 34145.000000 that M145 is in danger (after 7022ms proces-to-process, 4850ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 23937.000000 that M142 is in danger (after 4329ms proces-to-process, 2286ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 30553.000000 that M143 is in danger (after 4275ms proces-to-process, 1976ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 39568.000000 that M140 is in danger (after 12129ms proces-to-process, 11702ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 23937.000000 that M141 is in danger (after 7417ms proces-to-process, 5884ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L14 of team T7 discovered at 29729.000000 that M148 is in danger (after 5387ms proces-to-process, 5145ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 32598.000000 that M137 is in danger (after 4719ms proces-to-process, 3543ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 33046.000000 that M136 is in danger (after 12002ms proces-to-process, 11230ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 45080.000000 that M126 is in danger (after 18671ms proces-to-process, 16288ms node-to-node, 8hops, 5versions (13 first, 18 discovered)
leader L15 of team T7 discovered at 24363.000000 that M134 is in danger (after 3943ms proces-to-process, 1681ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 34094.000000 that M133 is in danger (after 16581ms proces-to-process, 15044ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 49529.000000 that M132 is in danger (after 24285ms proces-to-process, 22042ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L15 of team T7 discovered at 39710.000000 that M131 is in danger (after 17475ms proces-to-process, 15858ms node-to-node, 4hops, 4versions (10 first, 14 discovered)
leader L15 of team T7 discovered at 30966.000000 that M135 is in danger (after 13071ms proces-to-process, 11543ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L15 of team T7 discovered at 30166.000000 that M129 is in danger (after 10700ms proces-to-process, 9715ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 37961.000000 that M139 is in danger (after 9455ms proces-to-process, 9100ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 30966.000000 that M138 is in danger (after 649ms proces-to-process, 594ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 42013.000000 that M146 is in danger (after 12210ms proces-to-process, 10065ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 43185.000000 that M147 is in danger (after 21190ms proces-to-process, 18109ms node-to-node, 4hops, 7versions (11 first, 18 discovered)
leader L15 of team T7 discovered at 40846.000000 that M144 is in danger (after 12272ms proces-to-process, 9581ms node-to-node, 2hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 40258.000000 that M145 is in danger (after 13135ms proces-to-process, 10917ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 27680.000000 that M142 is in danger (after 8072ms proces-to-process, 5967ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 35175.000000 that M143 is in danger (after 8897ms proces-to-process, 6376ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L15 of team T7 discovered at 39710.000000 that M140 is in danger (after 12271ms proces-to-process, 12130ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 28855.000000 that M141 is in danger (after 12335ms proces-to-process, 11565ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L15 of team T7 discovered at 31678.000000 that M148 is in danger (after 7336ms proces-to-process, 6722ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 52337.000000 that M72 is in danger (after 22753ms proces-to-process, 20476ms node-to-node, 12hops, 3versions (14 first, 17 discovered)
leader L8 of team T4 discovered at 37309.000000 that M85 is in danger (after 21091ms proces-to-process, 18345ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L8 of team T4 discovered at 39270.000000 that M77 is in danger (after 22455ms proces-to-process, 19261ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 33231.000000 that M88 is in danger (after 4401ms proces-to-process, 3554ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 38155.000000 that M75 is in danger (after 16187ms proces-to-process, 14501ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L8 of team T4 discovered at 42085.000000 that M89 is in danger (after 15259ms proces-to-process, 14317ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 32358.000000 that M86 is in danger (after 13377ms proces-to-process, 9931ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 47252.000000 that M87 is in danger (after 20987ms proces-to-process, 19979ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 33231.000000 that M79 is in danger (after 14802ms proces-to-process, 13340ms node-to-node, 2hops, 3versions (9 first, 12 discovered)
leader L8 of team T4 discovered at 33231.000000 that M78 is in danger (after 13922ms proces-to-process, 12089ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 57165.000000 that M82 is in danger (after 33906ms proces-to-process, 33472ms node-to-node, 4hops, 10versions (11 first, 21 discovered)
leader L8 of team T4 discovered at 44078.000000 that M83 is in danger (after 13483ms proces-to-process, 10980ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 never discovered that M80 is in danger from 17013.
leader L8 of team T4 discovered at 38155.000000 that M81 is in danger (after 17208ms proces-to-process, 15799ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 41751.000000 that M94 is in danger (after 15054ms proces-to-process, 14740ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L8 of team T4 discovered at 56084.000000 that M90 is in danger (after 30204ms proces-to-process, 26577ms node-to-node, 8hops, 4versions (13 first, 17 discovered)
leader L8 of team T4 discovered at 22313.000000 that M84 is in danger (after 3379ms proces-to-process, 244ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 31847.000000 that M72 is in danger (after 2263ms proces-to-process, 27ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L9 of team T4 discovered at 38391.000000 that M85 is in danger (after 22173ms proces-to-process, 19559ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 discovered at 20535.000000 that M77 is in danger (after 3720ms proces-to-process, 856ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 never discovered that M88 is in danger from 28830.
leader L9 of team T4 discovered at 26093.000000 that M75 is in danger (after 4125ms proces-to-process, 2464ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 37894.000000 that M89 is in danger (after 11068ms proces-to-process, 10372ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 discovered at 41337.000000 that M86 is in danger (after 22356ms proces-to-process, 18929ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 48090.000000 that M87 is in danger (after 21825ms proces-to-process, 20784ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L9 of team T4 discovered at 27865.000000 that M79 is in danger (after 9436ms proces-to-process, 7781ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 26093.000000 that M78 is in danger (after 6784ms proces-to-process, 5225ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 30267.000000 that M82 is in danger (after 7008ms proces-to-process, 6504ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L9 of team T4 discovered at 45350.000000 that M83 is in danger (after 14755ms proces-to-process, 12182ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L9 of team T4 never discovered that M80 is in danger from 17013.
leader L9 of team T4 discovered at 27997.000000 that M81 is in danger (after 7050ms proces-to-process, 5976ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 35156.000000 that M94 is in danger (after 8459ms proces-to-process, 8125ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L9 of team T4 discovered at 56525.000000 that M90 is in danger (after 30645ms proces-to-process, 27400ms node-to-node, 11hops, 8versions (13 first, 21 discovered)
leader L9 of team T4 discovered at 30267.000000 that M84 is in danger (after 11333ms proces-to-process, 8755ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L10 of team T5 discovered at 41184.000000 that M99 is in danger (after 20659ms proces-to-process, 18336ms node-to-node, 11hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 50929.000000 that M98 is in danger (after 28076ms proces-to-process, 27447ms node-to-node, 11hops, 8versions (10 first, 18 discovered)
leader L10 of team T5 never discovered that M100 is in danger from 21524.
leader L10 of team T5 discovered at 43103.000000 that M101 is in danger (after 17599ms proces-to-process, 16908ms node-to-node, 9hops, 3versions (11 first, 14 discovered)
leader L10 of team T5 discovered at 59731.000000 that M106 is in danger (after 35832ms proces-to-process, 34781ms node-to-node, 5hops, 11versions (11 first, 22 discovered)
leader L10 of team T5 discovered at 31189.000000 that M107 is in danger (after 14847ms proces-to-process, 13202ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L10 of team T5 discovered at 42661.000000 that M104 is in danger (after 19617ms proces-to-process, 16424ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L10 of team T5 discovered at 44729.000000 that M103 is in danger (after 24790ms proces-to-process, 23057ms node-to-node, 9hops, 5versions (10 first, 15 discovered)
leader L10 of team T5 never discovered that M91 is in danger from 29809.
leader L10 of team T5 discovered at 45714.000000 that M93 is in danger (after 20972ms proces-to-process, 19929ms node-to-node, 16hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 32210.000000 that M92 is in danger (after 14861ms proces-to-process, 12416ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L10 of team T5 discovered at 52816.000000 that M95 is in danger (after 27220ms proces-to-process, 25025ms node-to-node, 15hops, 3versions (12 first, 15 discovered)
leader L10 of team T5 discovered at 46683.000000 that M97 is in danger (after 26691ms proces-to-process, 23831ms node-to-node, 7hops, 8versions (9 first, 17 discovered)
leader L10 of team T5 discovered at 48097.000000 that M96 is in danger (after 20123ms proces-to-process, 19767ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L10 of team T5 discovered at 20133.000000 that M109 is in danger (after 3794ms proces-to-process, 2188ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L10 of team T5 discovered at 32876.000000 that M105 is in danger (after 12257ms proces-to-process, 9656ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 39089.000000 that M112 is in danger (after 16746ms proces-to-process, 14077ms node-to-node, 12hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 41184.000000 that M102 is in danger (after 13371ms proces-to-process, 12395ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L11 of team T5 discovered at 27839.000000 that M99 is in danger (after 7314ms proces-to-process, 4462ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 27839.000000 that M98 is in danger (after 4986ms proces-to-process, 4726ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 never discovered that M100 is in danger from 21524.
leader L11 of team T5 discovered at 31029.000000 that M101 is in danger (after 5525ms proces-to-process, 4595ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L11 of team T5 discovered at 28478.000000 that M106 is in danger (after 4579ms proces-to-process, 3437ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L11 of team T5 discovered at 23921.000000 that M107 is in danger (after 7579ms proces-to-process, 5292ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L11 of team T5 discovered at 31029.000000 that M104 is in danger (after 7985ms proces-to-process, 4423ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L11 of team T5 discovered at 23921.000000 that M103 is in danger (after 3982ms proces-to-process, 1932ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L11 of team T5 discovered at 42570.000000 that M91 is in danger (after 12761ms proces-to-process, 10180ms node-to-node, 7hops, 1versions (15 first, 16 discovered)
leader L11 of team T5 discovered at 35058.000000 that M93 is in danger (after 10316ms proces-to-process, 9556ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L11 of team T5 discovered at 21438.000000 that M92 is in danger (after 4089ms proces-to-process, 1408ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L11 of team T5 discovered at 39508.000000 that M95 is in danger (after 13912ms proces-to-process, 11710ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L11 of team T5 discovered at 28478.000000 that M97 is in danger (after 8486ms proces-to-process, 6241ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L11 of team T5 discovered at 40404.000000 that M96 is in danger (after 12430ms proces-to-process, 11958ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L11 of team T5 discovered at 21438.000000 that M109 is in danger (after 5099ms proces-to-process, 3435ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L11 of team T5 discovered at 24634.000000 that M105 is in danger (after 4015ms proces-to-process, 1409ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 26395.000000 that M112 is in danger (after 4052ms proces-to-process, 1214ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L11 of team T5 discovered at 30346.000000 that M102 is in danger (after 2533ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L4 of team T2 discovered at 23657.000000 that M55 is in danger (after 7402ms proces-to-process, 6979ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 47997.000000 that M48 is in danger (after 28204ms proces-to-process, 26604ms node-to-node, 7hops, 6versions (9 first, 15 discovered)
leader L4 of team T2 discovered at 21568.000000 that M49 is in danger (after 2969ms proces-to-process, 7ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 32520.000000 that M51 is in danger (after 11851ms proces-to-process, 9643ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L4 of team T2 discovered at 27632.000000 that M50 is in danger (after 10631ms proces-to-process, 9262ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 58103.000000 that M39 is in danger (after 34510ms proces-to-process, 31792ms node-to-node, 9hops, 7versions (12 first, 19 discovered)
leader L4 of team T2 discovered at 40123.000000 that M52 is in danger (after 16764ms proces-to-process, 14610ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 47997.000000 that M42 is in danger (after 18146ms proces-to-process, 16817ms node-to-node, 9hops, 1versions (14 first, 15 discovered)
leader L4 of team T2 discovered at 23657.000000 that M36 is in danger (after 8012ms proces-to-process, 5735ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 36683.000000 that M40 is in danger (after 13418ms proces-to-process, 10490ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 38573.000000 that M41 is in danger (after 11346ms proces-to-process, 10016ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 36683.000000 that M46 is in danger (after 11180ms proces-to-process, 11029ms node-to-node, 11hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 32520.000000 that M47 is in danger (after 15097ms proces-to-process, 13150ms node-to-node, 6hops, 3versions (8 first, 11 discovered)
leader L4 of team T2 discovered at 35712.000000 that M44 is in danger (after 11297ms proces-to-process, 9575ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 36683.000000 that M45 is in danger (after 14295ms proces-to-process, 13780ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 30535.000000 that M56 is in danger (after 11413ms proces-to-process, 9427ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 31665.000000 that M53 is in danger (after 15991ms proces-to-process, 14334ms node-to-node, 2hops, 3versions (7 first, 10 discovered)
leader L4 of team T2 discovered at 40123.000000 that M43 is in danger (after 18988ms proces-to-process, 16139ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L5 of team T2 discovered at 35949.000000 that M55 is in danger (after 19694ms proces-to-process, 18808ms node-to-node, 8hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 36590.000000 that M48 is in danger (after 16797ms proces-to-process, 15432ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L5 of team T2 discovered at 38187.000000 that M49 is in danger (after 19588ms proces-to-process, 16331ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 28733.000000 that M51 is in danger (after 8064ms proces-to-process, 5700ms node-to-node, 5hops, 2versions (10 first, 12 discovered)
leader L5 of team T2 discovered at 30663.000000 that M50 is in danger (after 13662ms proces-to-process, 12515ms node-to-node, 8hops, 4versions (8 first, 12 discovered)
leader L5 of team T2 discovered at 53551.000000 that M39 is in danger (after 29958ms proces-to-process, 27740ms node-to-node, 11hops, 7versions (12 first, 19 discovered)
leader L5 of team T2 discovered at 33604.000000 that M52 is in danger (after 10245ms proces-to-process, 8209ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 40459.000000 that M42 is in danger (after 10608ms proces-to-process, 9114ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L5 of team T2 discovered at 28202.000000 that M36 is in danger (after 12557ms proces-to-process, 10057ms node-to-node, 4hops, 3versions (7 first, 10 discovered)
leader L5 of team T2 discovered at 30069.000000 that M40 is in danger (after 6804ms proces-to-process, 4007ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 37235.000000 that M41 is in danger (after 10008ms proces-to-process, 8614ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L5 of team T2 discovered at 31057.000000 that M46 is in danger (after 5554ms proces-to-process, 5175ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 28202.000000 that M47 is in danger (after 10779ms proces-to-process, 8811ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L5 of team T2 discovered at 32174.000000 that M44 is in danger (after 7759ms proces-to-process, 5573ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 30069.000000 that M45 is in danger (after 7681ms proces-to-process, 7036ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 34577.000000 that M56 is in danger (after 15455ms proces-to-process, 13295ms node-to-node, 6hops, 5versions (9 first, 14 discovered)
leader L5 of team T2 discovered at 27136.000000 that M53 is in danger (after 11462ms proces-to-process, 9602ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 34577.000000 that M43 is in danger (after 13442ms proces-to-process, 9768ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 34030.000000 that M60 is in danger (after 8594ms proces-to-process, 8466ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 29589.000000 that M54 is in danger (after 11076ms proces-to-process, 9826ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
