Config: 
--------------------------------------------
leader L16 of team T8 discovered at 23458.000000 that M150 is in danger (after 2269ms proces-to-process, 2013ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 25602.000000 that M147 is in danger (after 3607ms proces-to-process, 797ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 never discovered that M153 is in danger from 20405.
leader L17 of team T8 discovered at 44125.000000 that M152 is in danger (after 15637ms proces-to-process, 15062ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 53670.000000 that M155 is in danger (after 32435ms proces-to-process, 31900ms node-to-node, 8hops, 8versions (10 first, 18 discovered)
leader L17 of team T8 discovered at 52729.000000 that M154 is in danger (after 29840ms proces-to-process, 27548ms node-to-node, 6hops, 7versions (11 first, 18 discovered)
leader L17 of team T8 never discovered that M156 is in danger from 23607.
leader L17 of team T8 discovered at 42216.000000 that M159 is in danger (after 25487ms proces-to-process, 22290ms node-to-node, 6hops, 3versions (8 first, 11 discovered)
leader L17 of team T8 never discovered that M158 is in danger from 18620.
leader L17 of team T8 never discovered that M148 is in danger from 24342.
leader L17 of team T8 discovered at 49241.000000 that M149 is in danger (after 26210ms proces-to-process, 25624ms node-to-node, 5hops, 7versions (11 first, 18 discovered)
leader L18 of team T9 discovered at 48538.000000 that M168 is in danger (after 20776ms proces-to-process, 19856ms node-to-node, 5hops, 7versions (14 first, 21 discovered)
leader L18 of team T9 discovered at 38264.000000 that M169 is in danger (after 12578ms proces-to-process, 12276ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 52746.000000 that M179 is in danger (after 29794ms proces-to-process, 27565ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L18 of team T9 discovered at 43805.000000 that M170 is in danger (after 16279ms proces-to-process, 14038ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 never discovered that M173 is in danger from 26371.
leader L18 of team T9 discovered at 53866.000000 that M172 is in danger (after 34881ms proces-to-process, 33706ms node-to-node, 6hops, 12versions (8 first, 20 discovered)
leader L18 of team T9 discovered at 29933.000000 that M162 is in danger (after 7890ms proces-to-process, 7100ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L18 of team T9 discovered at 42950.000000 that M163 is in danger (after 13798ms proces-to-process, 12283ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 38108.000000 that M177 is in danger (after 16305ms proces-to-process, 14903ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 51919.000000 that M165 is in danger (after 21497ms proces-to-process, 19338ms node-to-node, 5hops, 5versions (14 first, 19 discovered)
leader L18 of team T9 discovered at 49584.000000 that M166 is in danger (after 31618ms proces-to-process, 29841ms node-to-node, 5hops, 7versions (8 first, 15 discovered)
leader L18 of team T9 discovered at 42015.000000 that M167 is in danger (after 16825ms proces-to-process, 15261ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 43805.000000 that M178 is in danger (after 19768ms proces-to-process, 19400ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 55369.000000 that M175 is in danger (after 28302ms proces-to-process, 24396ms node-to-node, 7hops, 6versions (14 first, 20 discovered)
leader L18 of team T9 discovered at 45454.000000 that M181 is in danger (after 20117ms proces-to-process, 17807ms node-to-node, 5hops, 5versions (13 first, 18 discovered)
leader L18 of team T9 discovered at 45454.000000 that M176 is in danger (after 15621ms proces-to-process, 14271ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 46763.000000 that M174 is in danger (after 18017ms proces-to-process, 17086ms node-to-node, 3hops, 6versions (13 first, 19 discovered)
leader L18 of team T9 discovered at 28095.000000 that M171 is in danger (after 11436ms proces-to-process, 10332ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L19 of team T9 discovered at 41236.000000 that M168 is in danger (after 13474ms proces-to-process, 12346ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 39437.000000 that M169 is in danger (after 13751ms proces-to-process, 13440ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 51212.000000 that M179 is in danger (after 28260ms proces-to-process, 26303ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L19 of team T9 discovered at 32227.000000 that M170 is in danger (after 4701ms proces-to-process, 1759ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L19 of team T9 discovered at 36613.000000 that M173 is in danger (after 10242ms proces-to-process, 7957ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 34197.000000 that M172 is in danger (after 15212ms proces-to-process, 14330ms node-to-node, 2hops, 3versions (8 first, 11 discovered)
leader L19 of team T9 discovered at 39255.000000 that M162 is in danger (after 17212ms proces-to-process, 17070ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L19 of team T9 discovered at 38310.000000 that M163 is in danger (after 9158ms proces-to-process, 7746ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 46427.000000 that M177 is in danger (after 24624ms proces-to-process, 23541ms node-to-node, 6hops, 6versions (10 first, 16 discovered)
leader L19 of team T9 discovered at 33677.000000 that M165 is in danger (after 3255ms proces-to-process, 1247ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 21276.000000 that M166 is in danger (after 3310ms proces-to-process, 1422ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L19 of team T9 discovered at 32227.000000 that M167 is in danger (after 7037ms proces-to-process, 4914ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 40282.000000 that M178 is in danger (after 16245ms proces-to-process, 15669ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 35257.000000 that M175 is in danger (after 8190ms proces-to-process, 3770ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 52775.000000 that M181 is in danger (after 27438ms proces-to-process, 25737ms node-to-node, 5hops, 7versions (13 first, 20 discovered)
leader L19 of team T9 discovered at 38813.000000 that M176 is in danger (after 8980ms proces-to-process, 7521ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 56832.000000 that M174 is in danger (after 28086ms proces-to-process, 27306ms node-to-node, 3hops, 8versions (13 first, 21 discovered)
leader L19 of team T9 discovered at 42888.000000 that M171 is in danger (after 26229ms proces-to-process, 25168ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L12 of team T6 discovered at 58522.000000 that M124 is in danger (after 32518ms proces-to-process, 30942ms node-to-node, 8hops, 9versions (13 first, 22 discovered)
leader L12 of team T6 discovered at 31925.000000 that M125 is in danger (after 8291ms proces-to-process, 6302ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 50721.000000 that M116 is in danger (after 32793ms proces-to-process, 31658ms node-to-node, 9hops, 8versions (8 first, 16 discovered)
leader L12 of team T6 discovered at 51639.000000 that M119 is in danger (after 25593ms proces-to-process, 21871ms node-to-node, 5hops, 6versions (13 first, 19 discovered)
leader L12 of team T6 discovered at 43107.000000 that M118 is in danger (after 15817ms proces-to-process, 13069ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 30369.000000 that M122 is in danger (after 14322ms proces-to-process, 12833ms node-to-node, 2hops, 4versions (7 first, 11 discovered)
leader L12 of team T6 discovered at 40445.000000 that M123 is in danger (after 17191ms proces-to-process, 14977ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 48068.000000 that M115 is in danger (after 18036ms proces-to-process, 17574ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L12 of team T6 discovered at 34552.000000 that M114 is in danger (after 17208ms proces-to-process, 15767ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 39500.000000 that M108 is in danger (after 20906ms proces-to-process, 18523ms node-to-node, 9hops, 3versions (9 first, 12 discovered)
leader L12 of team T6 discovered at 28738.000000 that M109 is in danger (after 12399ms proces-to-process, 10911ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 27028.000000 that M129 is in danger (after 7562ms proces-to-process, 6836ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 46796.000000 that M113 is in danger (after 17641ms proces-to-process, 15476ms node-to-node, 5hops, 3versions (14 first, 17 discovered)
leader L12 of team T6 discovered at 28987.000000 that M127 is in danger (after 9819ms proces-to-process, 8698ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 48068.000000 that M120 is in danger (after 23957ms proces-to-process, 21232ms node-to-node, 8hops, 5versions (12 first, 17 discovered)
leader L12 of team T6 discovered at 43207.000000 that M117 is in danger (after 18658ms proces-to-process, 15444ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 37524.000000 that M121 is in danger (after 8879ms proces-to-process, 8442ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 45239.000000 that M124 is in danger (after 19235ms proces-to-process, 17649ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L13 of team T6 discovered at 26944.000000 that M125 is in danger (after 3310ms proces-to-process, 1413ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 35740.000000 that M116 is in danger (after 17812ms proces-to-process, 16460ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L13 of team T6 discovered at 35740.000000 that M119 is in danger (after 9694ms proces-to-process, 6212ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 38895.000000 that M118 is in danger (after 11605ms proces-to-process, 8734ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 21101.000000 that M122 is in danger (after 5054ms proces-to-process, 3150ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 34515.000000 that M123 is in danger (after 11261ms proces-to-process, 8606ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 47061.000000 that M115 is in danger (after 17029ms proces-to-process, 16240ms node-to-node, 9hops, 4versions (13 first, 17 discovered)
leader L13 of team T6 discovered at 24285.000000 that M114 is in danger (after 6941ms proces-to-process, 5791ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 26791.000000 that M108 is in danger (after 8197ms proces-to-process, 5617ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 24997.000000 that M109 is in danger (after 8658ms proces-to-process, 7290ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 22988.000000 that M129 is in danger (after 3522ms proces-to-process, 2614ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 38322.000000 that M113 is in danger (after 9167ms proces-to-process, 7110ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 24997.000000 that M127 is in danger (after 5829ms proces-to-process, 4460ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 44570.000000 that M120 is in danger (after 20459ms proces-to-process, 17854ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L13 of team T6 discovered at 39508.000000 that M117 is in danger (after 14959ms proces-to-process, 11504ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 31893.000000 that M121 is in danger (after 3248ms proces-to-process, 2743ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 52560.000000 that M137 is in danger (after 24681ms proces-to-process, 23821ms node-to-node, 9hops, 4versions (13 first, 17 discovered)
leader L14 of team T7 discovered at 47076.000000 that M136 is in danger (after 26032ms proces-to-process, 25492ms node-to-node, 9hops, 3versions (10 first, 13 discovered)
leader L14 of team T7 discovered at 44154.000000 that M126 is in danger (after 17745ms proces-to-process, 15666ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 43239.000000 that M134 is in danger (after 22819ms proces-to-process, 20502ms node-to-node, 12hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 37352.000000 that M133 is in danger (after 20080ms proces-to-process, 19328ms node-to-node, 8hops, 4versions (8 first, 12 discovered)
leader L14 of team T7 discovered at 50037.000000 that M132 is in danger (after 24793ms proces-to-process, 22882ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 37352.000000 that M131 is in danger (after 15117ms proces-to-process, 13436ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 42489.000000 that M130 is in danger (after 24132ms proces-to-process, 23718ms node-to-node, 8hops, 6versions (8 first, 14 discovered)
leader L14 of team T7 discovered at 45292.000000 that M128 is in danger (after 24262ms proces-to-process, 22908ms node-to-node, 10hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 35352.000000 that M135 is in danger (after 17457ms proces-to-process, 15615ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 29729.000000 that M139 is in danger (after 1223ms proces-to-process, 391ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 35352.000000 that M138 is in danger (after 5035ms proces-to-process, 4761ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 45769.000000 that M146 is in danger (after 15966ms proces-to-process, 13812ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L14 of team T7 discovered at 58499.000000 that M144 is in danger (after 29925ms proces-to-process, 27137ms node-to-node, 12hops, 5versions (14 first, 19 discovered)
leader L14 of team T7 never discovered that M145 is in danger from 27123.
leader L14 of team T7 discovered at 31800.000000 that M142 is in danger (after 12192ms proces-to-process, 10517ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L14 of team T7 discovered at 28062.000000 that M143 is in danger (after 1784ms proces-to-process, 7ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 51837.000000 that M140 is in danger (after 24398ms proces-to-process, 24023ms node-to-node, 4hops, 5versions (13 first, 18 discovered)
leader L14 of team T7 discovered at 27600.000000 that M141 is in danger (after 11080ms proces-to-process, 9769ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 42578.000000 that M137 is in danger (after 14699ms proces-to-process, 13528ms node-to-node, 2hops, 4versions (13 first, 17 discovered)
leader L15 of team T7 discovered at 24871.000000 that M136 is in danger (after 3827ms proces-to-process, 3312ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 49918.000000 that M126 is in danger (after 23509ms proces-to-process, 21811ms node-to-node, 3hops, 6versions (13 first, 19 discovered)
leader L15 of team T7 discovered at 35175.000000 that M134 is in danger (after 14755ms proces-to-process, 12130ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 36678.000000 that M133 is in danger (after 19406ms proces-to-process, 18689ms node-to-node, 6hops, 5versions (8 first, 13 discovered)
leader L15 of team T7 discovered at 47598.000000 that M132 is in danger (after 22354ms proces-to-process, 20494ms node-to-node, 9hops, 2versions (12 first, 14 discovered)
leader L15 of team T7 discovered at 31915.000000 that M131 is in danger (after 9680ms proces-to-process, 8121ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 27680.000000 that M130 is in danger (after 9323ms proces-to-process, 8580ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 39209.000000 that M128 is in danger (after 18179ms proces-to-process, 17218ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 40846.000000 that M135 is in danger (after 22951ms proces-to-process, 21370ms node-to-node, 5hops, 5versions (9 first, 14 discovered)
leader L15 of team T7 never discovered that M139 is in danger from 28506.
leader L15 of team T7 discovered at 48566.000000 that M138 is in danger (after 18249ms proces-to-process, 18122ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 49529.000000 that M146 is in danger (after 19726ms proces-to-process, 17076ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 34094.000000 that M144 is in danger (after 5520ms proces-to-process, 2875ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L15 of team T7 discovered at 30966.000000 that M145 is in danger (after 3843ms proces-to-process, 1190ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L15 of team T7 discovered at 41509.000000 that M142 is in danger (after 21901ms proces-to-process, 20082ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L15 of team T7 discovered at 52173.000000 that M143 is in danger (after 25895ms proces-to-process, 23736ms node-to-node, 7hops, 5versions (12 first, 17 discovered)
leader L15 of team T7 discovered at 35746.000000 that M140 is in danger (after 8307ms proces-to-process, 8118ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 45080.000000 that M141 is in danger (after 28560ms proces-to-process, 26961ms node-to-node, 5hops, 7versions (7 first, 14 discovered)
leader L8 of team T4 discovered at 22871.000000 that M85 is in danger (after 6653ms proces-to-process, 4124ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 27465.000000 that M77 is in danger (after 10650ms proces-to-process, 7994ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 31524.000000 that M76 is in danger (after 6244ms proces-to-process, 2444ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 39616.000000 that M88 is in danger (after 10786ms proces-to-process, 10410ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 39270.000000 that M74 is in danger (after 15623ms proces-to-process, 13853ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L8 of team T4 discovered at 25291.000000 that M86 is in danger (after 6310ms proces-to-process, 3432ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 39270.000000 that M87 is in danger (after 13005ms proces-to-process, 11552ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 20954.000000 that M79 is in danger (after 2525ms proces-to-process, 1410ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L8 of team T4 discovered at 27879.000000 that M78 is in danger (after 8570ms proces-to-process, 6966ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 31376.000000 that M82 is in danger (after 8117ms proces-to-process, 7477ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 39270.000000 that M83 is in danger (after 8675ms proces-to-process, 5728ms node-to-node, 1hops, 1versions (15 first, 16 discovered)
leader L8 of team T4 discovered at 21640.000000 that M80 is in danger (after 4627ms proces-to-process, 4229ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L8 of team T4 discovered at 25945.000000 that M81 is in danger (after 4998ms proces-to-process, 3492ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 39989.000000 that M91 is in danger (after 10180ms proces-to-process, 7536ms node-to-node, 5hops, 1versions (15 first, 16 discovered)
leader L8 of team T4 discovered at 28862.000000 that M89 is in danger (after 2036ms proces-to-process, 807ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L8 of team T4 discovered at 23792.000000 that M84 is in danger (after 4858ms proces-to-process, 1929ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 34720.000000 that M85 is in danger (after 18502ms proces-to-process, 15777ms node-to-node, 5hops, 5versions (8 first, 13 discovered)
leader L9 of team T4 discovered at 27271.000000 that M77 is in danger (after 10456ms proces-to-process, 7994ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L9 of team T4 discovered at 40184.000000 that M76 is in danger (after 14904ms proces-to-process, 10407ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L9 of team T4 never discovered that M88 is in danger from 28830.
leader L9 of team T4 discovered at 25568.000000 that M74 is in danger (after 1921ms proces-to-process, 202ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 discovered at 26364.000000 that M86 is in danger (after 7383ms proces-to-process, 4487ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 48090.000000 that M87 is in danger (after 21825ms proces-to-process, 20724ms node-to-node, 9hops, 3versions (13 first, 16 discovered)
leader L9 of team T4 discovered at 33887.000000 that M79 is in danger (after 15458ms proces-to-process, 13768ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 26093.000000 that M78 is in danger (after 6784ms proces-to-process, 5430ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 44391.000000 that M82 is in danger (after 21132ms proces-to-process, 20523ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L9 of team T4 never discovered that M83 is in danger from 30595.
leader L9 of team T4 discovered at 29665.000000 that M80 is in danger (after 12652ms proces-to-process, 12262ms node-to-node, 7hops, 3versions (7 first, 10 discovered)
leader L9 of team T4 discovered at 29665.000000 that M81 is in danger (after 8718ms proces-to-process, 7375ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 54991.000000 that M91 is in danger (after 25182ms proces-to-process, 22451ms node-to-node, 5hops, 7versions (15 first, 22 discovered)
leader L9 of team T4 discovered at 33887.000000 that M89 is in danger (after 7061ms proces-to-process, 6009ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 43085.000000 that M84 is in danger (after 24151ms proces-to-process, 21473ms node-to-node, 5hops, 8versions (9 first, 17 discovered)
leader L10 of team T5 discovered at 23678.000000 that M99 is in danger (after 3153ms proces-to-process, 854ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 34819.000000 that M98 is in danger (after 11966ms proces-to-process, 11525ms node-to-node, 9hops, 1versions (10 first, 11 discovered)
leader L10 of team T5 discovered at 23155.000000 that M100 is in danger (after 1631ms proces-to-process, 129ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 48097.000000 that M101 is in danger (after 22593ms proces-to-process, 21762ms node-to-node, 6hops, 8versions (11 first, 19 discovered)
leader L10 of team T5 never discovered that M106 is in danger from 23899.
leader L10 of team T5 never discovered that M107 is in danger from 15842.
leader L10 of team T5 discovered at 31701.000000 that M104 is in danger (after 8657ms proces-to-process, 5348ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L10 of team T5 discovered at 37348.000000 that M103 is in danger (after 17409ms proces-to-process, 15813ms node-to-node, 6hops, 4versions (10 first, 14 discovered)
leader L10 of team T5 discovered at 37734.000000 that M90 is in danger (after 11854ms proces-to-process, 8448ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L10 of team T5 discovered at 48320.000000 that M93 is in danger (after 23578ms proces-to-process, 22798ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L10 of team T5 discovered at 45714.000000 that M92 is in danger (after 28365ms proces-to-process, 25069ms node-to-node, 12hops, 3versions (9 first, 12 discovered)
leader L10 of team T5 discovered at 37734.000000 that M95 is in danger (after 12138ms proces-to-process, 9786ms node-to-node, 2hops, 3versions (12 first, 15 discovered)
leader L10 of team T5 never discovered that M94 is in danger from 26697.
leader L10 of team T5 discovered at 42661.000000 that M97 is in danger (after 22669ms proces-to-process, 20088ms node-to-node, 8hops, 3versions (9 first, 12 discovered)
leader L10 of team T5 never discovered that M96 is in danger from 27974.
leader L10 of team T5 never discovered that M111 is in danger from 19564.
leader L10 of team T5 never discovered that M110 is in danger from 30576.
leader L10 of team T5 never discovered that M105 is in danger from 20619.
leader L10 of team T5 never discovered that M112 is in danger from 22343.
leader L10 of team T5 discovered at 45714.000000 that M102 is in danger (after 17901ms proces-to-process, 17433ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L11 of team T5 discovered at 31896.000000 that M99 is in danger (after 11371ms proces-to-process, 9083ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 32950.000000 that M98 is in danger (after 10097ms proces-to-process, 10004ms node-to-node, 8hops, 1versions (10 first, 11 discovered)
leader L11 of team T5 discovered at 27839.000000 that M100 is in danger (after 6315ms proces-to-process, 4192ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
