Config: 
--------------------------------------------
leader L16 of team T8 discovered at 26757.000000 that M160 is in danger (after 11109ms proces-to-process, 8442ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L14 of team T7 discovered at 42489.000000 that M143 is in danger (after 16211ms proces-to-process, 14204ms node-to-node, 7hops, 2versions (12 first, 14 discovered)
leader L14 of team T7 discovered at 54407.000000 that M140 is in danger (after 26968ms proces-to-process, 26453ms node-to-node, 8hops, 3versions (13 first, 16 discovered)
leader L14 of team T7 discovered at 29089.000000 that M141 is in danger (after 12569ms proces-to-process, 10963ms node-to-node, 10hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 discovered at 32821.000000 that M142 is in danger (after 13213ms proces-to-process, 11203ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 40846.000000 that M137 is in danger (after 12967ms proces-to-process, 12151ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L15 of team T7 discovered at 29813.000000 that M136 is in danger (after 8769ms proces-to-process, 8281ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 34094.000000 that M126 is in danger (after 7685ms proces-to-process, 5900ms node-to-node, 1hops, 3versions (13 first, 16 discovered)
leader L15 of team T7 never discovered that M134 is in danger from 20420.
leader L15 of team T7 discovered at 22674.000000 that M133 is in danger (after 5161ms proces-to-process, 3218ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 34094.000000 that M132 is in danger (after 8850ms proces-to-process, 6569ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L15 of team T7 discovered at 30166.000000 that M131 is in danger (after 7931ms proces-to-process, 6512ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 20196.000000 that M130 is in danger (after 1839ms proces-to-process, 1524ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L15 of team T7 never discovered that M129 is in danger from 19466.
leader L15 of team T7 discovered at 36678.000000 that M139 is in danger (after 8172ms proces-to-process, 7657ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 37004.000000 that M138 is in danger (after 6687ms proces-to-process, 6672ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 49529.000000 that M146 is in danger (after 19726ms proces-to-process, 17684ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L15 of team T7 discovered at 32598.000000 that M147 is in danger (after 10603ms proces-to-process, 7716ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 37521.000000 that M145 is in danger (after 10398ms proces-to-process, 8065ms node-to-node, 3hops, 4versions (13 first, 17 discovered)
leader L15 of team T7 discovered at 31678.000000 that M135 is in danger (after 13783ms proces-to-process, 12161ms node-to-node, 7hops, 3versions (9 first, 12 discovered)
leader L15 of team T7 discovered at 35175.000000 that M143 is in danger (after 8897ms proces-to-process, 6368ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 36678.000000 that M140 is in danger (after 9239ms proces-to-process, 9115ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 23688.000000 that M141 is in danger (after 7168ms proces-to-process, 6344ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L15 of team T7 discovered at 31678.000000 that M142 is in danger (after 12070ms proces-to-process, 10040ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 43310.000000 that M72 is in danger (after 13726ms proces-to-process, 11592ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L8 of team T4 discovered at 27198.000000 that M85 is in danger (after 10980ms proces-to-process, 7896ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L8 of team T4 discovered at 37731.000000 that M77 is in danger (after 20916ms proces-to-process, 18432ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L8 of team T4 never discovered that M76 is in danger from 25280.
leader L8 of team T4 discovered at 47252.000000 that M88 is in danger (after 18422ms proces-to-process, 18136ms node-to-node, 8hops, 6versions (13 first, 19 discovered)
leader L8 of team T4 discovered at 34240.000000 that M74 is in danger (after 10593ms proces-to-process, 9122ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L8 of team T4 discovered at 28862.000000 that M86 is in danger (after 9881ms proces-to-process, 6985ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 51273.000000 that M87 is in danger (after 25008ms proces-to-process, 23814ms node-to-node, 6hops, 6versions (13 first, 19 discovered)
leader L8 of team T4 discovered at 32358.000000 that M79 is in danger (after 13929ms proces-to-process, 12352ms node-to-node, 3hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 34240.000000 that M78 is in danger (after 14931ms proces-to-process, 13593ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L8 of team T4 discovered at 36254.000000 that M82 is in danger (after 12995ms proces-to-process, 12523ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L8 of team T4 discovered at 40329.000000 that M83 is in danger (after 9734ms proces-to-process, 6979ms node-to-node, 7hops, 0versions (15 first, 15 discovered)
leader L8 of team T4 discovered at 22313.000000 that M80 is in danger (after 5300ms proces-to-process, 4771ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L8 of team T4 discovered at 34240.000000 that M81 is in danger (after 13293ms proces-to-process, 12007ms node-to-node, 7hops, 4versions (9 first, 13 discovered)
leader L8 of team T4 discovered at 34421.000000 that M89 is in danger (after 7595ms proces-to-process, 6915ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L8 of team T4 discovered at 51273.000000 that M84 is in danger (after 32339ms proces-to-process, 29570ms node-to-node, 4hops, 8versions (9 first, 17 discovered)
leader L9 of team T4 discovered at 42388.000000 that M72 is in danger (after 12804ms proces-to-process, 10370ms node-to-node, 9hops, 1versions (14 first, 15 discovered)
leader L9 of team T4 discovered at 26364.000000 that M85 is in danger (after 10146ms proces-to-process, 7747ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L9 of team T4 discovered at 38391.000000 that M77 is in danger (after 21576ms proces-to-process, 18707ms node-to-node, 7hops, 2versions (8 first, 10 discovered)
leader L9 of team T4 discovered at 52051.000000 that M76 is in danger (after 26771ms proces-to-process, 22914ms node-to-node, 12hops, 5versions (13 first, 18 discovered)
leader L9 of team T4 discovered at 32489.000000 that M88 is in danger (after 3659ms proces-to-process, 2935ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 37894.000000 that M74 is in danger (after 14247ms proces-to-process, 12503ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L9 of team T4 discovered at 26364.000000 that M86 is in danger (after 7383ms proces-to-process, 4430ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L9 of team T4 discovered at 37273.000000 that M87 is in danger (after 11008ms proces-to-process, 9957ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L9 of team T4 discovered at 26093.000000 that M79 is in danger (after 7664ms proces-to-process, 6480ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L9 of team T4 discovered at 33887.000000 that M78 is in danger (after 14578ms proces-to-process, 13122ms node-to-node, 6hops, 2versions (9 first, 11 discovered)
leader L9 of team T4 discovered at 38732.000000 that M82 is in danger (after 15473ms proces-to-process, 15006ms node-to-node, 7hops, 5versions (11 first, 16 discovered)
leader L9 of team T4 discovered at 38391.000000 that M83 is in danger (after 7796ms proces-to-process, 4949ms node-to-node, 6hops, 0versions (15 first, 15 discovered)
leader L9 of team T4 discovered at 18779.000000 that M80 is in danger (after 1766ms proces-to-process, 1074ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L9 of team T4 discovered at 39008.000000 that M81 is in danger (after 18061ms proces-to-process, 16902ms node-to-node, 11hops, 6versions (9 first, 15 discovered)
leader L9 of team T4 discovered at 33887.000000 that M89 is in danger (after 7061ms proces-to-process, 5811ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L9 of team T4 discovered at 34720.000000 that M84 is in danger (after 15786ms proces-to-process, 12390ms node-to-node, 1hops, 2versions (9 first, 11 discovered)
leader L10 of team T5 discovered at 46183.000000 that M99 is in danger (after 25658ms proces-to-process, 23302ms node-to-node, 3hops, 10versions (10 first, 20 discovered)
leader L10 of team T5 discovered at 36441.000000 that M98 is in danger (after 13588ms proces-to-process, 13214ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 26846.000000 that M100 is in danger (after 5322ms proces-to-process, 3597ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L10 of team T5 discovered at 42661.000000 that M101 is in danger (after 17157ms proces-to-process, 15735ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L10 of team T5 discovered at 25475.000000 that M106 is in danger (after 1576ms proces-to-process, 458ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L10 of team T5 discovered at 18676.000000 that M107 is in danger (after 2334ms proces-to-process, 288ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L10 of team T5 discovered at 41186.000000 that M104 is in danger (after 18142ms proces-to-process, 14541ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L10 of team T5 discovered at 22603.000000 that M103 is in danger (after 2664ms proces-to-process, 753ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L10 of team T5 discovered at 50429.000000 that M91 is in danger (after 20620ms proces-to-process, 18016ms node-to-node, 8hops, 2versions (15 first, 17 discovered)
leader L10 of team T5 discovered at 47129.000000 that M90 is in danger (after 21249ms proces-to-process, 17686ms node-to-node, 12hops, 1versions (13 first, 14 discovered)
leader L10 of team T5 discovered at 55952.000000 that M93 is in danger (after 31210ms proces-to-process, 30030ms node-to-node, 8hops, 6versions (11 first, 17 discovered)
leader L10 of team T5 discovered at 27995.000000 that M92 is in danger (after 10646ms proces-to-process, 7892ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
